instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
si4_b06m_m800.01 280 6 55 15
si4_b06m_m800.07 182 5 50 12
si4_b06m_m800.03 229 7 57 13
si4_b06m_m800.02 172 8 54 12
si6_m4Dr2_m625.08 215 9 58 13
si6_m4Dr2_m625.09 201 10 50 11
si6_m4Dr2_m625.05 1117 12 54 14
si6_m4Dr2_m625.01 185 7 50 12
si6_m4Dr2_m625.06 182 7 52 12
si6_m4Dr2_m625.00 202 6 59 12
si6_m4Dr2_m625.03 169 6 57 12
si6_m4Dr2_m625.02 266 8 52 13
si6_m4Dr2_m625.07 197 6 52 14
si6_m4Dr2_m625.04 270 7 57 15
si2_m4D_m1296.01 198 98 1701 106
si2_m4D_m1296.08 325 23 70 28
si2_m4D_m1296.06 640 166 701 72
si2_m4D_m1296.05 494 22 63 35
si2_m4D_m1296.09 1840 35 64 30
si2_m4D_m1296.03 191 78 2193 106
si2_m4D_m1296.07 715 19 76 30
si2_m4D_m1296.02 672 31 66 31
si2_m4D_m1296.04 771 36 100 33
si2_m4D_m1296.00 426 17 91 30
si4_b03_m800.05 92 5 47 14
si4_b03_m800.00 120 8 47 14
si4_b03_m800.08 130 10 47 13
si4_b03_m800.09 92 4 47 13
si4_b03_m800.03 94 4 46 14
si4_b03_m800.02 110 7 48 13
si4_b03_m800.04 108 7 46 15
si4_b03_m800.01 92 7 52 14
si4_b03_m800.06 92 4 49 14
si4_b03_m800.07 76 7 46 14
si6_m4D_m1296.02 1193 44 4401 102
si6_m4D_m1296.07 3115 46 616 52
si6_m4D_m1296.05 3911 88 3052 95
si6_m4D_m1296.09 7630 93 920 58
si6_m4D_m1296.00 972170 66813 1000014 63008
si6_m4D_m1296.08 1470 62 830 84
si6_m4D_m1296.04 3385 113 3491 119
si6_m4D_m1296.06 3042 39 630 38
si6_m4D_m1296.01 1000001 17859 1000018 17224
si6_m4D_m1296.03 71479 1169 3906 1087
si6_r001_m200.05 1077 25 161 6
si6_r001_m200.09 681 17 51 5
si6_r001_m200.07 31 1 11 2
si6_r001_m200.02 224 8 25 5
si6_r001_m200.01 343 1 27 5
si6_r001_m200.00 107 1 11 3
si6_r001_m200.04 2184 3 21 12
si6_r001_m200.06 32 1 9 3
si6_r001_m200.08 43 1 11 3
si6_r001_m200.03 30 1 10 3
si4_b06_m400.06 28 3 15 5
si4_b06_m400.07 27 2 14 4
si4_b06_m400.09 28 2 18 6
si4_b06_m400.01 29 2 16 5
