instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
g3-g34 507 76 239 102
g3-g35 138 20 64 49
g3-g36 52 10 37 29
g3-g37 207 35 87 76
g3-g38 6329 521 2032 241
g3-g39 240 24 136 88
g3-g4 3 0 19 12
g3-g40 114507 28791 49603 5104
g3-g41 309 79 161 92
g3-g42 410 79 207 109
g3-g43 1146 299 661 262
g3-g44 2 0 3 2
g3-g45 1 0 2 1
g3-g46 1 0 4 1
g3-g47 1 0 3 2
g3-g48 1 0 5 2
g3-g49 3267 822 1220 424
g3-g5 5 0 13 12
g3-g50 23542 5773 8060 1669
g3-g6 12 1 22 16
g3-g7 46 4 34 28
g3-g8 13 3 16 15
g3-g9 62 10 45 23
g30-g31 1000000 1000000 1000002 1000002
g30-g32 565352 115176 56414 25108
g30-g40 1000000 1000000 1000001 1000003
g30-g44 1000000 1000000 1000001 1000002
g30-g45 1000000 1000000 1000001 1000002
g30-g50 1000000 1000000 1000002 1000003
g31-g32 1000000 431422 215603 111532
g31-g40 1000000 1000000 1000001 1000001
g31-g50 1000000 1000000 1000001 1000003
g33-g37 1000000 1000000 1000001 1000001
g33-g38 1000000 1000000 1000001 1000001
g33-g40 1000000 1000000 1000001 1000002
g33-g43 1000000 1000000 1000002 1000002
g33-g44 1000000 1000000 1000001 1000001
g33-g45 1000000 1000000 1000001 1000001
g33-g46 1000000 1000000 1000001 1000001
g33-g47 1000000 1000000 1000001 1000000
g33-g48 1000000 1000000 1000002 1000000
g33-g49 1000000 1000000 1000002 1000001
g33-g50 1000000 1000000 1000001 1000002
g34-g35 1000000 1000000 1000001 1000001
g34-g36 1000000 1000000 1000001 1000001
g34-g37 1000000 1000000 1000001 1000005
g34-g38 1000000 1000000 1000001 1000001
g34-g39 1000000 1000000 1000001 1000001
g34-g40 1000000 1000000 1000004 1000001
g34-g41 1000000 1000000 1000001 1000001
g34-g42 1000000 1000000 1000001 1000004
g34-g43 1000000 1000000 1000001 1000001
g34-g44 1000000 1000000 1000001 1000001
g34-g45 1000000 1000000 1000002 1000001
g34-g46 1000000 1000000 1000001 1000002
g34-g47 1000000 1000000 1000001 1000003
g34-g48 1000000 1000000 1000001 1000001
g34-g49 1000000 1000000 1000001 1000002
g34-g50 1000000 1000000 1000002 1000002
g35-g37 1000000 1000000 1000001 1000001
g35-g38 1000000 1000000 1000001 1000001
g35-g40 1000000 1000000 1000001 1000003
g35-g41 1000000 1000000 1000001 1000001
g35-g42 1000000 1000000 1000001 1000001
g35-g43 1000000 1000000 1000002 1000001
g35-g44 1000000 1000000 1000001 1000001
g35-g45 1000000 1000000 1000002 1000001
g35-g46 1000000 1000000 1000001 1000002
g35-g47 1000000 1000000 1000001 1000003
g35-g48 1000000 1000000 1000001 1000003
g35-g49 1000000 1000000 1000001 1000001
g35-g50 1000000 1000000 1000002 1000001
g36-g37 1000000 1000000 1000001 1000004
g36-g38 1000000 1000000 1000001 1000001
g36-g40 1000000 1000000 1000002 1000003
g36-g41 1000000 1000000 1000001 1000001
g36-g42 1000000 1000000 1000001 1000001
g36-g43 1000000 1000000 1000001 1000002
g36-g44 1000000 1000000 1000002 1000001
g36-g45 1000000 1000000 1000001 1000000
g36-g46 1000000 1000000 1000001 1000003
g36-g47 1000000 1000000 1000001 1000003
g36-g48 1000000 1000000 1000001 1000002
g36-g49 1000000 1000000 1000001 1000002
g36-g50 1000000 1000000 1000001 1000001
g37-g38 1000000 1000000 1000002 1000004
g37-g40 1000000 1000000 1000002 1000003
g37-g43 1000000 1000000 1000001 1000003
g37-g44 1000000 1000000 1000001 1000003
g37-g45 1000000 1000000 1000001 1000004
g37-g46 1000000 1000000 1000001 1000000
g37-g47 1000000 1000000 1000001 1000000
g37-g48 1000000 1000000 1000001 1000003
g37-g49 1000000 1000000 1000001 1000003
g37-g50 1000000 1000000 1000001 1000003
g38-g40 1000000 1000000 1000001 1000002
g38-g43 1000000 1000000 1000003 1000003
g38-g44 1000000 1000000 1000003 1000003
g38-g45 1000000 1000000 1000005 1000005
g38-g50 1000000 1000000 1000002 1000004
g39-g40 1000000 1000000 1000002 1000004
g39-g41 1000000 1000000 1000001 1000001
g39-g42 1000000 1000000 1000001 1000001
g39-g43 1000000 1000000 1000001 1000001
g39-g44 1000000 1000000 1000001 1000001
g39-g45 1000000 1000000 1000001 1000001
g39-g46 1000000 1000000 1000001 1000003
g39-g47 1000000 1000000 1000001 1000001
g39-g48 1000000 1000000 1000002 1000003
g39-g49 1000000 1000000 1000001 1000001
g39-g50 1000000 1000000 1000002 1000003
g4-g10 21 2 37 20
g4-g11 73 4 50 40
g4-g12 108 9 45 25
g4-g13 6 0 10 6
g4-g14 16 1 13 13
g4-g15 0 0 5 2
g4-g16 177 11 124 19
g4-g20 414 19 89 70
g4-g21 0 0 3 2
g4-g22 3 0 13 8
g4-g23 0 0 3 1
g4-g25 0 0 4 1
g4-g26 0 0 4 2
g4-g27 0 0 6 2
g4-g28 49 4 42 24
g4-g29 552 57 264 99
g4-g30 292 37 129 56
g4-g31 1057 81 361 123
g4-g32 0 0 5 2
g4-g33 74 4 44 32
g4-g37 6 1 8 5
g4-g38 82 8 50 27
g4-g40 0 0 5 2
g4-g41 143 9 50 33
g4-g42 1375 120 972 33
g4-g43 22 0 3 1
g4-g44 988 57 316 124
g4-g45 527 52 191 84
g4-g46 412 50 174 54
g4-g47 381 26 163 50
g4-g48 585 67 226 68
g4-g49 280 0 4 2
g4-g5 8 0 31 19
g4-g50 0 0 3 1
g4-g6 11 1 34 13
g4-g7 30 2 36 26
g4-g9 6 0 13 7
g40-g50 1000000 1000000 1000001 1000002
g41-g42 1000000 1000000 1000001 1000001
g41-g43 1000000 1000000 1000002 1000001
g41-g44 1000000 1000000 1000001 1000001
g41-g45 1000000 1000000 1000001 1000003
g41-g46 1000000 1000000 1000001 1000004
g41-g47 1000000 1000000 1000001 1000003
g41-g48 1000000 1000000 1000001 1000004
g41-g49 1000000 1000000 1000001 1000003
g41-g50 1000000 1000000 1000002 1000002
g42-g43 1000000 1000000 1000002 1000001
g42-g44 1000000 1000000 1000001 1000002
g42-g45 1000000 1000000 1000002 1000003
g42-g46 1000000 1000000 1000002 1000002
g42-g47 1000000 1000000 1000001 1000002
g42-g48 1000000 1000000 1000001 1000003
g42-g49 1000000 1000000 1000002 1000001
g42-g50 1000000 1000000 1000001 1000001
g43-g44 1000000 1000000 1000002 1000002
g43-g45 1000000 1000000 1000002 1000003
g43-g50 1000000 1000000 1000001 1000001
g44-g45 860699 684 40209 213
g44-g50 1000000 1000000 1000002 1000002
g45-g50 1000000 1000000 1000002 1000003
g46-g47 1730 9 166 16
g46-g48 1000000 1000000 1000001 1000002
g46-g50 1000000 1000000 1000002 1000004
g47-g48 1000000 1000000 1000001 1000001
g47-g50 1000000 1000000 1000002 1000003
g48-g50 1000000 1000000 1000001 1000003
g49-g50 1000000 1000000 1000001 1000001
g5-g11 0 0 4 4
g5-g12 47 7 35 23
g5-g13 26 4 29 23
g5-g14 12 1 18 14
g5-g15 44 6 29 20
g5-g16 1 0 8 6
g5-g20 428 343 235 257
g5-g21 2051 269 779 410
g5-g22 2 0 7 3
g5-g23 40 1 22 14
g5-g25 120 22 76 25
g5-g26 70 0 25 5
g5-g27 21 0 6 1
g5-g28 2 0 12 6
g5-g29 28 0 5 2
g5-g30 12 0 4 1
g5-g31 15 0 3 1
g5-g32 1062 423 169 63
g5-g33 2 0 7 5
g5-g37 13 3 8 9
g5-g38 839507 378329 179128 15200
g5-g40 145196 8697 13935 2999
g5-g41 1 0 4 2
g5-g42 5 6 8 5
g5-g43 36 28 17 14
g5-g44 30 0 8 2
g5-g45 48 0 9 2
g5-g46 27 0 8 1
g5-g47 22 0 6 1
g5-g48 42 0 11 2
g5-g49 42 27 22 34
g5-g50 1038 175 410 204
g5-g6 11 1 17 12
g5-g7 420 39 223 132
g6-g11 26997 2 80 18
g6-g12 5580 150 423 58
g6-g13 51 5 21 9
g6-g14 575 45 68 13
g6-g15 52 2 29 12
g6-g16 4 0 9 5
g6-g20 1000000 108488 369681 5162
g6-g21 2725 284 810 180
g6-g22 8 1 15 8
g6-g23 59 12 23 12
g6-g25 88 120 211 32
g6-g26 1449 6131 53 12
g6-g27 51 40 24 14
g6-g28 61539 180598 15211 12
g6-g29 802 9 215 13
g6-g30 516 113 175 76
g6-g31 1169 200 325 41
g6-g32 976 258 135 69
g6-g33 151 1 26 8
g6-g37 38 15 10 15
g6-g38 1000000 1000000 618835 187873
g6-g40 1000000 1000000 1000001 325336
g6-g41 129 7 23 13
g6-g42 34 7 25 17
g6-g43 152 153 89 53
g6-g44 1035 0 297 6
g6-g45 406 80 153 51
g6-g46 232 57 77 45
g6-g47 166 24 73 38
g6-g48 284 43 98 55
g6-g49 241 88 47 53
g6-g50 1000000 1000000 1000001 111073
g6-g7 144 11 59 27
g7-g11 976 61 205 56
g7-g12 1000000 730973 1000001 60290
g7-g13 19212 1996 7057 480
g7-g14 1817 162 711 109
g7-g15 24235 2398 8099 588
g7-g16 1953 71 351 76
g7-g20 1000000 66811 230590 20485
g7-g21 524822 39691 120112 12565
g7-g22 788 30 182 51
g7-g23 3257 71 140 49
g7-g25 820 45 253 54
g7-g26 1436 56 249 61
g7-g27 3474 97 352 95
g7-g28 157 6 50 29
g7-g29 256631 11952 32507 2447
g7-g30 143258 6258 16140 1515
g7-g31 525631 22987 67504 3677
g7-g32 7007 1608 485 1275
g7-g33 901 71 230 63
g7-g37 16362 958 2692 365
g7-g38 3 0 4 1
g7-g40 1000000 1000000 1000001 537723
g7-g41 997 37 211 54
g7-g42 1880 139 395 80
g7-g43 10281 657 1627 310
g7-g44 340041 17809 88739 3148
g7-g45 100928 4296 12493 1157
g7-g46 70394 3162 7659 1069
g7-g47 64506 2951 6932 1035
g7-g48 116431 4315 9093 1309
g7-g49 18481 1037 2659 492
g7-g50 1000000 1000000 1000001 1000003
g8-g10 21850 408 1868 75
g8-g11 1000000 62845 265416 3452
g8-g12 1000000 142888 425790 5482
g8-g13 1000000 29276 77343 2453
g8-g14 505652 21328 50863 2032
g8-g15 1000000 38676 101824 1848
g8-g16 3 0 6 3
g8-g19 1000000 1000000 1000001 145333
g8-g20 1000000 1000000 1000001 981247
g8-g21 5477 493 1360 335
g8-g22 4508 1602 2196 143
g8-g23 1000000 219927 569251 12850
g8-g25 1000000 1000000 1000001 444955
g8-g26 1000000 172832 286614 19391
g8-g27 382371 6999 48918 562
g8-g28 1000000 374735 136935 4245
g8-g29 1000000 1000000 1000001 187101
g8-g30 1000000 1000000 1000001 82701
g8-g31 1000000 1000000 1000001 504312
g8-g32 847 1012 259 152
g8-g33 7974 512 3414 79
g8-g35 6797 1953 2623 152
g8-g36 43001 4652 6438 348
g8-g37 57 0 8 4
g8-g38 1000000 1000000 1000001 1000001
g8-g40 1000000 1000000 1000001 1000005
g8-g41 16178 605 7383 78
g8-g42 544670 43972 66741 2581
g8-g43 1000000 293735 565279 25665
g8-g44 1000000 262199 355844 16768
g8-g45 1000000 629002 1000001 29586
g8-g46 1000000 685356 842179 31726
g8-g47 1000000 533118 628418 23678
g8-g48 1000000 510411 347760 4624
g8-g49 292593 76113 38957 2293
g8-g50 1000000 1000000 1000001 1000001
g8-g9 1000000 297195 1000001 19611
g9-g10 1000000 1000000 1000002 1000002
g9-g11 1000000 1000000 1000001 1000002
g9-g12 1000000 1000000 1000001 207981
g9-g13 1000000 1000000 1000001 66846
g9-g14 299216 31400 34918 3994
g9-g15 1000000 1000000 1000001 97430
g9-g16 1000000 1000000 1000001 1000001
g9-g20 1000000 1000000 1000001 1000003
g9-g21 10080 510 1640 279
g9-g22 1000000 1000000 1000002 1000001
g9-g23 10 335 14 328
g9-g25 1000000 715758 293921 28007
g9-g26 1000000 1000000 1000002 1000002
g9-g27 1000000 1000000 238310 27712
g9-g28 1000000 1000000 1000002 1000001
g9-g29 1000000 1000000 1000001 1000001
g9-g30 1000000 1000000 1000001 1000001
g9-g31 1000000 1000000 1000001 1000001
g9-g32 1630 458 233 85
g9-g33 1000000 1000000 1000001 1000001
g9-g37 1000000 1000000 1000002 1000002
g9-g38 1000000 1000000 1000001 1000001
g9-g40 1000000 1000000 1000001 1000000
g9-g41 1000000 1000000 1000001 1000002
g9-g42 300 19 84 20
g9-g43 20475 1009 2781 107
g9-g44 1000000 1000000 1000001 1000001
g9-g45 1000000 1000000 1000001 1000002
g9-g46 1000000 1000000 1000001 1000001
g9-g47 1000000 1000000 1000001 1000001
g9-g48 1000000 1000000 1000001 1000001
g9-g49 1000000 1000000 1000002 1000001
g9-g50 1000000 1000000 1000001 1000001
images-CVIU11-1-119 1000001 1000126 1000005 1000111
images-CVIU11-1-131 1000000 1000025 1000004 1000026
images-CVIU11-1-50 1000001 1000105 1000005 1000101
images-CVIU11-1-81 1000000 1000034 1000004 1000037
images-CVIU11-10-110 1000000 1000017 1000003 1000039
images-CVIU11-10-139 1000000 1000016 1000003 1000019
images-CVIU11-10-20 1000000 1000013 1000004 1000059
images-CVIU11-10-50 1000001 1000020 1000006 1000084
images-CVIU11-10-58 1000000 1000023 1000003 1000030
images-CVIU11-10-60 1000000 1000028 1000004 1000056
images-CVIU11-10-93 1000000 1000029 1000005 1000012
images-CVIU11-11-4 560 289 112 213
images-CVIU11-11-72 678 297 153 219
images-CVIU11-11-8 794 200 123 196
images-CVIU11-12-115 1000000 1000036 1000005 1000071
images-CVIU11-12-137 1000000 1000016 1000003 1000016
images-CVIU11-12-141 1000000 1000026 1000004 1000022
images-CVIU11-12-4 1000001 1000033 1000008 1000102
images-CVIU11-13-11 1000000 1000011 1000004 1000014
images-CVIU11-13-118 1000000 1000056 1000005 1000044
images-CVIU11-13-128 1000000 1000053 1000005 1000069
images-CVIU11-13-13 1000000 1000054 1000005 1000042
images-CVIU11-13-30 1000001 1000067 1000005 1000065
images-CVIU11-13-46 1000000 1000055 1000005 1000039
images-CVIU11-13-7 1000000 1000058 1000006 1000076
images-CVIU11-14-106 1000000 1000062 1000003 1000045
images-CVIU11-14-146 1000001 1000056 1000003 1000072
images-CVIU11-14-16 1000000 1000017 1000003 1000014
images-CVIU11-14-31 1000000 1000052 1000004 1000059
images-CVIU11-14-63 1000000 1000087 1000004 1000067
images-CVIU11-14-96 1000000 1000019 1000004 1000028
images-CVIU11-15-146 1000000 2523 818 681
images-CVIU11-16-143 1000000 1000016 1000004 1000020
images-CVIU11-16-37 1000000 1000116 1000004 1000105
images-CVIU11-16-55 1000000 1000019 1000003 197199
images-CVIU11-17-107 638113 11319 48543 370
images-CVIU11-17-14 2092 1439 1122 178
images-CVIU11-17-82 8360 1896 3923 498
images-CVIU11-18-137 1000000 1000012 1000003 1000021
images-CVIU11-18-139 1000000 1000019 1000002 1000019
images-CVIU11-18-27 1000000 1000042 1000004 1000060
images-CVIU11-18-33 1000000 1000087 1000005 1000088
images-CVIU11-18-82 1000000 1000054 1000004 1000042
images-CVIU11-18-85 1000000 1000106 1000004 1000049
images-CVIU11-19-129 1000000 1000010 1000003 1000015
images-CVIU11-19-131 1000000 1000024 1000002 1000023
images-CVIU11-2-24 1000000 1000005 1000003 1000006
images-CVIU11-2-33 1000001 1000138 1000006 1000111
images-CVIU11-2-50 1000001 1000101 1000006 1000091
images-CVIU11-2-54 1000000 1000027 1000003 1000026
images-CVIU11-2-60 1000000 1000056 1000004 1000042
images-CVIU11-2-63 1000001 1000074 1000005 1000055
images-CVIU11-2-79 1000000 1000026 1000003 1000018
images-CVIU11-20-134 7256 1221 699 413
images-CVIU11-20-31 10029 2051 669 574
images-CVIU11-20-46 9504 1728 1078 530
images-CVIU11-20-72 10630 1940 748 474
images-CVIU11-20-88 19843 2257 1075 593
images-CVIU11-21-102 1000000 1000010 1000003 1000021
images-CVIU11-21-119 1000001 1000141 1000005 1000099
images-CVIU11-21-9 1000000 1000052 1000004 1000044
images-CVIU11-22-100 1000000 1000009 1000003 1000012
images-CVIU11-22-107 1000001 1000030 1000003 1000025
images-CVIU11-22-110 1000000 1000016 1000003 1000022
images-CVIU11-22-118 1000000 1000027 1000004 1000035
images-CVIU11-22-12 1000000 1000042 1000004 1000050
images-CVIU11-23-113 1000000 1000009 1000003 1000033
images-CVIU11-23-143 1000000 1000016 1000003 1000024
images-CVIU11-23-48 1000000 1000011 1000003 1000023
images-CVIU11-24-113 3767 867 1505 352
images-CVIU11-24-49 7113 5966 3042 584
images-CVIU11-24-5 13634 30254 6912 773
images-CVIU11-24-77 14786 17117 5586 966
images-CVIU11-25-139 1000000 1000008 1000002 1000015
images-CVIU11-25-61 1000001 1000076 1000005 1000105
images-CVIU11-25-66 1000000 1000007 1000004 1000023
images-CVIU11-25-70 1000001 1000085 1000005 1000091
images-CVIU11-25-77 1000001 1000108 1000005 1000113
images-CVIU11-25-97 1000000 1000028 1000004 1000028
images-CVIU11-26-106 1000000 1000054 1000004 1000073
images-CVIU11-26-129 193 30 26 40
images-CVIU11-26-138 1000000 1000063 1000006 1000102
images-CVIU11-26-15 1000000 1000005 1000002 1000009
images-CVIU11-26-57 1000000 1000109 1000007 1000116
images-CVIU11-26-70 1000000 1000080 1000005 1000086
images-CVIU11-26-71 1000000 1000081 1000005 1000061
images-CVIU11-26-75 1000001 1000081 1000005 1000094
images-CVIU11-26-77 1000001 1000074 1000005 1000109
images-CVIU11-26-78 1000000 1000071 1000005 1000094
images-CVIU11-27-125 1000000 1000082 1000004 1000070
images-CVIU11-27-137 1000000 1000014 1000003 1000014
images-CVIU11-27-144 1000001 1000029 1000004 1000050
images-CVIU11-27-17 1000000 1000078 1000004 1000064
images-CVIU11-27-36 1000000 1000037 1000004 1000030
images-CVIU11-28-130 1000000 1000005 1000003 1000014
images-CVIU11-28-135 1000000 1000016 1000004 1000043
images-CVIU11-28-99 1000000 1000086 1000004 1000102
images-CVIU11-29-107 14708 1400 562 408
images-CVIU11-29-112 846012 2913 3829 698
images-CVIU11-29-114 8043 531 314 248
images-CVIU11-29-116 64819 8550 2137 1153
images-CVIU11-29-12 662563 7468 7209 1088
images-CVIU11-29-21 28245 3147 1362 679
images-CVIU11-29-3 42941 5812 1893 987
images-CVIU11-29-39 296562 4921 5117 899
images-CVIU11-29-75 44716 4555 1555 933
images-CVIU11-29-76 587 325 62 247
images-CVIU11-29-79 105945 3188 4398 587
images-CVIU11-29-8 21734 1049 1055 419
images-CVIU11-29-82 27443 3252 1173 660
images-CVIU11-3-106 1000000 1000034 1000004 1000045
images-CVIU11-3-138 1000001 1000144 1000005 1000097
images-CVIU11-3-37 1000001 1000085 1000004 1000079
images-CVIU11-3-48 1000000 1000024 1000003 1000026
images-CVIU11-3-56 1000000 1000014 1000002 1000014
images-CVIU11-3-74 1000000 1000129 1000005 1000082
images-CVIU11-30-1 1000000 1000069 1000005 1000060
images-CVIU11-30-11 1000001 1000027 1000003 1000015
images-CVIU11-30-115 1000000 1000027 1000004 1000042
images-CVIU11-30-12 1000000 1000055 1000003 1000051
images-CVIU11-30-42 1000000 1000065 1000004 1000050
images-CVIU11-30-66 1000000 1000034 1000003 1000021
images-CVIU11-31-105 1000000 1000041 1000005 1000091
images-CVIU11-31-109 1000000 1000041 1000004 1000108
images-CVIU11-31-26 1000000 1000013 1000003 1000036
images-CVIU11-31-31 1000000 1000047 1000005 1000108
images-CVIU11-31-39 1000000 1000048 1000005 1000038
images-CVIU11-33-109 1000000 419986 407398 56079
images-CVIU11-33-59 1000000 17657 5134 2158
images-CVIU11-33-71 1000000 19320 5394 2061
images-CVIU11-33-86 1000000 1000050 1000006 435896
images-CVIU11-33-88 1000000 1000096 1000006 495415
images-CVIU11-33-93 1000000 24336 5901 2510
images-CVIU11-34-106 8903 925 411 345
images-CVIU11-34-135 15027 1862 2173 541
images-CVIU11-34-88 30480 4509 5108 908
images-CVIU11-34-9 19971 3354 4603 704
images-CVIU11-35-141 1000000 112159 75875 4749
images-CVIU11-35-68 1000000 1000057 537739 65502
images-CVIU11-36-11 1000000 1000026 1000003 1000019
images-CVIU11-36-112 1000000 1000021 1000003 1000021
images-CVIU11-36-140 1000000 1000015 1000003 1000018
images-CVIU11-37-140 1000000 1000021 1000003 1000019
images-CVIU11-37-146 1000000 1000090 1000004 1000053
images-CVIU11-37-41 1000000 1000043 1000003 1000047
images-CVIU11-37-54 1000000 1000021 1000003 1000026
images-CVIU11-37-70 1000001 1000104 1000004 1000082
images-CVIU11-37-84 1000000 1000005 1000002 1000005
images-CVIU11-38-1 1000000 1000086 1000004 1000058
images-CVIU11-38-10 1000000 1000054 1000003 1000035
images-CVIU11-38-131 1000000 1000033 1000003 1000039
images-CVIU11-38-23 1000000 1000064 1000004 1000067
images-CVIU11-38-71 1000000 1000101 1000004 1000082
images-CVIU11-38-78 1000000 1000090 1000009 1000081
images-CVIU11-39-107 1000000 1000023 1000004 1000029
images-CVIU11-39-114 1000000 1000018 1000003 1000017
images-CVIU11-39-37 1000001 1000063 1000006 1000097
images-CVIU11-39-68 1000001 1000118 1000005 1000115
images-CVIU11-39-80 1000000 1000025 1000003 1000020
images-CVIU11-4-42 1000000 1000029 1000004 1000058
images-CVIU11-4-50 1000001 1000055 1000005 1000166
images-CVIU11-40-126 1000000 1000009 1000002 1000012
images-CVIU11-40-136 1000000 1000014 1000004 1000061
images-CVIU11-40-139 1000000 1000022 1000003 1000024
images-CVIU11-40-23 1000000 1000052 1000004 1000090
images-CVIU11-40-46 1000000 1000026 1000003 1000080
images-CVIU11-40-8 1000000 1000019 1000004 1000089
images-CVIU11-41-113 1000000 1000015 1000005 1000021
images-CVIU11-41-4 1000001 1000078 1000004 1000055
images-CVIU11-41-86 1000000 1000031 1000004 1000043
images-CVIU11-41-88 1000001 1000078 1000005 1000069
images-CVIU11-42-112 1000000 1000015 1000004 1000016
images-CVIU11-42-122 1000000 1000024 1000003 1000035
images-CVIU11-42-53 1000000 1000013 1000004 1000019
images-CVIU11-42-68 1000000 1000145 1000005 1000097
images-CVIU11-42-78 1000001 1000103 1000004 1000093
images-CVIU11-42-80 1000000 1000013 1000003 1000022
images-CVIU11-42-88 1000000 1000094 1000005 1000051
images-CVIU11-43-112 1000000 1000019 1000003 1000022
images-CVIU11-43-65 1000000 1000045 1000003 1000043
images-CVIU11-43-76 1000000 1000108 1000005 1000127
images-CVIU11-44-119 1000001 1000071 1000004 1000099
images-CVIU11-44-20 1000001 1000068 1000005 1000072
images-CVIU11-44-84 1000000 1000002 1000002 1000004
images-CVIU11-44-98 1000000 1000015 1000002 1000013
images-CVIU11-5-134 1000000 1000020 1000004 1000031
images-CVIU11-5-19 1000000 1000091 1000006 1000135
images-CVIU11-5-62 1000000 1000072 1000005 1000113
images-CVIU11-6-119 1000001 1000189 1000009 1000186
images-CVIU11-6-25 1000000 172986 15412 1552
images-CVIU11-6-58 1000000 1000016 1000004 1000017
images-CVIU11-7-56 1000000 1000010 1000003 1000033
images-CVIU11-7-96 1000000 1000021 1000003 1000046
images-CVIU11-8-120 1000001 1000063 1000004 1000063
images-CVIU11-8-129 1000000 1000009 1000002 1000009
images-CVIU11-8-130 1000000 1000011 1000002 1000009
images-CVIU11-8-20 1000000 1000085 1000005 1000099
images-CVIU11-8-68 1000000 1000110 1000005 1000109
images-CVIU11-8-83 1000000 1000055 1000004 1000063
images-CVIU11-9-110 1000000 1000023 1000004 1000024
meshes-CVIU11-1-106 1000000 1000003 1000003 1000005
meshes-CVIU11-1-120 1000000 1000002 1000002 1000004
meshes-CVIU11-1-149 1000000 1000005 1000002 1000008
meshes-CVIU11-1-170 1000000 1000002 1000002 1000004
meshes-CVIU11-1-175 1000000 1000000 1000001 1000003
meshes-CVIU11-1-187 1000000 1000060 1000004 1000053
meshes-CVIU11-1-188 1000000 1000013 1000003 1000012
meshes-CVIU11-1-20 1000000 1000009 1000003 1000018
meshes-CVIU11-1-205 1000000 1000002 1000002 1000005
meshes-CVIU11-1-206 1000001 1000073 1000006 1000076
meshes-CVIU11-1-220 1000000 1000000 1000001 1000001
meshes-CVIU11-1-223 1000000 1000015 1000004 1000018
meshes-CVIU11-1-225 1000000 1000038 1000004 1000031
meshes-CVIU11-1-250 1000000 1000000 1000002 1000003
meshes-CVIU11-1-278 1000000 1000000 1000002 1000002
meshes-CVIU11-1-279 1000000 1000000 1000002 1000002
meshes-CVIU11-1-282 1000000 1000011 1000003 1000015
meshes-CVIU11-1-283 1000000 1000029 1000004 1000040
meshes-CVIU11-1-294 1000000 1000010 1000003 1000014
meshes-CVIU11-1-305 1000000 1000002 1000002 1000004
meshes-CVIU11-1-314 1000000 1000067 1000006 1000098
meshes-CVIU11-1-318 1000000 1000070 1000004 1000050
meshes-CVIU11-1-34 1000000 1000031 1000004 1000023
meshes-CVIU11-1-357 1000000 1000000 1000001 1000003
meshes-CVIU11-1-360 1000000 1000014 1000005 1000038
meshes-CVIU11-1-368 1000000 1000022 1000005 1000014
meshes-CVIU11-1-37 1000000 1000001 1000001 1000001
meshes-CVIU11-1-397 1000000 1000026 1000004 1000031
meshes-CVIU11-1-410 1000000 1000000 1000002 1000004
meshes-CVIU11-1-424 1000000 1000008 1000004 1000010
meshes-CVIU11-1-431 1000000 1000037 1000004 1000045
meshes-CVIU11-1-461 1000001 1000023 1000007 1000085
meshes-CVIU11-1-466 1000000 1000000 1000002 1000002
meshes-CVIU11-1-489 1000000 1000033 1000005 1000046
meshes-CVIU11-1-511 1000000 1000053 1000005 1000037
meshes-CVIU11-1-63 1000000 1000004 1000002 1000005
meshes-CVIU11-1-88 1000000 1000000 1000002 1000004
meshes-CVIU11-2-100 1000001 1000056 1000008 1000079
meshes-CVIU11-2-108 1000000 1000010 1000004 1000012
meshes-CVIU11-2-11 1000000 1000000 1000001 1000004
meshes-CVIU11-2-121 1000000 1000000 1000002 1000003
meshes-CVIU11-2-13 1000000 1000005 1000003 1000007
meshes-CVIU11-2-137 1000000 1000007 1000003 1000008
meshes-CVIU11-2-177 1000000 1000001 1000003 1000007
meshes-CVIU11-2-211 1000000 1000003 1000002 1000006
meshes-CVIU11-2-223 1000000 1000023 1000004 1000016
meshes-CVIU11-2-233 1000000 1000003 1000003 1000007
meshes-CVIU11-2-245 1000000 1000001 1000002 1000004
meshes-CVIU11-2-246 1000000 1000006 1000004 1000010
meshes-CVIU11-2-248 1000000 1000005 1000003 1000007
meshes-CVIU11-2-267 1000000 1000010 1000004 1000039
meshes-CVIU11-2-3 1000000 1000000 1000002 1000003
meshes-CVIU11-2-300 1000000 1000006 1000002 1000005
meshes-CVIU11-2-304 1000000 1000001 1000003 1000003
meshes-CVIU11-2-305 1000000 1000002 1000002 1000005
meshes-CVIU11-2-317 1000000 1000000 1000002 1000003
meshes-CVIU11-2-321 1000000 1000009 1000003 1000009
meshes-CVIU11-2-324 1000000 1000002 1000002 1000004
meshes-CVIU11-2-349 1000000 1000002 1000003 1000006
meshes-CVIU11-2-35 1000000 1000001 1000002 1000005
meshes-CVIU11-2-353 1000001 1000036 1000005 1000011
meshes-CVIU11-2-354 1000000 1000002 1000002 1000002
meshes-CVIU11-2-365 1000000 1000001 1000002 1000007
meshes-CVIU11-2-447 1000000 1000041 1000005 1000041
meshes-CVIU11-2-449 1000000 1000035 1000005 1000030
meshes-CVIU11-2-462 1000000 1000001 1000003 1000003
meshes-CVIU11-2-484 1000000 1000041 1000005 1000049
meshes-CVIU11-2-487 1000000 1000060 1000005 1000031
meshes-CVIU11-2-493 1000000 1000000 1000003 1000008
meshes-CVIU11-2-503 1000000 1000008 1000003 1000017
meshes-CVIU11-2-511 1000000 1000033 1000006 1000040
meshes-CVIU11-2-513 1000000 1000006 1000002 1000010
meshes-CVIU11-2-52 1000000 1000002 1000002 1000006
meshes-CVIU11-2-54 1000000 1000006 1000003 1000005
