instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03m_s90_AB04 145 0 150 1
mcs10_b03m_s90_AB05 128 0 113 2
mcs10_b03m_s90_AB06 130 0 134 2
mcs10_b03m_s90_AB07 142 0 139 2
mcs10_b03m_s90_AB08 129 0 118 1
mcs10_b03m_s90_AB09 122 0 112 1
mcs10_b06_s100_AB00 58 1 52 3
mcs10_b06_s100_AB01 57 1 51 2
mcs10_b06_s100_AB02 55 1 50 3
mcs10_b06_s100_AB03 57 1 52 3
mcs10_b06_s100_AB04 53 1 50 3
mcs10_b06_s100_AB05 58 1 54 3
mcs10_b06_s100_AB06 48 1 46 3
mcs10_b06_s100_AB07 56 1 53 2
mcs10_b06_s100_AB08 61 1 60 2
mcs10_b06_s100_AB09 51 1 49 3
mcs10_b06_s70_AB00 47 0 48 2
mcs10_b06_s70_AB01 36 0 38 2
mcs10_b06_s70_AB02 40 0 40 2
mcs10_b06_s70_AB03 36 0 37 2
mcs10_b06_s70_AB04 37 0 38 1
mcs10_b06_s70_AB05 41 0 39 1
mcs10_b06_s70_AB06 40 0 40 3
mcs10_b06_s70_AB07 36 0 39 3
mcs10_b06_s70_AB08 45 0 45 2
mcs10_b06_s70_AB09 39 0 41 2
mcs10_b06_s80_AB00 74 0 72 2
mcs10_b06_s80_AB01 78 0 73 3
mcs10_b06_s80_AB02 62 0 60 3
mcs10_b06_s80_AB03 89 0 85 2
mcs10_b06_s80_AB04 73 0 69 2
mcs10_b06_s80_AB05 68 0 65 2
mcs10_b06_s80_AB06 76 0 69 2
mcs10_b06_s80_AB07 82 0 77 2
mcs10_b06_s80_AB08 74 0 74 2
mcs10_b06_s80_AB09 76 0 70 2
mcs10_b06_s90_AB00 122 0 111 2
mcs10_b06_s90_AB01 164 1 130 3
mcs10_b06_s90_AB02 137 1 118 2
mcs10_b06_s90_AB03 144 1 138 2
mcs10_b06_s90_AB04 124 1 115 2
mcs10_b06_s90_AB05 132 1 133 2
mcs10_b06_s90_AB06 137 1 139 3
mcs10_b06_s90_AB07 128 1 116 2
mcs10_b06_s90_AB08 143 0 126 2
mcs10_b06_s90_AB09 126 1 120 2
mcs10_b06m_s100_AB00 46 1 44 2
mcs10_b06m_s100_AB01 69 1 65 3
mcs10_b06m_s100_AB02 50 1 49 3
mcs10_b06m_s100_AB03 53 1 51 2
mcs10_b06m_s100_AB04 53 1 51 4
mcs10_b06m_s100_AB05 63 1 59 2
mcs10_b06m_s100_AB06 57 1 51 2
mcs10_b06m_s100_AB07 50 0 48 2
mcs10_b06m_s100_AB08 58 1 61 2
mcs10_b06m_s100_AB09 63 1 56 2
mcs10_b06m_s70_AB00 43 0 41 1
mcs10_b06m_s70_AB01 37 0 39 1
mcs10_b06m_s70_AB02 43 0 43 1
mcs10_b06m_s70_AB03 43 0 41 1
mcs10_b06m_s70_AB04 38 0 38 1
mcs10_b06m_s70_AB05 38 0 38 3
mcs10_b06m_s70_AB06 45 0 45 2
mcs10_b06m_s70_AB07 45 0 44 2
mcs10_b06m_s70_AB08 41 0 42 2
mcs10_b06m_s70_AB09 48 0 47 1
mcs10_b06m_s80_AB00 73 0 69 2
mcs10_b06m_s80_AB01 73 0 70 1
mcs10_b06m_s80_AB02 90 0 83 3
mcs10_b06m_s80_AB03 74 0 68 3
mcs10_b06m_s80_AB04 70 0 68 2
mcs10_b06m_s80_AB05 77 0 75 2
mcs10_b06m_s80_AB06 77 0 74 2
mcs10_b06m_s80_AB07 82 0 78 2
mcs10_b06m_s80_AB08 72 0 71 2
mcs10_b06m_s80_AB09 74 0 70 3
mcs10_b06m_s90_AB00 129 0 119 2
mcs10_b06m_s90_AB01 148 1 136 3
mcs10_b06m_s90_AB02 125 1 112 3
mcs10_b06m_s90_AB03 139 1 130 2
mcs10_b06m_s90_AB04 127 1 113 3
mcs10_b06m_s90_AB05 124 0 112 2
mcs10_b06m_s90_AB06 145 0 138 2
mcs10_b06m_s90_AB07 122 0 113 2
mcs10_b06m_s90_AB08 137 1 133 2
mcs10_b06m_s90_AB09 134 0 127 2
mcs10_b09_s100_AB00 55 1 54 3
mcs10_b09_s100_AB01 56 1 53 2
mcs10_b09_s100_AB02 58 1 57 3
mcs10_b09_s100_AB03 63 1 52 3
mcs10_b09_s100_AB04 53 1 47 3
mcs10_b09_s100_AB05 61 2 57 5
mcs10_b09_s100_AB06 47 1 43 3
mcs10_b09_s100_AB07 53 1 50 2
mcs10_b09_s100_AB08 62 1 59 2
mcs10_b09_s100_AB09 61 1 57 3
mcs10_b09m_s100_AB00 54 1 50 2
mcs10_b09m_s100_AB01 62 1 58 2
mcs10_b09m_s100_AB02 52 0 49 2
mcs10_b09m_s100_AB03 52 1 50 2
mcs10_b09m_s100_AB04 46 1 44 2
mcs10_b09m_s100_AB05 45 1 45 2
mcs10_b09m_s100_AB06 63 1 60 3
mcs10_b09m_s100_AB07 53 1 49 2
mcs10_b09m_s100_AB08 52 1 54 3
mcs10_b09m_s100_AB09 58 1 56 2
mcs10_m2D_s100_AB00 58 1 58 2
mcs10_m2D_s100_AB01 51 0 49 1
mcs10_m2D_s100_AB02 50 0 50 2
mcs10_m2D_s100_AB03 54 0 54 1
mcs10_m2D_s100_AB04 59 0 56 2
mcs10_m2D_s100_AB05 53 0 52 2
mcs10_m2D_s100_AB06 55 0 53 2
mcs10_m2D_s100_AB07 67 0 64 2
mcs10_m2D_s100_AB08 52 0 50 2
mcs10_m2D_s100_AB09 54 0 52 2
mcs10_m2D_s40_AB00 17 0 20 2
mcs10_m2D_s40_AB01 11 0 14 2
mcs10_m2D_s40_AB02 12 0 15 2
mcs10_m2D_s40_AB03 10 0 15 1
mcs10_m2D_s40_AB04 12 0 15 1
mcs10_m2D_s40_AB05 11 0 14 2
mcs10_m2D_s40_AB06 12 0 15 2
mcs10_m2D_s40_AB07 12 0 13 1
mcs10_m2D_s40_AB08 10 0 13 2
mcs10_m2D_s40_AB09 13 0 16 2
mcs10_m2D_s50_AB00 36 0 37 2
mcs10_m2D_s50_AB01 37 0 38 2
mcs10_m2D_s50_AB02 31 0 33 2
mcs10_m2D_s50_AB03 31 0 33 2
mcs10_m2D_s50_AB04 30 0 30 2
mcs10_m2D_s50_AB05 36 0 36 2
mcs10_m2D_s50_AB06 31 0 33 2
mcs10_m2D_s50_AB07 32 0 35 2
mcs10_m2D_s50_AB08 34 0 35 1
mcs10_m2D_s50_AB09 35 0 35 1
mcs10_m2D_s60_AB00 15 0 19 1
mcs10_m2D_s60_AB01 19 0 20 1
mcs10_m2D_s60_AB02 20 0 23 1
mcs10_m2D_s60_AB03 26 0 29 1
mcs10_m2D_s60_AB04 27 0 23 1
mcs10_m2D_s60_AB05 20 0 22 1
mcs10_m2D_s60_AB06 21 0 22 1
mcs10_m2D_s60_AB07 19 0 21 1
mcs10_m2D_s60_AB08 18 0 22 1
mcs10_m2D_s60_AB09 19 0 22 2
mcs10_m2D_s70_AB00 43 0 41 1
mcs10_m2D_s70_AB01 38 0 38 2
mcs10_m2D_s70_AB02 39 0 38 2
mcs10_m2D_s70_AB03 38 0 38 1
mcs10_m2D_s70_AB04 38 0 40 1
mcs10_m2D_s70_AB05 37 0 40 1
mcs10_m2D_s70_AB06 41 0 39 1
mcs10_m2D_s70_AB07 54 0 54 3
mcs10_m2D_s70_AB08 38 0 41 2
mcs10_m2D_s70_AB09 43 0 44 3
mcs10_m2D_s80_AB00 62 0 62 2
mcs10_m2D_s80_AB01 73 0 65 2
mcs10_m2D_s80_AB02 102 0 94 2
mcs10_m2D_s80_AB03 79 0 73 2
mcs10_m2D_s80_AB04 76 0 72 2
mcs10_m2D_s80_AB05 81 0 74 2
mcs10_m2D_s80_AB06 74 0 69 3
mcs10_m2D_s80_AB07 86 0 84 2
mcs10_m2D_s80_AB08 72 0 71 2
mcs10_m2D_s80_AB09 76 0 74 2
mcs10_m2D_s90_AB00 135 0 132 2
mcs10_m2D_s90_AB01 128 0 124 2
mcs10_m2D_s90_AB02 150 0 143 2
mcs10_m2D_s90_AB03 128 0 119 2
mcs10_m2D_s90_AB04 136 0 131 2
mcs10_m2D_s90_AB05 127 0 119 2
mcs10_m2D_s90_AB06 134 0 134 2
mcs10_m2D_s90_AB07 126 1 118 2
mcs10_m2D_s90_AB08 129 0 121 3
mcs10_m2D_s90_AB09 127 0 124 2
mcs10_m2Dr2_s100_AB00 55 0 51 2
mcs10_m2Dr2_s100_AB01 54 0 53 2
mcs10_m2Dr2_s100_AB02 56 0 53 2
mcs10_m2Dr2_s100_AB03 58 0 59 2
mcs10_m2Dr2_s100_AB04 59 0 55 2
mcs10_m2Dr2_s100_AB05 65 1 64 2
mcs10_m2Dr2_s100_AB06 57 0 54 2
mcs10_m2Dr2_s100_AB07 54 0 53 2
mcs10_m2Dr2_s100_AB08 57 0 53 2
mcs10_m2Dr2_s100_AB09 58 0 56 3
mcs10_m2Dr2_s70_AB00 43 0 44 1
mcs10_m2Dr2_s70_AB01 40 0 40 3
mcs10_m2Dr2_s70_AB02 44 0 45 2
mcs10_m2Dr2_s70_AB03 45 0 47 2
mcs10_m2Dr2_s70_AB04 33 0 37 2
mcs10_m2Dr2_s70_AB05 46 0 47 1
mcs10_m2Dr2_s70_AB06 52 0 50 2
mcs10_m2Dr2_s70_AB07 44 0 43 2
mcs10_m2Dr2_s70_AB08 40 0 41 1
mcs10_m2Dr2_s70_AB09 41 0 40 2
mcs10_m2Dr2_s80_AB00 81 0 77 2
mcs10_m2Dr2_s80_AB01 76 0 71 2
mcs10_m2Dr2_s80_AB02 83 0 77 2
mcs10_m2Dr2_s80_AB03 83 0 84 2
mcs10_m2Dr2_s80_AB04 75 0 70 3
mcs10_m2Dr2_s80_AB05 68 0 65 2
mcs10_m2Dr2_s80_AB06 82 0 75 2
mcs10_m2Dr2_s80_AB07 76 0 70 3
mcs10_m2Dr2_s80_AB08 75 0 70 2
mcs10_m2Dr2_s80_AB09 71 0 68 1
mcs10_m2Dr2_s90_AB00 139 0 137 2
mcs10_m2Dr2_s90_AB01 151 0 151 2
mcs10_m2Dr2_s90_AB02 123 0 113 2
mcs10_m2Dr2_s90_AB03 127 1 119 2
mcs10_m2Dr2_s90_AB04 154 0 148 2
mcs10_m2Dr2_s90_AB05 129 0 119 2
mcs10_m2Dr2_s90_AB06 125 1 126 2
mcs10_m2Dr2_s90_AB07 128 0 129 2
mcs10_m2Dr2_s90_AB08 160 0 119 2
mcs10_m2Dr2_s90_AB09 142 0 149 2
mcs10_m2Dr4_s100_AB00 50 0 50 2
mcs10_m2Dr4_s100_AB01 45 0 44 2
mcs10_m2Dr4_s100_AB02 51 0 51 2
mcs10_m2Dr4_s100_AB03 50 0 48 3
mcs10_m2Dr4_s100_AB04 45 0 45 2
mcs10_m2Dr4_s100_AB05 48 0 47 2
mcs10_m2Dr4_s100_AB06 47 0 48 2
mcs10_m2Dr4_s100_AB07 57 0 55 2
mcs10_m2Dr4_s100_AB08 56 0 56 3
mcs10_m2Dr4_s100_AB09 61 0 57 2
mcs10_m2Dr4_s40_AB00 10 0 15 1
mcs10_m2Dr4_s40_AB01 14 0 19 2
mcs10_m2Dr4_s40_AB02 12 0 13 1
mcs10_m2Dr4_s40_AB03 12 0 15 3
mcs10_m2Dr4_s40_AB04 11 0 14 1
mcs10_m2Dr4_s40_AB05 12 0 14 2
mcs10_m2Dr4_s40_AB06 14 0 17 1
mcs10_m2Dr4_s40_AB07 11 0 16 2
mcs10_m2Dr4_s40_AB08 12 0 16 1
mcs10_m2Dr4_s40_AB09 13 0 15 2
mcs10_m2Dr4_s50_AB00 34 0 35 3
mcs10_m2Dr4_s50_AB01 24 0 27 2
mcs10_m2Dr4_s50_AB02 33 0 33 2
mcs10_m2Dr4_s50_AB03 36 0 36 2
mcs10_m2Dr4_s50_AB04 34 0 34 2
mcs10_m2Dr4_s50_AB05 31 0 31 2
mcs10_m2Dr4_s50_AB06 32 0 35 1
mcs10_m2Dr4_s50_AB07 32 0 34 2
mcs10_m2Dr4_s50_AB08 35 0 40 1
mcs10_m2Dr4_s50_AB09 34 0 34 2
mcs10_m2Dr4_s60_AB00 19 0 21 1
mcs10_m2Dr4_s60_AB01 18 0 21 2
mcs10_m2Dr4_s60_AB02 27 0 29 1
mcs10_m2Dr4_s60_AB03 18 0 21 1
mcs10_m2Dr4_s60_AB04 17 0 22 1
mcs10_m2Dr4_s60_AB05 20 0 23 1
mcs10_m2Dr4_s60_AB06 17 0 19 1
mcs10_m2Dr4_s60_AB07 18 0 20 3
mcs10_m2Dr4_s60_AB08 21 0 24 1
mcs10_m2Dr4_s60_AB09 21 0 22 1
mcs10_m2Dr4_s70_AB00 42 0 41 2
mcs10_m2Dr4_s70_AB01 41 0 42 2
mcs10_m2Dr4_s70_AB02 38 0 39 2
mcs10_m2Dr4_s70_AB03 48 0 45 2
mcs10_m2Dr4_s70_AB04 44 0 42 2
mcs10_m2Dr4_s70_AB05 46 0 43 2
mcs10_m2Dr4_s70_AB06 39 0 39 1
mcs10_m2Dr4_s70_AB07 41 0 43 2
mcs10_m2Dr4_s70_AB08 49 0 49 2
mcs10_m2Dr4_s70_AB09 42 0 41 3
mcs10_m2Dr4_s80_AB00 79 0 77 2
mcs10_m2Dr4_s80_AB01 71 0 66 2
mcs10_m2Dr4_s80_AB02 76 0 74 2
mcs10_m2Dr4_s80_AB03 84 0 76 2
mcs10_m2Dr4_s80_AB04 77 0 73 2
mcs10_m2Dr4_s80_AB05 80 0 79 2
mcs10_m2Dr4_s80_AB06 71 0 66 4
mcs10_m2Dr4_s80_AB07 90 0 83 4
mcs10_m2Dr4_s80_AB08 66 0 66 2
mcs10_m2Dr4_s80_AB09 79 0 77 2
mcs10_m2Dr4_s90_AB00 142 0 141 2
mcs10_m2Dr4_s90_AB01 126 0 120 2
mcs10_m2Dr4_s90_AB02 126 0 123 3
mcs10_m2Dr4_s90_AB03 116 0 108 2
mcs10_m2Dr4_s90_AB04 126 0 113 2
mcs10_m2Dr4_s90_AB05 140 0 138 2
mcs10_m2Dr4_s90_AB06 126 0 107 2
mcs10_m2Dr4_s90_AB07 127 0 122 2
mcs10_m2Dr4_s90_AB08 131 0 125 2
mcs10_m2Dr4_s90_AB09 147 0 145 2
mcs10_m2Dr6_s100_AB00 58 0 56 2
mcs10_m2Dr6_s100_AB01 61 0 55 2
mcs10_m2Dr6_s100_AB02 53 0 52 2
mcs10_m2Dr6_s100_AB03 47 0 47 2
mcs10_m2Dr6_s100_AB04 52 0 52 2
mcs10_m2Dr6_s100_AB05 61 0 60 3
mcs10_m2Dr6_s100_AB06 52 0 51 3
mcs10_m2Dr6_s100_AB07 53 0 53 2
mcs10_m2Dr6_s100_AB08 52 0 55 2
mcs10_m2Dr6_s100_AB09 61 0 58 2
mcs10_m2Dr6_s40_AB00 11 0 15 2
mcs10_m2Dr6_s40_AB01 13 0 16 2
mcs10_m2Dr6_s40_AB02 12 0 16 1
mcs10_m2Dr6_s40_AB03 11 0 16 2
mcs10_m2Dr6_s40_AB04 12 0 18 2
mcs10_m2Dr6_s40_AB05 13 0 17 2
