instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs10_b03_s70_AB05 100000 100000 25878 8516 5644 5674 4240 100000 62087 76990 9672 8891 59093 80920 100000 18450 1053 100000 81955
mcs10_b03_s70_AB06 100000 100000 100001 100001 100020 100036 100018 100000 100000 100001 100000 100000 100001 100001 100000 100000 100018 100000 100001
mcs10_b03_s70_AB07 100000 100000 10391 2091 2587 2709 2589 4426 3407 2588 35628 39840 2823 100000 100000 9254 488 100000 2531
mcs10_b03_s70_AB08 100000 100000 100001 100001 100002 100041 100003 100000 100001 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_b03_s70_AB09 35727 100000 9142 7037 3775 4928 3796 100001 100001 100002 3330 3419 100002 12437 20474 28806 1449 100000 100002
mcs10_b03_s80_AB00 100000 100000 100001 100002 100002 100004 100002 100000 100001 100002 100000 100000 100001 100001 100001 100000 100003 100000 100002
mcs10_b03_s80_AB01 100000 100000 100001 100001 100003 100004 100003 100000 100001 100002 100000 100000 100002 100001 100000 100000 100003 100000 100002
mcs10_b03_s80_AB02 100000 100000 100001 100001 100003 100004 100003 100000 100001 100001 100000 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s80_AB03 100000 100000 100001 100002 100003 100040 100002 100001 100001 100001 100000 100000 100002 100001 100001 100000 100002 100000 100002
mcs10_b03_s80_AB04 100000 100000 100001 100001 100002 100037 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100002 100000 100001
mcs10_b03_s80_AB05 100000 100000 100001 100001 100002 100004 100003 100000 100000 100002 100000 100000 100002 100001 100001 100000 100002 100000 100001
mcs10_b03_s80_AB06 100000 100000 100001 100001 100016 100031 100018 100000 100001 100001 100000 100000 100001 100001 100000 100000 100017 100000 100001
mcs10_b03_s80_AB07 100000 100000 100001 100001 100003 100005 100003 11031 11000 10451 100000 100000 10137 100001 100001 100000 100003 100000 11011
mcs10_b03_s80_AB08 100000 100000 100001 100001 100003 100046 100003 100000 100001 100002 100000 100000 100002 100001 100001 100000 100002 100000 100002
mcs10_b03_s80_AB09 100000 100000 100001 100002 100002 100004 100003 100000 100001 100001 100000 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB00 100000 100000 100002 100002 100004 100017 100003 100000 100001 100001 100001 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03_s90_AB01 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100001 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03_s90_AB02 100000 100000 100001 100001 100003 100006 100003 100000 100001 100002 100001 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB03 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100001 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB04 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100001 100001 100001 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB05 100000 100000 100001 100001 100003 100016 100004 100000 100001 100002 100001 100001 100002 100001 100001 100000 100003 100000 100001
mcs10_b03_s90_AB06 100000 100000 100001 100002 100004 100005 100003 100000 100001 100002 100000 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB07 100000 100000 100001 100002 100003 100017 100003 100000 100001 100002 100001 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB08 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100000 100001 100002 100001 100001 100000 100003 100000 100002
mcs10_b03_s90_AB09 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_b03m_s100_AB00 100000 100000 100001 100001 100003 100040 100002 100000 100000 100003 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_b03m_s100_AB01 16776 100000 2306 1268 1204 1087 1200 100000 100000 100000 1003 1027 100001 4235 8440 16237 1064 100000 100001
mcs10_b03m_s100_AB02 100000 100000 100001 100001 100005 100009 100003 100000 100001 100001 36835 36822 100002 100000 100000 100000 100005 100000 100001
mcs10_b03m_s100_AB03 100000 100000 100001 100001 100015 100030 100016 100000 100001 100001 100000 100000 100001 100001 100000 100000 100015 100000 100001
mcs10_b03m_s100_AB04 100000 100000 100001 100001 100003 100035 100003 100000 100000 100001 100000 100000 100001 100001 100000 100000 100003 100000 100000
