instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs10_m3Dr2_s70_AB02 2922 100000 392 242 171 221 166 84281 82141 54773 211 205 58872 737 1441 2752 163 100000 44517
mcs10_m3Dr2_s70_AB03 100000 100000 15627 6135 2813 3067 2859 27826 25076 25548 7906 6900 25198 36621 79663 57395 2604 100000 27549
mcs10_m3Dr2_s70_AB04 100000 100000 84542 24972 8008 8052 8040 35423 42788 35431 48702 52008 35838 100001 100000 100000 7832 100000 35579
mcs10_m3Dr2_s70_AB05 26761 100000 3124 1759 1655 2188 1666 100000 100001 100003 1561 1683 100002 5943 12008 13607 629 100000 100001
mcs10_m3Dr2_s70_AB06 100000 100000 69336 34898 24298 24415 24300 22218 22395 22144 41025 39340 22493 100001 100000 100000 24070 100000 31797
mcs10_m3Dr2_s70_AB07 76951 100000 11075 5647 3240 3231 3214 74403 55396 42753 5292 5076 49054 19716 40138 70082 3182 100000 48892
mcs10_m3Dr2_s70_AB08 1756 14116 109 67 63 71 73 4152 3940 2788 136 148 3001 348 869 179 41 8631 2902
mcs10_m3Dr2_s70_AB09 60172 100000 7569 3989 2892 2987 2904 100000 100001 100001 4068 3987 100001 14427 29708 59492 2756 100000 100002
mcs10_m3Dr2_s80_AB00 100000 100000 100001 100001 100002 100005 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100002 100000 100001
mcs10_m3Dr2_s80_AB01 61764 100000 23984 3427 2958 2933 2978 100000 100000 100001 4328 4494 100002 27864 39573 41329 1921 100000 100002
mcs10_m3Dr2_s80_AB02 100000 100000 100001 100001 100012 52820 100012 100000 100000 100002 77990 79817 100001 100001 100001 100000 31614 100000 100001
mcs10_m3Dr2_s80_AB03 100000 100000 100001 100001 100003 100030 100002 100000 100001 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_m3Dr2_s80_AB04 100000 100000 100001 59069 43739 47996 43780 100000 100000 100002 74874 67824 100001 100001 100000 100000 39981 100000 100001
mcs10_m3Dr2_s80_AB05 100000 100000 100001 100001 100002 100039 100002 100000 100001 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_m3Dr2_s80_AB06 100000 100000 71334 40137 32014 30839 32093 77611 77645 77736 38011 37839 78173 100000 100000 100000 30315 100000 78245
mcs10_m3Dr2_s80_AB07 100000 100000 100001 100002 100003 100004 100002 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr2_s80_AB08 100000 100000 100001 100001 100003 100004 100002 100000 100001 100002 100000 100000 100001 100001 100000 100000 100003 100000 100002
mcs10_m3Dr2_s80_AB09 100000 100000 100001 53890 42967 42268 43420 100000 100001 100001 54167 53385 100002 100001 100001 100000 42926 100000 100001
mcs10_m3Dr2_s90_AB00 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr2_s90_AB01 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100002 100001 100001 100000 100004 100000 100002
mcs10_m3Dr2_s90_AB02 100000 100000 100002 100002 100003 100005 100003 100000 100001 100001 100000 100000 100002 100001 100001 100000 100003 100000 100001
mcs10_m3Dr2_s90_AB03 100000 100000 100001 100001 100002 100004 100003 100000 100001 100002 100000 100000 100002 100001 100001 100000 100003 100000 100001
mcs10_m3Dr2_s90_AB04 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr2_s90_AB05 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_m3Dr2_s90_AB06 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100000 100000 100001 100001 100001 100000 100004 100000 100002
mcs10_m3Dr2_s90_AB07 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr2_s90_AB08 100000 100000 100001 100001 100003 100006 100003 100000 100001 100002 100000 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_m3Dr2_s90_AB09 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr4_s100_AB00 100000 100000 34035 17723 13612 15334 13643 100000 100001 100001 15815 15476 100000 64551 100000 100000 11790 100000 100001
mcs10_m3Dr4_s100_AB01 91384 100000 13215 9118 3455 4351 3419 100000 100001 100001 6508 6499 100001 21302 42635 50191 2317 100000 100001
mcs10_m3Dr4_s100_AB02 100000 100000 20016 11008 8918 11398 8804 100000 100001 100001 12482 11678 100001 36845 74770 100000 6607 100000 100001
mcs10_m3Dr4_s100_AB03 67605 100000 6095 3284 2530 2609 2513 100000 100001 100001 3225 3199 100001 14034 30868 44834 1985 100000 100001
mcs10_m3Dr4_s100_AB04 100000 100000 100001 100001 100008 100011 100008 100000 100000 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_m3Dr4_s100_AB05 100000 100000 15176 7654 5958 5916 5948 100000 100001 100001 7583 7518 100001 29516 68053 100000 5810 100000 100001
mcs10_m3Dr4_s100_AB06 100000 100000 29612 15437 14092 11094 14083 100000 100000 100001 11110 13157 100001 57927 100000 99094 4669 100000 100000
mcs10_m3Dr4_s100_AB07 63802 100000 6341 2941 1016 2489 1014 100000 100000 100001 2878 2849 100001 17638 33473 12264 597 100000 100001
mcs10_m3Dr4_s100_AB08 100000 100000 100001 79037 63526 59952 63999 100000 100000 100001 75984 74790 100001 100000 100000 100000 52504 100000 100001
mcs10_m3Dr4_s100_AB09 100000 100000 34632 17385 12650 12662 12519 100000 100000 100001 17565 17531 100002 69486 100001 100000 12355 100000 100002
mcs10_m3Dr4_s60_AB00 143 2869 31 23 31 31 27 2348 2324 2305 35 34 2424 44 74 133 29 2841 2256
mcs10_m3Dr4_s60_AB01 400 3015 63 44 42 54 43 494 406 449 47 69 433 111 202 384 44 2687 430
mcs10_m3Dr4_s60_AB02 2552 7516 288 190 113 131 116 2761 2636 2677 176 198 2783 576 1227 1757 115 7350 2583
mcs10_m3Dr4_s60_AB03 757 7599 107 68 62 78 60 268 321 259 92 89 292 194 393 721 64 6523 243
mcs10_m3Dr4_s60_AB04 11 636 11 11 12 13 12 194 146 194 43 27 195 8 10 9 12 139 156
mcs10_m3Dr4_s60_AB05 5889 1692 718 386 275 276 275 286 292 263 462 466 286 1418 3079 5339 265 1203 290
mcs10_m3Dr4_s60_AB06 1283 11343 140 75 64 79 66 962 1071 895 119 107 906 311 643 595 57 8197 938
mcs10_m3Dr4_s60_AB07 682 8816 85 52 46 66 48 1657 1472 1449 67 75 1583 145 313 519 44 8463 1532
mcs10_m3Dr4_s60_AB08 221 23981 51 46 38 48 42 6426 5635 4994 56 60 5924 85 129 183 34 21641 5264
mcs10_m3Dr4_s60_AB09 130 2501 26 22 27 31 25 550 375 534 54 38 532 38 60 98 23 1886 512
mcs10_m3Dr4_s70_AB00 28200 100000 3540 1899 1287 1334 1323 100000 100001 100002 1823 1873 100002 6658 13995 27008 1272 100000 100001
mcs10_m3Dr4_s70_AB01 41128 100000 3450 1805 1737 3174 1729 50024 38904 35817 2040 1933 35775 8117 19314 18065 849 68243 35465
mcs10_m3Dr4_s70_AB02 35178 100000 4004 2056 1432 1462 1439 47027 46911 47156 2168 2162 46150 8051 17245 31119 1455 100000 44828
mcs10_m3Dr4_s70_AB03 78361 100000 9890 5412 3303 3342 3322 100000 100001 100001 5328 5207 100002 18633 39907 67722 3069 100000 100001
mcs10_m3Dr4_s70_AB04 8035 100000 945 650 633 659 648 51665 31334 23997 645 433 29967 1760 4000 5134 264 100000 17786
mcs10_m3Dr4_s70_AB05 49909 100000 5484 2753 1888 1966 1893 13434 7236 6407 3010 3082 6424 10412 23745 41775 1889 90002 9923
mcs10_m3Dr4_s70_AB06 65647 100000 7975 4243 3128 3158 3112 99796 89293 88713 4244 4280 88928 15106 32107 61829 2804 100000 92190
mcs10_m3Dr4_s70_AB07 36659 100000 3881 1998 1396 1416 1402 17167 14087 12909 2245 2217 13722 8533 18042 30077 1366 100000 11371
mcs10_m3Dr4_s70_AB08 76297 100000 8763 4269 2438 3762 2409 100000 100001 100001 4952 5245 100001 18899 38949 30833 1374 100000 100001
mcs10_m3Dr4_s70_AB09 47865 100000 7555 4720 4151 2925 4118 85873 100001 96849 3051 3062 83472 12681 24367 44115 1977 100000 100002
mcs10_m3Dr4_s80_AB00 100000 100000 100001 100001 100003 100003 100003 100000 100001 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_m3Dr4_s80_AB01 100000 100000 34708 17639 13046 13027 12917 100000 100001 100001 16627 16643 100001 66803 100000 100000 12625 100000 100002
mcs10_m3Dr4_s80_AB02 100000 100000 100001 100002 100003 100037 100002 100000 100000 100001 100000 100000 100001 100001 100001 100000 100002 100000 100001
mcs10_m3Dr4_s80_AB03 100000 100000 22795 9392 6343 6229 6363 100000 100001 100001 9601 12378 100002 45988 100001 100000 6280 100000 100002
mcs10_m3Dr4_s80_AB04 100000 100000 100001 100001 100006 100003 100006 100000 100001 100001 100000 100000 100001 100000 100001 100000 100002 100000 100001
mcs10_m3Dr4_s80_AB05 100000 100000 100001 100001 100002 100029 100002 100000 100001 100001 100000 100000 100001 100001 100001 100000 100002 100000 100002
mcs10_m3Dr4_s80_AB06 100000 100000 23764 12177 9017 9301 9023 100000 100001 100001 11493 11493 100002 45409 93859 100000 8538 100000 100001
mcs10_m3Dr4_s80_AB07 100000 100000 100001 100002 100016 100028 100015 100000 100001 100001 100000 100000 100001 100001 100000 100000 100002 100000 100002
mcs10_m3Dr4_s80_AB08 100000 100000 18711 9592 7789 8923 7736 100000 100001 100001 9256 8615 100002 33459 71685 100000 6166 100000 100002
mcs10_m3Dr4_s80_AB09 100000 100000 72382 36304 26784 32017 26727 100000 100001 100001 33732 33765 100001 100001 100000 100000 26466 100000 100002
mcs10_m3Dr4_s90_AB00 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100000 100000 100002 100001 100001 100000 100003 100000 100001
mcs10_m3Dr4_s90_AB01 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100000 100002 100001 100001 100000 100004 100000 100001
mcs10_m3Dr4_s90_AB02 100000 100000 100001 100001 100003 100040 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr4_s90_AB03 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100002 100001 100001 100000 100004 100000 100001
mcs10_m3Dr4_s90_AB04 100000 100000 100001 100001 100003 100004 100003 100000 100001 100001 100000 100001 100001 100001 100001 100000 100004 100000 100001
mcs10_m3Dr4_s90_AB05 100000 100000 100001 100002 100004 100006 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr4_s90_AB06 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100001 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr4_s90_AB07 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr4_s90_AB08 100000 100000 100001 100001 100003 100005 100003 100000 100001 100001 100001 100001 100001 100001 100001 100000 100003 100000 100002
mcs10_m3Dr4_s90_AB09 100000 100000 100001 100001 100003 100005 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr6_s100_AB00 30239 100000 3834 1968 1355 1422 1357 100000 100000 100001 1918 1867 100001 7399 15387 30008 1334 100000 100001
mcs10_m3Dr6_s100_AB01 2580 100000 410 265 245 243 253 30587 28489 26079 214 288 25242 687 1290 2327 151 82371 28520
mcs10_m3Dr6_s100_AB02 100000 100000 12683 5480 3266 3233 3165 100000 100000 100001 6499 6444 100001 32980 67387 65582 3119 100000 100001
mcs10_m3Dr6_s100_AB03 14049 100000 2534 1164 509 507 485 100000 100000 100001 862 771 100001 3935 6995 8969 468 100000 100001
mcs10_m3Dr6_s100_AB04 42996 100000 5830 3080 2119 2200 2103 100000 100000 100001 2632 2717 100000 10839 21931 42513 1997 100000 100002
mcs10_m3Dr6_s100_AB05 100000 100000 22984 11685 8893 8952 8925 100000 100000 100001 12287 11699 100001 43874 90159 100000 8424 100000 100001
mcs10_m3Dr6_s100_AB06 90113 100000 11703 7455 5674 3176 5636 100000 100000 100001 5721 5410 100001 21472 44254 58034 2570 100000 100001
mcs10_m3Dr6_s100_AB07 30551 100000 3506 1205 805 877 859 100000 100000 100001 1211 1260 100001 7263 15751 16162 773 100000 100001
mcs10_m3Dr6_s100_AB08 38087 100000 5347 3667 2719 2111 2676 100000 100000 100001 2503 2400 100001 10142 18131 21328 1010 100000 100001
mcs10_m3Dr6_s100_AB09 100000 100000 15811 8558 7204 8097 7191 100000 100000 100001 8385 7261 100001 28494 57192 100000 5133 100000 100001
mcs10_m3Dr6_s60_AB00 2815 3687 277 86 69 93 62 3838 3741 3786 167 171 3968 600 1413 600 51 2568 3918
mcs10_m3Dr6_s60_AB01 51 1309 17 21 25 23 24 740 735 731 30 23 731 21 32 36 18 1090 750
mcs10_m3Dr6_s60_AB02 325 16503 55 40 38 46 39 2347 2412 2178 45 42 2077 89 162 262 34 14265 2066
mcs10_m3Dr6_s60_AB03 1236 10691 157 67 56 65 64 4517 5834 4749 81 84 4770 297 632 703 59 8114 4552
mcs10_m3Dr6_s60_AB04 215 3528 41 29 31 41 28 622 607 360 41 40 364 65 112 201 35 3307 440
mcs10_m3Dr6_s60_AB05 1032 11873 123 63 56 60 57 6263 5553 5063 73 71 5131 246 500 447 43 11476 6108
mcs10_m3Dr6_s60_AB06 432 17883 71 49 45 42 42 2930 2833 2825 51 58 2840 118 215 409 44 16944 2886
mcs10_m3Dr6_s60_AB07 125 4000 26 23 28 29 24 563 307 321 28 39 342 42 70 88 28 3615 307
mcs10_m3Dr6_s60_AB08 471 10282 73 49 43 61 52 5085 4991 5218 64 59 5159 127 241 436 43 7668 5355
mcs10_m3Dr6_s60_AB09 181 1763 37 26 30 32 29 902 886 911 71 37 908 52 94 125 25 1595 877
mcs10_m3Dr6_s70_AB00 100000 100000 66889 33485 23748 23765 23901 72929 74975 69094 45662 44130 68737 100001 100000 100000 23836 100000 84961
mcs10_m3Dr6_s70_AB01 9378 100000 833 466 312 322 315 49109 51335 62074 450 471 43833 1774 4212 6197 309 100000 49672
mcs10_m3Dr6_s70_AB02 100000 100000 22123 11117 7894 7969 7968 49225 56680 50291 12270 12594 49431 42617 96720 100000 7894 100000 50003
mcs10_m3Dr6_s70_AB03 26389 60190 3211 1640 1159 1191 1140 3381 3331 2682 1827 1879 2240 6351 13356 24825 1128 55757 2991
mcs10_m3Dr6_s70_AB04 15258 100000 1913 1032 777 849 772 100000 100001 100001 1024 1053 100002 3623 7502 13510 665 100000 100002
mcs10_m3Dr6_s70_AB05 15011 100000 1690 729 516 533 517 28434 22682 22911 825 777 22581 3571 7523 10846 507 100000 22822
mcs10_m3Dr6_s70_AB06 11826 100000 1419 743 543 536 531 57836 57704 58133 739 745 60571 2699 5758 11166 524 100000 58037
mcs10_m3Dr6_s70_AB07 9612 51987 1243 670 471 483 463 14041 13460 13657 696 704 13651 2380 4815 9420 462 39965 14340
mcs10_m3Dr6_s70_AB08 74379 100000 9074 4370 3301 3454 3319 37299 24893 20667 4719 4714 30730 17698 37504 68128 3196 100000 19267
mcs10_m3Dr6_s70_AB09 7524 75295 1531 1214 675 551 741 12304 13231 13072 821 567 13290 2367 4129 4183 225 20449 13059
mcs10_m3Dr6_s80_AB00 100000 100000 100001 80502 58203 57893 58235 100000 100001 100001 79425 79552 100002 100001 100000 100000 57998 100000 100001
mcs10_m3Dr6_s80_AB01 100000 100000 100001 90764 67636 66891 66966 100000 100000 100001 94621 96245 100001 100000 100000 100000 66885 100000 100001
mcs10_m3Dr6_s80_AB02 100000 100000 40111 21153 17441 20287 17441 100000 100000 100001 17824 19133 100001 90741 100001 100000 14003 100000 100002
mcs10_m3Dr6_s80_AB03 100000 100000 100001 100001 100002 100006 100002 100000 100000 100001 100000 100000 100001 100001 100001 100000 100003 100000 100002
mcs10_m3Dr6_s80_AB04 32103 100000 1185 725 566 756 621 100000 100001 100001 832 1098 100001 4083 15043 7753 453 100000 100001
mcs10_m3Dr6_s80_AB05 100000 100000 76788 44134 37839 46512 37918 100000 100000 100001 38065 35305 100001 100001 100001 100000 24011 100000 100001
mcs10_m3Dr6_s80_AB06 100000 100000 90414 46028 34315 34795 34336 100000 100001 100001 44692 45199 100001 100001 100000 100000 32834 100000 100001
mcs10_m3Dr6_s80_AB07 100000 100000 72625 37991 29528 30131 29286 100000 100000 100002 39952 40659 100001 100001 100000 100000 28463 100000 100001
mcs10_m3Dr6_s80_AB08 100000 100000 99066 50448 37878 36190 38010 100000 100000 100001 56071 55640 100001 100001 100001 100000 36112 100000 100002
mcs10_m3Dr6_s80_AB09 100000 100000 100001 100001 100003 100003 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100002
mcs10_m3Dr6_s90_AB00 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr6_s90_AB01 100000 100000 100001 100002 100003 100005 100004 100000 100001 100002 100000 100000 100001 100001 100001 100000 100003 100000 100002
mcs10_m3Dr6_s90_AB02 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100001 100000 100001 100001 100001 100000 100003 100000 100002
mcs10_m3Dr6_s90_AB03 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100000 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr6_s90_AB04 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr6_s90_AB05 100000 100000 100001 100001 100003 100005 100003 100000 100001 100002 100000 100000 100002 100001 100001 100000 100003 100000 100002
mcs10_m3Dr6_s90_AB06 100000 100000 100001 100001 100003 100004 100003 100000 100000 100001 100001 100000 100003 100001 100001 100000 100002 100000 100001
mcs10_m3Dr6_s90_AB07 100000 100000 100001 100002 100003 100006 100003 100000 100000 100001 100000 100001 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr6_s90_AB08 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m3Dr6_s90_AB09 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100001 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m4D_s100_AB00 100000 100000 100000 100001 100002 100008 100002 100000 100000 100001 81809 80379 100000 100001 100000 100000 100005 100000 100001
mcs10_m4D_s100_AB01 100000 100000 100001 100001 100015 100034 100017 100000 100000 100001 100000 100000 100001 100001 100000 100000 100017 100000 100001
mcs10_m4D_s100_AB02 100000 100000 25649 16058 13673 13377 13721 100000 100001 100001 9195 9199 100001 38438 78408 100000 13674 100000 100001
mcs10_m4D_s100_AB03 629 100000 206 173 217 272 228 100000 100000 100001 82 126 100001 241 355 456 76 100000 100001
mcs10_m4D_s100_AB04 100000 100000 36242 33600 32571 32835 33211 100000 100001 100002 10748 10711 100001 42175 74757 100000 32945 100000 100001
mcs10_m4D_s100_AB05 39674 100000 11050 9665 13024 17380 12920 100000 100001 100001 16477 5429 100001 13272 19645 24381 1750 100000 100001
mcs10_m4D_s100_AB06 72880 100000 10130 7019 6650 5323 6469 100000 100000 100001 4376 4443 100002 17124 34271 67052 4992 100000 100001
mcs10_m4D_s100_AB07 100000 100000 100002 51265 39612 25583 37159 100000 100000 100001 83568 49028 100001 100000 100000 58734 3950 100000 100002
mcs10_m4D_s100_AB08 38041 100000 4313 2331 2193 2333 2190 100000 100001 100001 1900 1961 100001 8589 22150 29567 2092 100000 100001
mcs10_m4D_s100_AB09 100000 100000 100001 81956 67314 66655 65976 100000 100000 100001 60264 60742 100001 100001 100000 100000 66654 100000 100001
mcs10_m4Dr2_s100_AB00 100000 100000 100001 100002 100002 100039 100002 100000 100000 100001 100000 100000 100001 100001 100000 100000 100003 100000 100001
mcs10_m4Dr2_s100_AB01 100000 100000 100001 100002 100011 100027 100011 100000 100001 100001 100000 100000 100001 100001 100000 100000 100010 100000 100001
mcs10_m4Dr2_s100_AB02 100000 100000 100001 100001 100003 100035 100002 100000 100000 100001 100000 100000 100001 100001 100001 100000 100003 100000 100001
mcs10_m4Dr2_s100_AB03 100000 100000 100001 100001 100018 100027 100017 100000 100001 100001 100000 100000 100001 100001 100000 100000 100017 100000 100001
mcs10_m4Dr2_s100_AB04 100000 100000 70418 37423 28175 27927 28330 100000 100000 100001 33931 33628 100001 100001 100000 100000 28780 100000 100001
mcs10_m4Dr2_s100_AB05 100000 100000 100001 100002 100007 100021 100007 100000 100000 100001 100000 100000 100001 100001 100000 100000 100004 100000 100001
mcs10_m4Dr2_s100_AB06 100000 100000 34222 27946 22139 31610 22349 100000 100001 100001 11501 10805 100000 46061 75289 100000 6355 100000 100001
mcs10_m4Dr2_s100_AB07 100000 100000 100001 100004 100008 100016 100008 100000 100000 100001 100000 100000 100001 100001 100000 100000 100007 100000 100001
mcs10_m4Dr2_s100_AB08 100000 100000 70806 49521 47746 59282 46593 100000 100000 100001 47874 57587 100001 100001 100000 100000 29700 100000 100001
mcs10_m4Dr2_s100_AB09 100000 100000 100001 100001 100001 100027 100001 100000 100000 100001 53855 54218 100001 100000 100000 100000 48326 100000 100001
mcs10_m4Dr4_s100_AB00 100000 100000 100001 75761 55578 55451 56470 100000 100000 100001 69164 67187 100001 100001 100000 100000 55636 100000 100001
mcs10_m4Dr4_s100_AB01 100000 100000 100001 100001 100002 100040 100002 100000 100001 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_m4Dr4_s100_AB02 100000 100000 100001 100001 100003 100036 100003 100000 100000 100001 100000 100000 100001 100000 100001 100000 100002 100000 100001
mcs10_m4Dr4_s100_AB03 48754 100000 13148 8868 3735 3609 3731 100000 100000 100001 3104 2751 100001 17516 28399 40950 2081 100000 100001
mcs10_m4Dr4_s100_AB04 36113 100000 4628 2465 1929 1911 1912 100000 100000 100001 2416 2510 100001 8726 18088 35602 1965 100000 100001
mcs10_m4Dr4_s100_AB05 56087 100000 9314 4409 3685 3656 3814 100000 100000 100001 4825 4838 100001 14640 26874 47140 2573 100000 100001
mcs10_m4Dr4_s100_AB06 100000 100000 34115 16142 12783 12141 12957 100000 100000 100001 13829 14148 100002 68240 100000 100000 11245 100000 100001
mcs10_m4Dr4_s100_AB07 71418 100000 9295 5316 4777 5851 4772 100000 100000 100001 5208 4866 100000 16532 33223 65198 3794 100000 100001
mcs10_m4Dr4_s100_AB08 100000 100000 100001 100002 81869 87783 82113 100000 100001 100002 100000 100000 100001 100001 100000 100000 82089 100000 100002
mcs10_m4Dr4_s100_AB09 100000 100000 21436 12228 9528 9224 9612 100000 100000 100001 10776 10765 100001 40128 84470 100000 8576 100000 100002
mcs10_m4Dr6_s100_AB00 100000 100000 42733 21402 16717 16445 16456 100000 100001 100001 20754 20850 100001 82477 100000 100000 16538 100000 100001
mcs10_m4Dr6_s100_AB01 100000 100000 81600 48637 40327 41785 38337 100000 100000 100001 40363 39595 100001 100001 100000 100000 35495 100000 100001
mcs10_m4Dr6_s100_AB02 100000 100000 54699 30637 24919 22854 25015 100000 100000 100001 24395 25048 100001 99835 100000 100000 21670 100000 100001
mcs10_m4Dr6_s100_AB03 100000 100000 58256 30201 22135 24134 21980 100000 100000 100001 27959 28579 100001 100000 100000 100000 21188 100000 100001
mcs10_m4Dr6_s100_AB04 100000 100000 100001 100001 100007 100014 100008 100000 100001 100001 100000 100000 100001 100000 100000 100000 100007 100000 100002
mcs10_m4Dr6_s100_AB05 100000 100000 100001 100001 100003 100030 100002 100000 100000 100001 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_m4Dr6_s100_AB06 100000 100000 57519 30249 24415 23712 24081 100000 100000 100001 26983 26858 100001 100001 100000 100000 19287 100000 100001
mcs10_m4Dr6_s100_AB07 100000 100000 100001 97106 70575 71387 69375 100000 100000 100001 91698 90046 100001 100001 100000 100000 70391 100000 100001
mcs10_m4Dr6_s100_AB08 100004 100000 100001 100001 100018 100033 100017 100000 100001 100001 100001 100000 100001 100001 100000 100000 100018 100000 100001
mcs10_m4Dr6_s100_AB09 2519 100000 347 211 155 165 157 100000 100000 100001 183 171 100001 642 1294 2512 154 100000 100001
mcs10_r001_s100_AB00 100000 100000 100001 100001 100018 100018 100018 100000 100001 100001 100000 100000 100001 100000 100000 100000 100019 100000 100001
mcs10_r001_s100_AB01 100000 100000 100001 100001 81133 100003 88339 100000 100000 100001 100000 100000 100001 100001 100000 100000 87655 100000 100001
mcs10_r001_s100_AB02 100000 100000 100001 100001 100016 100028 100016 100000 100001 100001 100000 100000 100001 100001 100000 100000 100017 100000 100001
mcs10_r001_s100_AB03 100001 100000 100001 100001 100003 100032 100002 100000 100001 100001 100001 100001 100001 100001 100000 100000 100002 100000 100001
mcs10_r001_s100_AB04 100000 100000 100001 100001 100003 100040 100003 100000 100001 100001 100000 100000 100002 100000 100000 100000 100002 100000 100002
mcs10_r001_s100_AB05 100000 100000 100001 100001 100002 100009 100002 100001 100001 100002 100000 100000 100001 100001 100000 100000 100002 100000 100001
mcs10_r001_s100_AB06 100000 100000 15092 10401 10617 8493 10822 100000 100000 100001 6125 4741 100001 28434 62639 76703 3947 100000 100001
mcs10_r001_s100_AB07 100000 100000 100001 100001 100002 100012 100003 100000 100000 100001 100001 100001 100001 100000 100000 100000 100002 100000 100001
mcs10_r001_s100_AB08 100000 100000 100001 100001 100020 100025 100020 100000 100000 100001 100001 100001 100001 100000 100000 100000 100020 100000 100001
mcs10_r001_s100_AB09 100000 100000 100001 100001 100002 100034 100002 100000 100001 100001 100001 100000 100001 100000 100000 100000 100002 100000 100001
mcs10_r005_s100_AB00 45861 100000 6297 3206 1998 1621 1998 100000 100000 100001 2999 3138 100001 11540 22585 25284 1134 100000 100001
mcs10_r005_s100_AB01 8789 100000 1223 660 474 490 473 100000 100000 100001 669 690 100001 2251 4398 6939 343 100000 100001
mcs10_r005_s100_AB02 34463 100000 4065 2081 1425 1417 1417 100000 100000 100001 2172 2159 100001 8377 17236 31494 1391 100000 100001
mcs10_r005_s100_AB03 41392 100000 5231 2701 1932 1964 1921 100000 100000 100001 2631 2618 100001 10024 20361 40689 1787 100000 100001
mcs10_r005_s100_AB04 43050 100000 5396 2903 1764 1773 1786 100000 100000 100001 2857 2882 100001 10300 20963 35266 1581 100000 100000
mcs10_r005_s100_AB05 1501 76977 236 159 98 126 104 98261 96613 96354 118 145 96978 440 793 1036 74 57203 96231
mcs10_r005_s100_AB06 25265 100000 3086 1565 848 625 858 100000 100000 100001 1521 1460 100001 6162 12541 9461 444 100000 100001
mcs10_r005_s100_AB07 11281 100000 1428 816 550 561 553 100000 100000 100001 809 793 100001 2676 5413 10719 501 100000 100001
mcs10_r005_s100_AB08 84169 100000 11117 4804 3320 3350 3331 100000 100000 100001 5048 5128 100001 19815 40983 76367 3304 100000 100001
mcs10_r005_s100_AB09 100000 100000 16678 8507 5749 5732 5731 100000 100000 100001 8175 8288 100001 32066 65791 100000 5725 100000 100001
mcs10_r005_s20_AB00 2 0 3 4 5 8 5 0 2 2 19 17 3 2 2 1 4 0 2
