instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs30_b03m_s20_AB08 1 0 9 7 1 3 3 5 7
mcs30_b03m_s20_AB09 0 0 9 6 1 3 4 5 8
mcs30_b03m_s25_AB00 10 7 17 11 8 10 10 10 16
mcs30_b03m_s25_AB01 4 1 14 5 4 6 8 11 12
mcs30_b03m_s25_AB02 6 7 15 7 5 8 8 9 10
mcs30_b03m_s25_AB03 9 10 12 12 9 11 11 12 12
mcs30_b03m_s25_AB04 2 0 11 6 3 8 7 9 12
mcs30_b03m_s25_AB05 9 13 9 5 6 7 8 9 12
mcs30_b03m_s25_AB06 7 1 14 8 6 11 12 10 15
mcs30_b03m_s25_AB07 4 5 11 7 4 7 7 11 12
mcs30_b03m_s25_AB08 88 51 27 7 46 44 32 23 25
mcs30_b03m_s25_AB09 6 2 13 8 6 10 10 11 16
mcs30_b03m_s30_AB00 3 2 11 5 4 6 7 9 12
mcs30_b03m_s30_AB01 12 34 16 10 9 14 13 13 15
mcs30_b03m_s30_AB02 2 4 11 7 2 4 5 7 10
mcs30_b03m_s30_AB03 1 3 10 7 2 3 4 7 10
mcs30_b03m_s30_AB04 2 75 10 8 2 5 5 8 9
mcs30_b03m_s30_AB05 2 7 10 9 2 4 7 5 10
mcs30_b03m_s30_AB06 9 8 15 7 6 9 8 8 13
mcs30_b03m_s30_AB07 1 13 10 12 4 4 4 7 11
mcs30_b03m_s30_AB08 1 2 10 9 2 4 5 8 10
mcs30_b03m_s30_AB09 2 0 11 3 1 3 4 6 10
mcs30_b03m_s35_AB00 11 213 17 94 7 11 12 9 16
mcs30_b03m_s35_AB01 15 80 17 17 9 16 13 13 17
mcs30_b03m_s35_AB02 12 214 16 20 9 14 14 14 16
mcs30_b03m_s35_AB03 33 44 26 20 25 28 20 22 21
mcs30_b03m_s35_AB04 36 246 20 54 22 30 19 20 21
mcs30_b03m_s35_AB05 7 35 18 36 7 12 13 15 15
mcs30_b03m_s35_AB06 38 175 18 6 24 31 25 23 24
mcs30_b03m_s35_AB07 122 29 28 8 57 59 29 25 30
mcs30_b03m_s35_AB08 4 16 15 8 8 10 10 12 14
mcs30_b03m_s35_AB09 29 138 21 12 15 20 19 21 22
mcs30_b03m_s40_AB00 54 115 17 21 13 16 16 18 18
mcs30_b03m_s40_AB01 35 198 21 34 14 23 22 23 26
mcs30_b03m_s40_AB02 319 262 40 103 157 81 53 41 47
mcs30_b03m_s40_AB03 2486 1908 209 18 1416 788 444 270 209
mcs30_b03m_s40_AB04 248 478 42 74 137 108 70 48 45
mcs30_b03m_s40_AB05 108 16 26 10 54 29 23 25 22
mcs30_b03m_s40_AB06 111 105 32 65 62 68 43 39 39
mcs30_b03m_s40_AB07 3097 6901 84 585 1590 173 131 112 98
mcs30_b03m_s40_AB08 69 131 23 13 33 30 24 23 29
mcs30_b03m_s40_AB09 232 4552 40 235 130 81 50 43 36
mcs30_b03m_s50_AB00 37771 244310 2383 2424 23494 9192 6821 3583 2442
mcs30_b03m_s50_AB01 572328 119459 18784 740 294523 107684 73869 31323 16024
mcs30_b03m_s50_AB02 80383 32306 1931 370 24566 9764 10658 5884 1940
mcs30_b03m_s50_AB03 1000000 45798 65875 1580 1000000 412027 284980 122852 66539
mcs30_b03m_s50_AB04 56794 65266 2566 2858 34742 13154 9154 4279 2471
mcs30_b03m_s50_AB05 25501 5196 1295 2265 15510 6016 4214 1981 1251
mcs30_b03m_s50_AB06 25 973 44 235 42 40 28 36 23
mcs30_b03m_s50_AB07 9352 28888 419 1774 4154 1912 1168 653 431
mcs30_b03m_s50_AB08 72111 36556 2855 1147 44439 16461 11283 5291 2611
mcs30_b03m_s50_AB09 1000000 1000000 163275 3485 1000000 1000001 743508 317062 164490
mcs30_b03m_s60_AB00 3583 11202 218 3306 2036 965 564 314 204
mcs30_b03m_s60_AB01 1380 7709 144 3367 719 385 233 179 147
mcs30_b03m_s60_AB02 874 347534 87 20801 423 249 157 108 73
mcs30_b03m_s60_AB03 8041 17989 89 1868 2480 438 168 111 90
mcs30_b03m_s60_AB04 9570 12508 498 4374 4156 1747 1166 683 468
mcs30_b03m_s60_AB05 551 7777 67 1031 324 164 102 71 78
mcs30_b03m_s60_AB06 1951 24714 169 4246 1088 544 339 192 153
mcs30_b03m_s60_AB07 286 4171 58 995 174 112 72 53 60
mcs30_b03m_s60_AB08 15 3694 22 2147 24 22 20 21 22
mcs30_b03m_s60_AB09 310 4553 69 590 190 128 88 69 63
mcs30_b03m_s70_AB00 167920 1000000 6668 91448 100857 37079 25308 11068 6715
mcs30_b03m_s70_AB01 66784 924955 3114 16999 34491 12922 8773 3901 2697
mcs30_b03m_s70_AB02 955203 1000000 34647 300167 580489 211955 145103 64911 34867
mcs30_b03m_s70_AB03 1000000 568478 147540 32957 1000000 332358 289185 179048 146999
mcs30_b03m_s70_AB04 1000000 662916 87205 52161 1000000 533548 365816 156972 87917
mcs30_b03m_s70_AB05 23508 1000000 1545 129044 11631 4539 4859 2763 1565
mcs30_b03m_s70_AB06 137362 1000000 3504 106461 91369 42259 25795 5300 3251
mcs30_b03m_s70_AB07 912279 1000000 2636 165332 484644 16774 11276 4929 2669
mcs30_b03m_s70_AB08 1000000 1000000 378505 14585 1000000 1000001 1000001 581726 380667
mcs30_b03m_s70_AB09 48722 191462 3721 51384 30148 12294 9238 4860 3422
mcs30_b03m_s80_AB00 1000000 1000000 1000002 1000003 1000000 1000001 1000001 1000001 1000002
mcs30_b03m_s80_AB01 1000000 1000000 185476 129032 1000000 1000001 1000001 470097 155293
mcs30_b03m_s80_AB02 1000000 1000000 767421 1000002 1000001 1000001 1000001 1000001 775800
mcs30_b03m_s80_AB03 1000000 1000000 1000011 433022 1000001 1000001 1000001 1000001 1000012
mcs30_b03m_s80_AB04 1000000 1000000 1000002 1000002 1000000 1000001 1000000 1000001 1000002
mcs30_b03m_s80_AB05 1000000 1000000 1000002 402549 1000000 1000001 1000001 1000002 1000002
mcs30_b03m_s80_AB06 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s80_AB07 1000000 1000000 1000002 1000002 1000000 1000001 1000001 1000001 1000001
mcs30_b03m_s80_AB08 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s80_AB09 1000000 740107 1000003 101537 1000001 1000001 1000001 1000001 1000003
mcs30_b03m_s90_AB00 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s90_AB01 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s90_AB02 1000000 1000000 1000003 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s90_AB03 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s90_AB04 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000001
mcs30_b03m_s90_AB05 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s90_AB06 1000000 1000000 1000002 1000001 1000001 1000001 1000000 1000001 1000002
mcs30_b03m_s90_AB07 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs30_b03m_s90_AB08 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs30_b03m_s90_AB09 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs30_b06_s100_AB00 1578 422012 171 1000003 794 453 238 205 147
mcs30_b06_s100_AB01 1363 1000000 159 1000002 688 399 254 181 158
mcs30_b06_s100_AB02 711 669417 107 706606 442 219 131 91 85
mcs30_b06_s100_AB03 3147 1000000 289 1000002 2099 1101 738 490 288
mcs30_b06_s100_AB04 959 699046 126 393900 497 283 202 156 126
mcs30_b06_s100_AB05 3338 1000000 412 1000001 2171 1254 816 528 374
mcs30_b06_s100_AB06 1240 1000000 153 367158 646 328 222 173 145
mcs30_b06_s100_AB07 2409 1000000 209 1000001 1418 628 366 252 152
mcs30_b06_s100_AB08 3251 1000000 306 1000001 1998 1084 565 358 321
mcs30_b06_s100_AB09 555 697833 103 319191 414 253 176 128 89
mcs30_b06_s25_AB00 6 3 11 8 5 6 8 8 11
mcs30_b06_s25_AB01 4 2 10 8 5 5 6 9 8
mcs30_b06_s25_AB02 6 6 13 8 6 6 9 8 10
mcs30_b06_s25_AB03 3 5 13 8 4 6 7 6 11
mcs30_b06_s25_AB04 5 2 10 9 5 6 8 8 10
mcs30_b06_s25_AB05 3 6 14 8 3 6 7 7 9
mcs30_b06_s25_AB06 3 1 10 9 3 6 6 8 8
mcs30_b06_s25_AB07 4 3 13 8 4 6 7 6 11
mcs30_b06_s25_AB08 3 0 12 9 4 4 5 8 9
mcs30_b06_s25_AB09 1 0 12 6 3 5 6 6 6
mcs30_b06_s30_AB00 2 1 11 8 2 5 7 7 9
mcs30_b06_s30_AB01 1 1 8 4 2 3 4 6 5
mcs30_b06_s30_AB02 1 1 10 5 2 4 5 7 8
mcs30_b06_s30_AB03 2 2 9 5 2 4 7 7 6
mcs30_b06_s30_AB04 1 5 10 6 2 4 7 6 8
mcs30_b06_s30_AB05 1 3 10 7 2 4 5 6 8
mcs30_b06_s30_AB06 1 1 10 6 2 3 5 6 9
mcs30_b06_s30_AB07 2 2 7 6 2 4 5 6 7
mcs30_b06_s30_AB08 1 1 11 8 2 4 5 6 9
mcs30_b06_s30_AB09 2 1 11 9 2 4 6 7 10
mcs30_b06_s35_AB00 3 21 12 31 4 8 9 10 12
mcs30_b06_s35_AB01 3 5 12 9 4 7 10 8 11
mcs30_b06_s35_AB02 3 4 12 13 3 6 8 7 9
mcs30_b06_s35_AB03 4 9 15 14 4 9 10 11 13
mcs30_b06_s35_AB04 2 5 11 17 2 6 8 11 10
mcs30_b06_s35_AB05 2 3 14 9 5 6 7 7 10
mcs30_b06_s35_AB06 3 4 12 25 4 7 8 10 10
mcs30_b06_s35_AB07 2 5 12 8 2 5 6 8 10
mcs30_b06_s35_AB08 4 9 14 11 4 8 12 12 13
mcs30_b06_s35_AB09 3 6 12 9 4 8 10 11 10
mcs30_b06_s40_AB00 9 98 16 40 7 13 15 15 18
mcs30_b06_s40_AB01 7 20 20 46 11 14 15 14 16
mcs30_b06_s40_AB02 5 16 16 18 5 10 14 14 16
mcs30_b06_s40_AB03 6 19 16 56 7 13 14 15 18
mcs30_b06_s40_AB04 4 5 17 12 5 11 11 14 13
mcs30_b06_s40_AB05 12 59 18 55 6 13 14 16 17
mcs30_b06_s40_AB06 5 4 16 17 6 10 10 15 16
mcs30_b06_s40_AB07 7 45 13 11 6 11 12 14 13
mcs30_b06_s40_AB08 7 68 16 33 6 13 12 13 17
mcs30_b06_s40_AB09 12 76 18 48 10 15 12 15 17
mcs30_b06_s50_AB00 83 1180 41 878 55 49 39 36 38
mcs30_b06_s50_AB01 286 542 73 294 132 94 68 64 76
mcs30_b06_s50_AB02 45 2630 45 1782 61 49 32 43 44
mcs30_b06_s50_AB03 71 847 45 780 82 62 41 46 50
mcs30_b06_s50_AB04 1222 1875 130 620 780 435 253 170 133
mcs30_b06_s50_AB05 39 128 39 112 60 44 36 38 37
mcs30_b06_s50_AB06 393 6700 69 288 249 163 103 78 63
mcs30_b06_s50_AB07 751 1394 100 451 456 267 162 112 104
mcs30_b06_s50_AB08 81 4568 43 1142 74 61 41 40 29
mcs30_b06_s50_AB09 14 165 34 140 32 30 26 34 32
mcs30_b06_s60_AB00 24 1080 25 1083 19 17 15 21 23
mcs30_b06_s60_AB01 99 2935 32 1438 66 45 29 32 34
mcs30_b06_s60_AB02 28 852 21 323 23 20 17 23 21
mcs30_b06_s60_AB03 51 1675 33 1499 63 44 29 29 39
mcs30_b06_s60_AB04 22 361 30 221 34 27 25 28 28
mcs30_b06_s60_AB05 12 528 24 691 15 17 17 21 22
mcs30_b06_s60_AB06 26 1702 24 287 21 20 21 25 23
mcs30_b06_s60_AB07 24 557 25 716 20 19 19 22 25
mcs30_b06_s60_AB08 19 416 31 885 28 25 23 26 28
mcs30_b06_s60_AB09 8 1052 24 932 17 20 19 21 25
mcs30_b06_s70_AB00 715 218774 176 67958 470 282 204 183 178
mcs30_b06_s70_AB01 298 24095 74 28958 212 142 100 79 72
mcs30_b06_s70_AB02 170 4194 64 1788 155 102 70 57 55
mcs30_b06_s70_AB03 46 7575 45 5696 63 51 42 39 44
mcs30_b06_s70_AB04 529 80302 84 22672 324 207 128 113 98
mcs30_b06_s70_AB05 613 22142 102 24089 355 220 143 107 106
mcs30_b06_s70_AB06 5258 29313 341 12525 2717 1266 789 480 345
mcs30_b06_s70_AB07 373 22132 69 10855 234 155 102 76 69
mcs30_b06_s70_AB08 842 11653 82 5129 490 287 172 127 98
mcs30_b06_s70_AB09 500 17941 69 4379 283 181 107 88 76
mcs30_b06_s80_AB00 38001 457379 1587 114979 23841 8960 5986 2769 1552
mcs30_b06_s80_AB01 44048 1000000 1770 1000002 19926 7573 4383 2405 1624
mcs30_b06_s80_AB02 2704 101084 227 252814 1583 850 477 292 224
mcs30_b06_s80_AB03 1737 608094 263 129387 1118 624 368 250 221
mcs30_b06_s80_AB04 55459 1000000 2456 242527 33430 12626 8504 4058 2325
mcs30_b06_s80_AB05 25842 444068 1488 184572 15850 6060 3770 2095 1378
mcs30_b06_s80_AB06 86398 1000000 3221 1000002 44749 16705 11352 4948 2828
mcs30_b06_s80_AB07 11506 1000000 564 471043 7030 2840 1842 993 546
mcs30_b06_s80_AB08 155943 1000000 6814 539387 91598 33740 23106 11656 6524
mcs30_b06_s80_AB09 8531 844388 468 1000003 4975 1981 1205 723 415
mcs30_b06_s90_AB00 630198 1000000 20474 1000002 378540 137762 79852 39822 20361
mcs30_b06_s90_AB01 99292 1000000 5761 1000000 49768 18633 11433 7401 4983
mcs30_b06_s90_AB02 793430 1000000 34094 1000001 477060 174449 119008 60395 34988
mcs30_b06_s90_AB03 833367 1000000 26679 1000001 469102 171966 117825 49690 26722
mcs30_b06_s90_AB04 164283 1000000 7389 1000001 99165 37034 21308 10934 6686
mcs30_b06_s90_AB05 1000000 1000000 63024 1000005 707285 258049 176415 76251 63102
mcs30_b06_s90_AB06 46519 1000000 2190 1000002 23201 8877 5910 3180 1981
mcs30_b06_s90_AB07 275243 1000000 10948 1000003 164674 60512 36577 19276 10943
mcs30_b06_s90_AB08 1000000 1000000 40613 1000001 625090 225170 155147 72174 40199
mcs30_b06_s90_AB09 36083 1000000 1248 1000001 19281 6453 3361 1933 1283
mcs30_b06m_s100_AB00 18617 955652 1983 1000001 10548 4549 3674 2416 1885
mcs30_b06m_s100_AB01 12634 1000000 597 1000001 6523 2739 1546 837 534
mcs30_b06m_s100_AB02 2228 1000000 358 1000002 1340 742 425 357 359
mcs30_b06m_s100_AB03 2497 1000000 211 1000001 1328 726 406 273 203
mcs30_b06m_s100_AB04 2798 1000000 209 1000001 1673 900 492 289 166
mcs30_b06m_s100_AB05 10812 1000000 605 824520 6462 2726 1694 857 594
mcs30_b06m_s100_AB06 1020 550526 144 222754 557 350 235 188 139
mcs30_b06m_s100_AB07 3154 1000000 383 1000000 2001 994 536 371 361
mcs30_b06m_s100_AB08 5974 407364 455 349127 3644 1561 978 527 435
mcs30_b06m_s100_AB09 4323 1000000 312 1000001 2428 1207 709 413 304
mcs30_b06m_s25_AB00 5 1 11 7 3 6 6 10 11
mcs30_b06m_s25_AB01 5 3 13 12 3 6 8 10 8
mcs30_b06m_s25_AB02 2 3 12 7 3 6 6 5 12
mcs30_b06m_s25_AB03 4 2 11 7 2 5 8 8 6
mcs30_b06m_s25_AB04 3 5 13 9 3 7 8 10 12
mcs30_b06m_s25_AB05 2 4 13 8 6 5 7 7 8
mcs30_b06m_s25_AB06 3 4 11 9 3 6 9 9 8
mcs30_b06m_s25_AB07 2 1 11 11 5 5 8 6 8
mcs30_b06m_s25_AB08 2 1 11 7 2 6 6 8 11
mcs30_b06m_s25_AB09 2 1 12 11 3 6 7 7 9
mcs30_b06m_s30_AB00 1 0 9 5 1 3 5 5 8
mcs30_b06m_s30_AB01 1 6 9 5 1 3 5 6 7
mcs30_b06m_s30_AB02 1 1 9 8 1 3 4 5 9
mcs30_b06m_s30_AB03 1 0 10 4 1 4 5 4 6
mcs30_b06m_s30_AB04 1 0 9 5 1 3 5 6 7
mcs30_b06m_s30_AB05 2 4 9 8 2 5 5 6 8
mcs30_b06m_s30_AB06 2 3 12 7 2 5 4 7 11
mcs30_b06m_s30_AB07 1 1 8 6 1 4 4 6 8
mcs30_b06m_s30_AB08 1 1 11 7 1 3 6 7 9
mcs30_b06m_s30_AB09 1 0 9 7 1 3 5 5 9
mcs30_b06m_s35_AB00 3 3 13 9 3 6 7 10 12
mcs30_b06m_s35_AB01 4 5 12 11 3 7 9 4 12
mcs30_b06m_s35_AB02 3 5 13 9 4 7 8 10 11
mcs30_b06m_s35_AB03 2 1 14 10 3 7 9 9 11
mcs30_b06m_s35_AB04 2 2 11 9 2 6 9 11 12
mcs30_b06m_s35_AB05 3 18 14 11 5 8 8 9 12
mcs30_b06m_s35_AB06 8 19 13 17 6 12 10 12 15
mcs30_b06m_s35_AB07 3 19 13 10 4 7 8 8 12
mcs30_b06m_s35_AB08 3 4 15 10 3 6 9 7 12
mcs30_b06m_s35_AB09 3 5 13 12 3 7 9 10 9
mcs30_b06m_s40_AB00 6 42 14 42 5 11 12 10 15
mcs30_b06m_s40_AB01 14 21 15 20 9 14 17 15 17
mcs30_b06m_s40_AB02 6 34 17 13 6 13 13 14 18
mcs30_b06m_s40_AB03 7 88 17 32 5 12 13 13 14
mcs30_b06m_s40_AB04 5 18 15 10 5 11 11 13 16
mcs30_b06m_s40_AB05 11 17 18 29 5 11 12 17 16
mcs30_b06m_s40_AB06 9 84 19 37 10 14 15 17 18
mcs30_b06m_s40_AB07 5 19 16 22 5 10 11 13 16
mcs30_b06m_s40_AB08 7 80 16 24 6 11 13 16 15
mcs30_b06m_s40_AB09 8 55 17 77 9 13 13 15 18
mcs30_b06m_s50_AB00 327 1822 67 278 226 147 87 70 67
mcs30_b06m_s50_AB01 140 3089 56 858 95 70 54 47 54
mcs30_b06m_s50_AB02 50 1777 38 837 59 41 33 36 37
mcs30_b06m_s50_AB03 19 505 35 374 28 27 27 32 33
mcs30_b06m_s50_AB04 277 776 75 396 227 153 98 75 62
mcs30_b06m_s50_AB05 38 424 42 352 32 31 33 37 33
mcs30_b06m_s50_AB06 99 2263 45 522 69 53 44 42 48
mcs30_b06m_s50_AB07 431 1159 69 1738 284 182 118 79 73
mcs30_b06m_s50_AB08 2122 20896 179 2080 1366 695 407 248 170
mcs30_b06m_s50_AB09 52 796 36 535 42 36 27 35 38
mcs30_b06m_s60_AB00 61 1146 30 1587 46 36 25 33 33
mcs30_b06m_s60_AB01 63 608 30 249 38 33 24 28 28
mcs30_b06m_s60_AB02 25 391 25 743 14 19 18 22 25
mcs30_b06m_s60_AB03 26 741 23 216 21 21 17 23 23
mcs30_b06m_s60_AB04 115 3616 43 269 78 54 40 35 43
mcs30_b06m_s60_AB05 102 4866 36 3941 84 55 36 33 34
mcs30_b06m_s60_AB06 12 252 21 165 17 18 15 20 21
mcs30_b06m_s60_AB07 71 1585 39 546 62 44 30 32 39
mcs30_b06m_s60_AB08 181 506 45 339 112 79 44 41 46
mcs30_b06m_s60_AB09 35 424 26 310 29 24 15 23 27
mcs30_b06m_s70_AB00 3117 51422 214 12326 1758 897 498 296 206
mcs30_b06m_s70_AB01 535 13280 103 7533 344 214 146 103 95
mcs30_b06m_s70_AB02 1934 40281 173 25065 1086 590 336 214 162
mcs30_b06m_s70_AB03 3189 20606 122 23928 1770 738 202 142 119
mcs30_b06m_s70_AB04 461 5847 78 3819 255 168 98 87 81
mcs30_b06m_s70_AB05 395 9550 67 9361 252 170 100 84 74
mcs30_b06m_s70_AB06 1241 78144 141 55756 681 400 241 182 144
mcs30_b06m_s70_AB07 24 684 28 295 24 26 26 29 23
mcs30_b06m_s70_AB08 17193 18037 792 26853 10414 4179 2594 1262 754
mcs30_b06m_s70_AB09 731 22343 92 6664 418 250 145 113 90
mcs30_b06m_s80_AB00 7344 1000000 761 408838 4461 1821 1148 830 762
mcs30_b06m_s80_AB01 4518 734242 241 548632 2349 1086 579 342 243
mcs30_b06m_s80_AB02 7622 206129 432 119914 4623 1983 1134 591 362
mcs30_b06m_s80_AB03 1001 207755 178 163685 681 404 251 189 181
mcs30_b06m_s80_AB04 1320 157473 246 135939 950 634 486 421 252
mcs30_b06m_s80_AB05 1185 111131 175 157186 787 448 260 183 156
mcs30_b06m_s80_AB06 8792 1000000 421 1000002 4627 2045 1125 670 361
mcs30_b06m_s80_AB07 14597 613196 757 259709 8700 3463 2239 1207 761
mcs30_b06m_s80_AB08 31104 916463 1254 490138 19136 7265 4884 2310 1251
mcs30_b06m_s80_AB09 5895 330686 446 95689 3719 1721 1075 628 435
mcs30_b06m_s90_AB00 650899 1000000 26475 1000002 392519 143276 97912 41451 26442
mcs30_b06m_s90_AB01 1000000 1000000 412571 1000002 1000001 1000001 1000001 619703 342759
mcs30_b06m_s90_AB02 92817 1000000 3340 226114 56263 20918 14261 6182 3249
mcs30_b06m_s90_AB03 39416 1000000 1623 1000003 23811 9077 5149 2767 1612
mcs30_b06m_s90_AB04 1000000 1000000 431850 1000002 1000001 1000001 1000001 843597 431005
mcs30_b06m_s90_AB05 574690 1000000 24285 1000002 345801 126814 87392 39426 24155
mcs30_b06m_s90_AB06 205226 1000000 13286 1000001 106386 41428 30922 16033 11080
mcs30_b06m_s90_AB07 63303 1000000 2651 1000002 37830 14257 8160 4495 2597
mcs30_b06m_s90_AB08 1000000 1000000 71746 1000002 1000001 426339 292039 126769 70710
mcs30_b06m_s90_AB09 346691 1000000 11778 1000001 208692 76809 44268 22460 11780
mcs30_b09_s100_AB00 138 47100 56 30531 145 75 59 54 26
mcs30_b09_s100_AB01 656 140523 96 44601 442 249 168 116 81
mcs30_b09_s100_AB02 764 261084 108 204795 416 241 146 136 114
mcs30_b09_s100_AB03 878 266316 141 134267 608 328 222 161 118
mcs30_b09_s100_AB04 199 70075 61 136845 145 101 48 60 38
mcs30_b09_s100_AB05 4826 395050 336 461568 2751 1256 759 431 314
mcs30_b09_s100_AB06 520 171447 84 89962 340 214 140 89 87
mcs30_b09_s100_AB07 3196 362059 308 242328 1904 989 554 352 271
mcs30_b09_s100_AB08 405 141981 91 98731 317 206 126 100 83
mcs30_b09_s100_AB09 412 109588 73 89565 256 172 117 84 72
mcs30_b09_s35_AB00 1 3 11 6 2 4 4 10 12
mcs30_b09_s35_AB01 5 5 12 11 3 6 7 4 9
mcs30_b09_s35_AB02 2 0 13 9 3 6 6 3 11
mcs30_b09_s35_AB03 2 2 12 9 2 6 7 5 6
mcs30_b09_s35_AB04 2 2 11 12 2 5 8 8 12
mcs30_b09_s35_AB05 2 2 10 12 2 5 6 7 9
mcs30_b09_s35_AB06 2 2 13 9 2 5 8 7 9
mcs30_b09_s35_AB07 1 0 10 7 1 4 6 6 8
mcs30_b09_s35_AB08 2 3 14 9 3 6 6 8 12
mcs30_b09_s35_AB09 3 5 12 13 3 6 8 10 7
mcs30_b09_s40_AB00 6 27 17 69 7 11 14 15 17
mcs30_b09_s40_AB01 6 15 17 28 5 10 13 12 15
mcs30_b09_s40_AB02 5 9 15 16 5 9 11 14 17
mcs30_b09_s40_AB03 5 32 16 52 5 12 12 14 16
mcs30_b09_s40_AB04 6 18 17 38 12 12 14 14 15
mcs30_b09_s40_AB05 4 12 15 41 4 8 9 11 14
mcs30_b09_s40_AB06 5 8 15 44 4 9 9 12 15
mcs30_b09_s40_AB07 3 2 18 24 5 10 13 13 13
mcs30_b09_s40_AB08 4 5 14 16 4 8 9 11 13
mcs30_b09_s40_AB09 5 13 16 47 5 10 13 12 16
mcs30_b09_s50_AB00 18 401 25 418 32 27 17 34 32
mcs30_b09_s50_AB01 45 717 37 524 47 37 26 29 32
mcs30_b09_s50_AB02 62 757 39 676 85 59 33 41 48
mcs30_b09_s50_AB03 57 349 43 612 61 50 41 37 44
mcs30_b09_s50_AB04 19 155 33 357 36 30 28 29 32
mcs30_b09_s50_AB05 37 115 32 86 33 30 27 27 35
mcs30_b09_s50_AB06 25 100 28 60 24 25 24 27 27
mcs30_b09_s50_AB07 21 446 30 804 35 27 24 26 31
mcs30_b09_s50_AB08 83 425 39 1249 60 48 35 36 37
mcs30_b09_s50_AB09 24 103 27 190 24 25 24 28 31
mcs30_b09_s60_AB00 20 187 24 486 19 20 12 23 25
mcs30_b09_s60_AB01 9 112 21 128 16 16 16 19 19
mcs30_b09_s60_AB02 7 128 20 417 15 16 14 17 19
mcs30_b09_s60_AB03 17 142 27 239 26 25 19 25 25
mcs30_b09_s60_AB04 30 343 24 538 24 21 18 23 25
mcs30_b09_s60_AB05 19 446 21 234 17 18 17 19 24
mcs30_b09_s60_AB06 30 572 23 985 27 23 15 21 24
mcs30_b09_s60_AB07 19 187 23 229 18 19 20 20 21
mcs30_b09_s60_AB08 10 156 24 757 21 21 19 25 23
mcs30_b09_s60_AB09 23 399 25 747 16 20 17 22 25
mcs30_b09_s70_AB00 69 2114 50 1505 51 44 40 41 45
mcs30_b09_s70_AB01 122 1631 48 3866 89 63 45 43 50
mcs30_b09_s70_AB02 46 934 37 1191 42 32 31 35 36
mcs30_b09_s70_AB03 26 1590 38 2484 38 32 29 33 33
mcs30_b09_s70_AB04 42 2472 49 2996 56 50 37 43 45
mcs30_b09_s70_AB05 146 2327 63 3144 157 106 72 56 68
mcs30_b09_s70_AB06 183 2483 53 1228 138 94 58 52 54
mcs30_b09_s70_AB07 68 2381 50 5580 73 62 49 48 48
mcs30_b09_s70_AB08 54 3941 50 6151 67 51 40 39 46
mcs30_b09_s70_AB09 82 2217 43 5285 63 46 37 40 45
mcs30_b09_s80_AB00 1311 53653 156 29160 738 428 227 193 149
mcs30_b09_s80_AB01 1221 48656 125 45493 628 355 223 165 135
mcs30_b09_s80_AB02 824 46310 148 14542 596 353 198 157 130
mcs30_b09_s80_AB03 871 168231 114 57330 485 293 189 133 117
mcs30_b09_s80_AB04 2119 67247 198 41036 1251 685 378 256 186
mcs30_b09_s80_AB05 452 72024 85 46877 277 186 129 103 91
mcs30_b09_s80_AB06 871 24206 104 26317 443 265 151 129 102
mcs30_b09_s80_AB07 319 8350 97 9725 278 188 133 105 96
mcs30_b09_s80_AB08 587 49667 97 14899 375 238 133 121 98
mcs30_b09_s80_AB09 994 63293 170 41036 690 395 247 184 160
mcs30_b09_s90_AB00 78124 539450 2896 869636 47098 17003 9852 5086 2877
mcs30_b09_s90_AB01 1674 310564 189 735464 903 523 307 231 193
mcs30_b09_s90_AB02 2666 112333 267 63162 1635 892 477 344 244
mcs30_b09_s90_AB03 226037 1000000 7688 1000005 136394 49983 28790 14517 7634
mcs30_b09_s90_AB04 39938 1000000 1601 1000005 23122 8826 5086 2673 1405
mcs30_b09_s90_AB05 22000 669097 1521 679693 13229 5199 3655 1776 1519
mcs30_b09_s90_AB06 30188 842096 1179 1000004 15330 6224 3923 1942 1155
mcs30_b09_s90_AB07 6757 998388 422 984673 4099 1792 1038 598 393
mcs30_b09_s90_AB08 77619 887657 2875 1000003 46023 17019 11482 5107 2755
mcs30_b09_s90_AB09 51393 1000000 2152 1000002 30937 11679 7829 3610 2058
mcs30_b09m_s100_AB00 144 88534 59 78863 112 94 68 53 49
mcs30_b09m_s100_AB01 299 101586 74 193578 207 141 95 75 71
mcs30_b09m_s100_AB02 398 341517 104 444625 305 197 136 115 93
mcs30_b09m_s100_AB03 1395 382268 165 235883 759 425 240 182 154
