instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
si2_r001_m600.08 100000 100001 100002 100003 100003 100010 100010
si2_r001_m600.03 100000 100001 100003 100003 100002 100013 100013
si2_r001_m600.01 19618 100001 5050 2960 4984 1804 1858
si2_r001_m600.05 100000 100001 3318 18603 3525 19366 19846
si2_r001_m600.09 100000 100001 100003 100003 100003 100010 100010
si2_m4Dr2_m256.09 31 10 9 6 9 23 20
si2_m4Dr2_m256.03 329 105 10 18 9 32 29
si2_m4Dr2_m256.04 53 89 7 19 8 22 24
si2_m4Dr2_m256.07 46 3 13 7 11 34 31
si2_m4Dr2_m256.00 163 13 9 3 8 20 48
si2_m4Dr2_m256.06 581 41 37 6 35 90 76
si2_m4Dr2_m256.08 10 1 8 5 7 29 26
si2_m4Dr2_m256.05 10 0 6 3 8 15 15
si2_m4Dr2_m256.01 10 2 8 11 8 56 24
si2_m4Dr2_m256.02 58 2 7 7 9 28 20
si6_r001_m600.09 318 10 52 9 55 130 138
si6_r001_m600.00 100000 312 34204 30 31951 41583 42035
si6_r001_m600.07 17362 8 1556 12 1530 1630 1624
si6_r001_m600.03 4261 18 461 15 414 569 572
si6_r001_m600.01 12251 18 1077 18 1290 1305 1255
si6_r001_m600.06 1456 8 119 16 125 239 208
si6_r001_m600.08 32267 7 1873 11 1898 2849 2864
si6_r001_m600.02 6316 66 693 22 941 782 792
si6_r001_m600.04 100000 472 13792 114 14860 14983 15394
si6_r001_m600.05 649 7 77 10 81 166 172
si2_m4Dr2_m1296.05 401 20 104 25 94 291 231
si2_m4Dr2_m1296.09 3324 31 102 24 82 239 236
si2_m4Dr2_m1296.02 3981 49 233 23 230 395 312
si2_m4Dr2_m1296.07 2934 98 147 27 115 329 316
si2_m4Dr2_m1296.00 487 17 98 24 77 243 237
si2_m4Dr2_m1296.06 9854 159 876 33 885 819 1022
si2_m4Dr2_m1296.08 457 17 88 27 90 253 249
si2_m4Dr2_m1296.01 1912 384 139 29 118 335 266
si2_m4Dr2_m1296.03 663 21 117 25 128 272 268
si2_m4Dr2_m1296.04 740 18 89 27 97 236 242
si4_b06m_m800.08 288 8 56 14 66 150 159
si4_b06m_m800.00 270 11 52 13 53 156 131
si4_b06m_m800.06 250 8 57 13 49 148 179
si4_b06m_m800.05 255 8 55 14 54 148 148
si4_b06m_m800.04 260 8 54 12 60 141 146
si4_b06m_m800.09 252 8 73 14 60 178 196
si4_b06m_m800.01 260 8 54 14 52 140 152
si4_b06m_m800.07 247 12 53 12 55 149 159
si4_b06m_m800.03 289 7 63 11 67 165 158
si4_b06m_m800.02 260 8 53 15 58 154 147
si6_m4Dr2_m625.08 231 6 61 11 68 193 172
si6_m4Dr2_m625.09 353 8 53 10 46 129 132
