instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
g7-g40 100000 100000 100002 100001 100001 100005 100004
g7-g41 1181 75 266 78 269 209 203
g7-g42 2733 123 494 125 512 395 394
g7-g43 14477 720 3070 460 3174 1856 1781
g7-g44 100000 25249 100003 4566 100003 61221 59464
g7-g45 100000 5691 29029 1711 27945 16350 16265
g7-g46 100000 4632 18694 1667 17647 12061 12075
g7-g47 94005 4020 16315 1526 16384 10466 10366
g7-g48 100000 6062 25475 2013 25249 15765 15890
g7-g49 26858 1310 4656 659 4608 3160 3334
g7-g50 100000 100000 100003 100002 100003 100006 100006
g8-g10 30285 445 3882 98 3671 814 810
g8-g11 100000 90433 100002 5855 100002 100002 100001
g8-g12 100000 100000 100002 8701 100002 100003 100002
g8-g13 100000 43168 100003 2572 100002 69726 70541
g8-g14 100000 31480 100002 2762 100003 64556 64301
g8-g15 100000 57224 100002 5254 100002 100002 100002
g8-g16 3 0 4 3 4 17 22
g8-g19 100000 100000 100002 100001 100002 100002 100002
g8-g20 100000 100000 100002 100001 100002 100003 100003
g8-g21 7975 535 2142 376 2133 922 958
g8-g22 6259 2112 5126 216 5073 534 500
g8-g23 100000 100000 100002 13210 100002 100002 100002
g8-g25 100000 100000 100002 100001 100002 100002 100002
g8-g26 100000 100000 100002 37736 100002 100002 100003
g8-g27 100000 10241 100002 3485 99712 16392 15886
g8-g28 100000 100000 100003 8071 100003 100002 100002
g8-g29 100000 100000 100002 100001 100002 100002 100002
g8-g30 100000 100000 100002 100001 100002 100002 100002
g8-g31 100000 100000 100002 100001 100002 100002 100002
g8-g32 828 1255 532 208 525 250 235
g8-g33 11190 430 8156 98 8665 486 475
g8-g35 9284 2677 6227 259 5849 841 739
g8-g36 62442 6457 15327 511 15491 4018 4572
g8-g37 38 0 11 4 12 31 30
g8-g38 100000 100000 100002 100002 100002 100003 100003
g8-g40 100000 100000 100002 100001 100002 100005 100005
g8-g41 23443 955 17218 93 16959 563 446
g8-g42 100000 62226 100002 5427 100002 97352 93401
g8-g43 100000 100000 100002 50463 100003 27979 26192
g8-g44 100000 100000 100002 29367 100002 100002 100002
g8-g45 100000 100000 100002 50282 100002 100001 100002
g8-g46 100000 100000 100003 57208 100002 100002 100002
g8-g47 100000 100000 100002 44695 100002 100002 100002
g8-g48 100000 100000 100002 18783 100002 100002 100002
g8-g49 100000 100000 94415 3754 94458 4248 6548
g8-g50 100000 100000 100002 100001 100002 100004 100004
g8-g9 100000 100000 100003 41514 100003 100002 100002
g9-g10 100000 100000 100003 100002 100003 100003 100002
g9-g11 100000 100000 100002 100001 100002 100002 100002
g9-g12 100000 100000 100002 100001 100002 100004 100003
g9-g13 100000 100000 100003 100001 100003 100002 100002
g9-g14 100000 47122 59907 6752 100003 38801 80124
g9-g15 100000 100000 100003 100002 100003 100002 100002
g9-g16 100000 100000 100003 100001 100003 100002 100002
g9-g20 100000 100000 100002 100001 100002 100003 100003
g9-g21 14552 670 3340 357 3562 1599 1618
g9-g22 100000 100000 100003 100002 100003 100003 100003
g9-g23 10 427 17 291 16 30 26
g9-g25 100000 100000 100003 49064 100003 100002 100002
g9-g26 100000 100000 100003 100002 100003 100002 100002
g9-g27 100000 100000 100003 40040 100003 100002 100002
g9-g28 100000 100000 100002 100001 100003 100003 100003
g9-g29 100000 100000 100002 100001 100002 100003 100002
g9-g30 100000 100000 100002 100001 100002 100002 100002
g9-g31 100000 100000 100002 100001 100002 100002 100002
g9-g32 2121 641 501 125 512 482 481
g9-g33 100000 100000 100002 100001 100002 100002 100002
g9-g37 100000 100000 100004 100001 100003 100002 100002
g9-g38 100000 100000 100002 100001 100002 100003 100003
g9-g40 100000 100000 100001 100001 100002 100004 100004
g9-g41 100000 100000 100002 100001 100002 100006 100005
g9-g42 314 12 93 28 94 112 101
g9-g43 29204 1265 5313 152 5416 3275 3177
g9-g44 100000 100000 100002 100002 100003 100002 100002
g9-g45 100000 100000 100002 100001 100002 100002 100002
g9-g46 100000 100000 100002 100001 100003 100001 100002
g9-g47 100000 100000 100003 100001 100002 100002 100002
g9-g48 100000 100000 100002 100001 100002 100002 100002
g9-g49 100000 100000 100004 100001 100004 100004 100004
g9-g50 100000 100000 100002 100001 100002 100003 100003
images-CVIU11-1-119 100001 100140 100008 100241 100009 101163 101210
images-CVIU11-1-131 100001 100036 100005 100038 100005 100759 100547
images-CVIU11-1-50 100001 100194 100008 100218 100008 102686 102586
images-CVIU11-1-81 100001 100057 100006 100110 100006 100848 101244
images-CVIU11-10-110 100000 100011 100005 100021 100005 101657 101624
images-CVIU11-10-139 100000 100015 100005 100034 100005 100642 100669
images-CVIU11-10-20 100001 100051 100008 100187 100009 102109 102086
images-CVIU11-10-50 100001 100037 100008 100263 100008 101592 101581
images-CVIU11-10-58 100000 100005 100004 100046 100004 100010 100011
images-CVIU11-10-60 100001 100022 100005 100047 100005 101048 101198
images-CVIU11-10-93 100000 100059 100006 100051 100006 100879 100901
images-CVIU11-11-4 964 402 136 259 144 630 631
images-CVIU11-11-72 1193 387 219 282 222 744 744
images-CVIU11-11-8 942 245 148 185 150 498 499
images-CVIU11-12-115 100001 100075 100005 100070 100005 100526 100587
images-CVIU11-12-137 100000 100022 100004 100040 100004 100165 100157
images-CVIU11-12-141 100000 100029 100005 100050 100004 100179 100199
images-CVIU11-12-4 100001 100067 100009 100105 100008 100198 100207
images-CVIU11-13-11 100000 100041 100004 100034 100004 100392 100355
images-CVIU11-13-118 100001 100048 100007 100091 100006 100498 100423
images-CVIU11-13-128 100001 100148 100008 100106 100008 100550 100605
images-CVIU11-13-13 100001 100089 100009 100140 100009 100756 100444
images-CVIU11-13-30 100001 100174 100007 100154 100007 100966 100894
images-CVIU11-13-46 100001 100096 100007 100122 100007 100566 100534
images-CVIU11-13-7 100001 100140 100009 100146 100009 100801 100923
images-CVIU11-14-106 100001 100058 100006 100121 100006 100084 100084
images-CVIU11-14-146 100001 100151 100007 100183 100007 100196 100199
images-CVIU11-14-16 100000 100022 100004 100026 100004 100314 100301
images-CVIU11-14-31 100000 100090 100006 100145 100006 100118 100116
images-CVIU11-14-63 100000 100092 100007 100179 100007 100140 100135
images-CVIU11-14-96 100001 100065 100005 100076 100005 100529 100428
images-CVIU11-15-146 100001 3517 1300 1091 1293 2954 2966
images-CVIU11-16-143 100000 100045 100004 100038 100004 100150 100137
images-CVIU11-16-37 100000 100140 100008 100248 100007 100503 100558
images-CVIU11-16-55 100000 100046 100004 100042 100004 100151 100142
images-CVIU11-17-107 100000 15586 100005 432 100005 73289 74609
images-CVIU11-17-14 3360 1687 2276 209 2313 2119 1807
images-CVIU11-17-82 15123 2373 7206 647 7371 2520 2441
images-CVIU11-18-137 100000 100020 100004 100025 100004 100163 100175
images-CVIU11-18-139 100000 100030 100004 100035 100004 100209 100265
images-CVIU11-18-27 100000 100064 100006 100118 100007 100574 100484
images-CVIU11-18-33 100001 100107 100009 100266 100010 100727 100649
images-CVIU11-18-82 100000 100095 100008 100142 100008 100693 100647
images-CVIU11-18-85 100000 100022 100008 100205 100008 100680 100663
images-CVIU11-19-129 100000 100018 100003 100017 100003 100242 100232
images-CVIU11-19-131 100000 100049 100004 100077 100005 100405 100355
images-CVIU11-2-24 100000 100012 100003 100017 100003 100196 100213
images-CVIU11-2-33 100001 100127 100009 100292 100009 100296 100296
images-CVIU11-2-50 100002 100128 100009 100255 100008 100240 100240
images-CVIU11-2-54 100001 100015 100006 100068 100005 100257 100220
images-CVIU11-2-60 100001 100059 100005 100104 100005 100013 100012
images-CVIU11-2-63 100001 100118 100007 100171 100006 100095 100094
images-CVIU11-2-79 100000 100025 100005 100050 100004 100113 100173
images-CVIU11-20-134 12601 1523 1007 657 988 1764 1765
images-CVIU11-20-31 18486 2693 1240 956 1221 2058 2049
images-CVIU11-20-46 17574 2421 1818 909 1846 1947 1967
images-CVIU11-20-72 18753 2542 1398 857 1355 2239 2221
images-CVIU11-20-88 36134 2696 1657 992 1729 2852 2866
images-CVIU11-21-102 100001 100014 100005 100046 100005 100413 100328
images-CVIU11-21-119 100001 100112 100009 100246 100010 100435 100430
images-CVIU11-21-9 100001 100035 100005 100095 100005 100019 100021
images-CVIU11-22-100 100000 100018 100003 100028 100004 100061 100048
images-CVIU11-22-107 100001 100063 100005 100084 100005 100231 100286
images-CVIU11-22-110 100000 100013 100004 100052 100004 100114 100127
images-CVIU11-22-118 100001 100040 100005 100103 100005 100515 100475
images-CVIU11-22-12 100001 100113 100007 100145 100006 101132 101109
images-CVIU11-23-113 100000 100051 100005 100074 100004 100311 100332
images-CVIU11-23-143 100000 100034 100004 100049 100004 100229 100230
images-CVIU11-23-48 100001 100044 100004 100071 100005 100297 100303
images-CVIU11-24-113 6594 1013 4278 505 4138 1029 1044
images-CVIU11-24-49 12713 7831 8695 762 8830 2647 2641
images-CVIU11-24-5 24670 40648 20031 1233 19862 8541 8518
images-CVIU11-24-77 27113 22566 15015 1308 14865 6140 6051
images-CVIU11-25-139 100000 100024 100004 100023 100004 100251 100243
images-CVIU11-25-61 100001 100127 100008 100187 100008 100047 100047
images-CVIU11-25-66 100000 100029 100005 100062 100005 100341 100431
images-CVIU11-25-70 100002 100199 100007 100217 100007 100201 100171
images-CVIU11-25-77 100002 100052 100009 100297 100009 100143 100141
images-CVIU11-25-97 100001 100058 100005 100051 100005 100469 100398
images-CVIU11-26-106 100001 100072 100005 100120 100005 100301 100272
images-CVIU11-26-129 220 30 31 36 47 117 119
images-CVIU11-26-138 100001 100174 100008 100230 100008 100798 100769
images-CVIU11-26-15 100000 100013 100003 100017 100003 100149 100136
images-CVIU11-26-57 100001 100254 100009 100245 100009 100565 100848
images-CVIU11-26-70 100002 100130 100008 100178 100008 100887 100709
images-CVIU11-26-71 100001 100151 100007 100140 100007 100440 100327
images-CVIU11-26-75 100001 100204 100007 100222 100007 100862 100734
images-CVIU11-26-77 100001 100209 100009 100261 100008 100750 100696
images-CVIU11-26-78 100001 100169 100007 100234 100008 100782 100772
images-CVIU11-27-125 100001 100134 100007 100166 100008 101466 101504
images-CVIU11-27-137 100000 100014 100004 100028 100004 100194 100248
images-CVIU11-27-144 100001 100096 100007 100081 100006 100628 100848
images-CVIU11-27-17 100001 100083 100007 100154 100007 101153 100895
images-CVIU11-27-36 100001 100059 100006 100067 100006 100524 100548
images-CVIU11-28-130 100000 100015 100003 100042 100004 100214 100180
images-CVIU11-28-135 100000 100046 100005 100047 100005 100518 100542
images-CVIU11-28-99 100001 100145 100007 100146 100008 100844 101027
images-CVIU11-29-107 25981 1568 879 643 847 1406 1350
images-CVIU11-29-112 100000 3796 8324 1120 7507 6413 6390
images-CVIU11-29-114 13259 591 449 366 438 635 617
images-CVIU11-29-116 100002 11476 4349 1902 4265 7496 7481
images-CVIU11-29-12 100000 9709 12787 1896 13464 11572 12644
images-CVIU11-29-21 48710 3854 1846 1030 1917 3026 3056
images-CVIU11-29-3 78414 7740 3244 1544 3295 5614 5587
images-CVIU11-29-39 100000 6623 10189 1522 9311 8690 5700
images-CVIU11-29-75 82208 6191 2389 1486 2351 4444 4311
images-CVIU11-29-76 775 371 76 305 76 557 562
images-CVIU11-29-79 100000 3986 8427 1071 8653 6319 6112
images-CVIU11-29-8 38261 1414 1432 652 1499 2433 2477
images-CVIU11-29-82 49899 4069 1808 1038 1793 3067 3084
images-CVIU11-3-106 100001 100022 100005 100113 100005 100049 100050
images-CVIU11-3-138 100002 100044 100007 100271 100007 100182 100182
images-CVIU11-3-37 100002 100049 100008 100237 100006 100161 100161
images-CVIU11-3-48 100001 100043 100004 100069 100004 100007 100006
images-CVIU11-3-56 100000 100030 100005 100042 100004 100390 100232
images-CVIU11-3-74 100001 100134 100007 100256 100008 100152 100153
images-CVIU11-30-1 100001 100066 100006 100165 100006 100734 100961
images-CVIU11-30-11 100001 100022 100004 100050 100004 100210 100257
images-CVIU11-30-115 100001 100039 100006 100114 100006 100498 100474
images-CVIU11-30-12 100000 100053 100006 100144 100007 100571 100593
images-CVIU11-30-42 100000 100066 100007 100147 100006 100703 100700
images-CVIU11-30-66 100000 100012 100005 100059 100004 100322 100347
images-CVIU11-31-105 100000 100043 100007 100235 100006 100024 100009
images-CVIU11-31-109 100001 100014 100007 100216 100007 100591 100594
images-CVIU11-31-26 100000 100020 100005 100059 100005 100464 100443
images-CVIU11-31-31 100001 100064 100007 100098 100007 102066 101986
images-CVIU11-31-39 100001 100025 100006 100135 100008 100897 100935
images-CVIU11-33-109 100001 100104 100008 91948 100008 100312 100318
images-CVIU11-33-59 100001 23740 9867 3310 9941 17377 17263
images-CVIU11-33-71 100001 25816 10465 3241 10395 25176 25367
images-CVIU11-33-86 100000 100075 100007 100118 100006 100249 100254
images-CVIU11-33-88 100001 100120 100009 100182 100008 100312 100340
images-CVIU11-33-93 100000 33135 14147 3997 13758 100257 100229
images-CVIU11-34-106 15863 1254 631 472 613 1269 1272
images-CVIU11-34-135 26200 2585 3730 917 3647 2552 2520
images-CVIU11-34-88 54896 5962 9359 1491 9479 6696 6651
images-CVIU11-34-9 35234 4390 9966 1192 9343 2924 3078
images-CVIU11-35-141 100000 100009 100003 10156 100004 100192 100167
images-CVIU11-35-68 100001 100130 100009 100289 100008 100737 100782
images-CVIU11-36-11 100000 100016 100004 100049 100004 100176 100124
images-CVIU11-36-112 100000 100019 100004 100051 100004 100189 100159
images-CVIU11-36-140 100000 100010 100004 100045 100004 100080 100087
images-CVIU11-37-140 100000 100030 100005 100047 100005 100284 100403
images-CVIU11-37-146 100001 100161 100006 100176 100006 100118 100117
images-CVIU11-37-41 100000 100091 100005 100115 100006 100977 100916
images-CVIU11-37-54 100000 100032 100004 100065 100004 100727 100646
images-CVIU11-37-70 100002 100141 100007 100241 100007 100183 100180
images-CVIU11-37-84 100000 100007 100003 100011 100003 100158 100137
images-CVIU11-38-1 100001 100044 100006 100165 100006 100528 100424
images-CVIU11-38-10 100001 100059 100005 100113 100005 100464 100439
images-CVIU11-38-131 100001 100039 100005 100062 100005 100381 100198
images-CVIU11-38-23 100001 100064 100006 100170 100006 100841 100752
images-CVIU11-38-71 100001 100118 100007 100197 100006 100814 100997
images-CVIU11-38-78 100001 100115 100008 100265 100008 101299 101199
images-CVIU11-39-107 100001 100038 100005 100086 100005 100476 100793
images-CVIU11-39-114 100000 100030 100004 100043 100004 100371 100428
images-CVIU11-39-37 100002 100031 100007 100226 100007 100227 100227
images-CVIU11-39-68 100002 100011 100008 100233 100008 100238 100233
images-CVIU11-39-80 100000 100031 100005 100071 100005 100751 100673
images-CVIU11-4-42 100000 100026 100006 100059 100006 101500 101283
images-CVIU11-4-50 100001 100057 100012 100052 100008 102990 102702
images-CVIU11-40-126 100000 100008 100003 100018 100003 100120 100103
images-CVIU11-40-136 100001 100052 100005 100076 100005 100408 100454
images-CVIU11-40-139 100000 100015 100004 100051 100004 100236 100195
images-CVIU11-40-23 100001 100113 100007 100184 100006 100650 100702
images-CVIU11-40-46 100001 100069 100006 100130 100006 100659 100611
images-CVIU11-40-8 100001 100046 100005 100118 100005 100431 100471
images-CVIU11-41-113 100000 100052 100005 100050 100005 100489 100473
images-CVIU11-41-4 100001 100079 100006 100139 100005 100021 100023
images-CVIU11-41-86 100001 100073 100005 100105 100005 100008 100007
images-CVIU11-41-88 100001 100078 100006 100175 100007 100035 100034
images-CVIU11-42-112 100000 100048 100004 100057 100004 100427 100489
images-CVIU11-42-122 100000 100083 100005 100073 100005 100645 100719
images-CVIU11-42-53 100000 100028 100004 100060 100004 100421 100489
images-CVIU11-42-68 100001 100175 100007 100253 100008 100152 100150
images-CVIU11-42-78 100001 100232 100007 100250 100007 100140 100142
images-CVIU11-42-80 100000 100046 100004 100070 100005 100468 100496
images-CVIU11-42-88 100001 100156 100007 100162 100007 100017 100019
images-CVIU11-43-112 100000 100021 100005 100052 100005 100020 100019
images-CVIU11-43-65 100000 100077 100007 100109 100006 100436 100466
images-CVIU11-43-76 100001 100229 100008 100294 100008 101495 101247
images-CVIU11-44-119 100001 100117 100007 100240 100007 100233 100233
images-CVIU11-44-20 100002 100124 100007 100168 100007 100131 100131
images-CVIU11-44-84 100000 100007 100003 100012 100003 100087 100084
images-CVIU11-44-98 100000 100015 100004 100037 100004 100192 100206
images-CVIU11-5-134 100001 100046 100004 100098 100004 100347 100410
images-CVIU11-5-19 100002 100257 100009 100373 100009 101005 100787
images-CVIU11-5-62 100001 100165 100008 100249 100007 100696 100730
images-CVIU11-6-119 100001 100211 100009 100341 100010 100293 100298
images-CVIU11-6-25 100000 100051 24217 1053 24904 63808 61479
images-CVIU11-6-58 100000 100031 100004 100046 100004 100198 100183
images-CVIU11-7-56 100000 100020 100004 100039 100005 100222 100225
images-CVIU11-7-96 100000 100052 100005 100058 100006 100401 100288
images-CVIU11-8-120 100001 100093 100007 100167 100007 100007 100007
images-CVIU11-8-129 100000 100019 100004 100027 100004 100154 100178
images-CVIU11-8-130 100000 100011 100004 100024 100004 100147 100147
images-CVIU11-8-20 100001 100086 100007 100192 100007 100021 100021
images-CVIU11-8-68 100001 100152 100006 100282 100007 100081 100080
images-CVIU11-8-83 100000 100138 100007 100157 100006 100565 100613
images-CVIU11-9-110 100001 100018 100005 100063 100005 100488 100465
meshes-CVIU11-1-106 100000 100004 100003 100008 100002 100076 100078
meshes-CVIU11-1-120 100000 100002 100003 100006 100003 100029 100026
meshes-CVIU11-1-149 100000 100013 100004 100015 100004 100062 100068
meshes-CVIU11-1-170 100000 100003 100003 100008 100003 100037 100039
meshes-CVIU11-1-175 100000 100000 100002 100002 100002 100008 100009
meshes-CVIU11-1-187 100000 100055 100007 100101 100007 100031 100033
meshes-CVIU11-1-188 100000 100025 100004 100023 100004 100079 100072
meshes-CVIU11-1-20 100000 100013 100004 100025 100004 100154 100148
meshes-CVIU11-1-205 100000 100003 100003 100008 100003 100032 100039
meshes-CVIU11-1-206 100001 100220 100009 100214 100010 100321 100382
meshes-CVIU11-1-220 100000 100000 100002 100002 100002 100015 100012
meshes-CVIU11-1-223 100000 100032 100005 100049 100004 100139 100155
meshes-CVIU11-1-225 100000 100054 100007 100073 100006 100150 100211
meshes-CVIU11-1-250 100000 100001 100002 100003 100002 100017 100019
meshes-CVIU11-1-278 100000 100000 100002 100003 100002 100017 100013
meshes-CVIU11-1-279 100000 100001 100002 100005 100002 100029 100039
meshes-CVIU11-1-282 100000 100005 100004 100026 100004 100096 100117
meshes-CVIU11-1-283 100000 100108 100006 100113 100005 100356 100318
meshes-CVIU11-1-294 100000 100017 100004 100028 100004 100107 100127
meshes-CVIU11-1-305 100000 100002 100003 100006 100002 100054 100049
meshes-CVIU11-1-314 100002 100173 100007 100221 100007 100495 100509
meshes-CVIU11-1-318 100000 100031 100005 100123 100006 100465 100432
meshes-CVIU11-1-34 100000 100039 100005 100058 100006 100173 100187
meshes-CVIU11-1-357 100000 100001 100002 100002 100002 100021 100021
meshes-CVIU11-1-360 100000 100063 100006 100103 100006 100075 100075
meshes-CVIU11-1-368 100000 100029 100005 100039 100004 100146 100105
meshes-CVIU11-1-37 100000 100000 100002 100003 100003 100020 100019
meshes-CVIU11-1-397 100001 100032 100005 100063 100004 100022 100025
meshes-CVIU11-1-410 100000 100000 100002 100002 100003 100010 100011
meshes-CVIU11-1-424 100000 100005 100004 100039 100004 100103 100083
meshes-CVIU11-1-431 100001 100071 100006 100101 100006 100065 100060
meshes-CVIU11-1-461 100001 100137 100009 100263 100008 100113 100128
meshes-CVIU11-1-466 100000 100000 100002 100002 100002 100014 100012
meshes-CVIU11-1-489 100000 100063 100007 100124 100007 100233 100264
meshes-CVIU11-1-511 100000 100051 100006 100107 100005 100045 100035
meshes-CVIU11-1-63 100000 100003 100003 100008 100003 100020 100027
meshes-CVIU11-1-88 100000 100002 100004 100005 100003 100031 100026
meshes-CVIU11-2-100 100001 100083 100009 100205 100009 100202 100199
meshes-CVIU11-2-108 100000 100016 100005 100026 100004 100144 100138
meshes-CVIU11-2-11 100000 100002 100002 100003 100003 100053 100053
meshes-CVIU11-2-121 100000 100000 100003 100002 100002 100022 100017
meshes-CVIU11-2-13 100000 100009 100004 100012 100003 100159 100157
meshes-CVIU11-2-137 100000 100008 100005 100013 100004 100176 100188
meshes-CVIU11-2-177 100000 100002 100002 100005 100003 100080 100100
meshes-CVIU11-2-211 100000 100003 100003 100006 100003 100085 100100
meshes-CVIU11-2-223 100000 100037 100004 100041 100005 100325 100402
meshes-CVIU11-2-233 100000 100007 100004 100015 100004 100101 100153
meshes-CVIU11-2-245 100000 100002 100003 100004 100003 100152 100104
meshes-CVIU11-2-246 100000 100016 100005 100025 100004 100181 100148
meshes-CVIU11-2-248 100000 100011 100004 100014 100004 100117 100060
meshes-CVIU11-2-267 100000 100042 100005 100054 100005 100535 100463
meshes-CVIU11-2-3 100000 100000 100002 100002 100002 100038 100041
meshes-CVIU11-2-300 100000 100007 100004 100013 100004 100057 100048
meshes-CVIU11-2-304 100000 100003 100003 100007 100002 100068 100096
meshes-CVIU11-2-305 100000 100004 100004 100005 100003 100119 100141
meshes-CVIU11-2-317 100000 100001 100003 100003 100003 100043 100040
meshes-CVIU11-2-321 100000 100002 100004 100020 100004 100106 100133
meshes-CVIU11-2-324 100000 100005 100003 100007 100003 100053 100086
meshes-CVIU11-2-349 100000 100002 100003 100008 100004 100148 100157
meshes-CVIU11-2-35 100000 100003 100003 100006 100004 100100 100117
meshes-CVIU11-2-353 100000 100075 100006 100084 100006 100195 100183
meshes-CVIU11-2-354 100000 100004 100003 100006 100003 100036 100055
meshes-CVIU11-2-365 100000 100002 100003 100007 100003 100038 100057
meshes-CVIU11-2-447 100000 100047 100007 100098 100007 100018 100015
meshes-CVIU11-2-449 100001 100057 100005 100060 100005 100047 100047
meshes-CVIU11-2-462 100000 100002 100002 100004 100003 100072 100077
meshes-CVIU11-2-484 100001 100056 100006 100101 100006 100370 100376
meshes-CVIU11-2-487 100001 100134 100007 100098 100007 101050 101155
meshes-CVIU11-2-493 100000 100004 100003 100017 100004 100034 100035
meshes-CVIU11-2-503 100000 100003 100005 100016 100005 100227 100173
meshes-CVIU11-2-511 100001 100056 100006 100112 100006 100349 100349
meshes-CVIU11-2-513 100000 100007 100004 100024 100004 100258 100292
meshes-CVIU11-2-52 100000 100002 100003 100006 100003 100091 100111
meshes-CVIU11-2-54 100000 100008 100004 100015 100004 100139 100112
meshes-CVIU11-2-6 100000 100029 100005 100028 100004 100316 100298
meshes-CVIU11-2-76 100000 100065 100006 100118 100006 100808 100903
meshes-CVIU11-2-80 100001 100050 100007 100055 100007 100526 100495
meshes-CVIU11-3-100 100002 100200 100010 100240 100011 100053 100086
meshes-CVIU11-3-12 100000 100000 100004 100002 100004 100009 100007
meshes-CVIU11-3-130 100001 100031 100005 100046 100005 3446 3979
meshes-CVIU11-3-139 100002 100231 100019 100294 100018 100554 101059
meshes-CVIU11-3-147 100002 100013 49483 440 50590 48682 100043
meshes-CVIU11-3-151 100000 100004 100007 3913 100007 100016 100015
meshes-CVIU11-3-158 100002 100133 100018 100103 100018 100307 100326
meshes-CVIU11-3-16 100000 100016 100007 100019 100007 100155 100148
meshes-CVIU11-3-17 100000 100020 100006 100019 100007 100163 100158
meshes-CVIU11-3-190 100000 100007 100003 100008 100003 100052 100050
meshes-CVIU11-3-193 100001 100037 100005 100058 100004 100444 100394
meshes-CVIU11-3-195 100001 100054 100005 100048 100006 100422 100496
meshes-CVIU11-3-213 100000 100001 100005 100002 100006 100056 100026
meshes-CVIU11-3-218 100001 100042 100015 100073 100012 100166 100155
meshes-CVIU11-3-220 100000 100001 100005 100002 100005 100010 100010
meshes-CVIU11-3-23 100000 100017 100008 100019 100007 100122 100140
meshes-CVIU11-3-242 100001 100085 100012 13676 100015 101391 101384
meshes-CVIU11-3-246 100000 100002 100012 100002 100012 100098 100041
meshes-CVIU11-3-251 100000 100002 29867 803 25081 100033 100028
meshes-CVIU11-3-289 100000 100000 100003 100002 100003 100007 100006
meshes-CVIU11-3-290 100000 100000 100003 100001 100003 100018 100015
meshes-CVIU11-3-313 100001 100056 100012 100047 100012 100391 100388
meshes-CVIU11-3-325 100000 100000 100005 100002 100005 100006 100007
meshes-CVIU11-3-35 100000 100006 100002 100006 100002 100073 100081
meshes-CVIU11-3-357 100000 100002 100005 100002 100005 100033 100018
meshes-CVIU11-3-381 100000 100003 100005 100002 100005 100011 100009
meshes-CVIU11-3-408 100000 100000 100004 100001 100004 100017 100015
meshes-CVIU11-3-431 100001 100116 100008 100090 100008 100230 100282
meshes-CVIU11-3-434 100001 100071 100007 100008 100007 100414 100307
meshes-CVIU11-3-448 100001 100058 100012 100076 100013 100308 100316
meshes-CVIU11-3-45 100001 100016 100011 100025 100011 100058 100066
meshes-CVIU11-3-457 100000 100015 100006 100018 100005 100098 100120
meshes-CVIU11-3-484 100001 77745 18696 100120 18586 100263 100267
meshes-CVIU11-3-501 100001 100103 100012 100097 100013 100215 100217
meshes-CVIU11-3-503 100001 100022 100005 100018 100005 100131 100102
meshes-CVIU11-3-511 100001 100116 100011 100132 100013 101195 101179
meshes-CVIU11-3-512 100000 100002 100004 100003 100004 100016 100015
meshes-CVIU11-3-513 100000 100007 100003 100009 100003 100436 100449
meshes-CVIU11-3-526 100000 100007 100008 100011 100009 100044 100055
meshes-CVIU11-3-59 100000 100009 100007 3548 100007 100026 100032
meshes-CVIU11-3-7 100000 100003 100007 100004 100006 100007 100009
meshes-CVIU11-3-97 100001 100098 100012 100116 100012 100155 100168
meshes-CVIU11-3-98 100001 100015 100010 100112 100011 100349 100398
meshes-CVIU11-4-114 100000 100004 100003 100010 100003 100031 100033
meshes-CVIU11-4-129 100001 100143 100008 100150 100007 100481 100425
meshes-CVIU11-4-135 100000 100001 100002 100003 100002 100021 100019
meshes-CVIU11-4-166 100000 100000 100002 100002 100002 100012 100012
meshes-CVIU11-4-168 100000 100004 100004 100025 100003 100075 100062
meshes-CVIU11-4-206 100001 100152 100010 100242 100010 100490 100464
meshes-CVIU11-4-213 100000 100001 100002 100003 100002 100022 100015
meshes-CVIU11-4-228 100000 100105 100007 100122 100008 100394 100443
meshes-CVIU11-4-248 100000 100010 100004 100021 100003 100057 100052
meshes-CVIU11-4-268 100000 100046 100007 100118 100007 100255 100274
meshes-CVIU11-4-311 100000 100113 100008 100145 100008 100314 100328
meshes-CVIU11-4-313 100000 100028 100005 100048 100004 100195 100178
meshes-CVIU11-4-325 100000 100000 100002 100002 100002 100010 100010
meshes-CVIU11-4-341 100000 100002 100002 100003 100002 100017 100014
meshes-CVIU11-4-387 100000 100011 100003 100011 100003 100036 100042
meshes-CVIU11-4-441 100000 100046 100004 100053 100006 100176 100196
meshes-CVIU11-4-45 100000 100012 100004 100027 100003 100064 100056
meshes-CVIU11-4-46 100000 100004 100003 100011 100003 100035 100031
meshes-CVIU11-4-471 100000 100051 100006 100102 100006 100274 100253
meshes-CVIU11-4-487 100001 100056 100009 100131 100008 100405 100406
meshes-CVIU11-4-501 100000 100082 100006 100092 100006 100300 100295
meshes-CVIU11-4-80 100000 100069 100006 100098 100007 100201 100174
meshes-CVIU11-5-102 100000 100033 100006 100100 100006 100454 100388
meshes-CVIU11-5-115 100000 100001 100002 100003 100002 100046 100038
meshes-CVIU11-5-121 100000 100000 100003 100002 100002 100013 100011
meshes-CVIU11-5-147 100000 100012 100003 100009 100003 100038 100045
meshes-CVIU11-5-148 100000 100009 100005 100040 100005 100011 100020
meshes-CVIU11-5-163 100000 100012 100004 100030 100004 100004 100004
meshes-CVIU11-5-182 100000 100002 100003 100010 100004 100032 100054
meshes-CVIU11-5-188 100000 100015 100005 100029 100004 100150 100175
meshes-CVIU11-5-191 100001 100107 100007 100206 100007 100018 100018
