instance kdown james-cpp-max-down
si6_m4D_m1296.01 NaN 36861048
si6_m4D_m1296.03 NaN 1546191
si6_r001_m200.05 8935 44506
si6_r001_m200.09 5274 16718
si6_r001_m200.07 7 470
si6_r001_m200.02 2056 7936
si6_r001_m200.01 2371 1281
si6_r001_m200.00 446 584
si6_r001_m200.04 25228 7309
si6_r001_m200.06 25 513
si6_r001_m200.08 73 523
si6_r001_m200.03 28 660
si4_b06_m400.06 4 726
si4_b06_m400.07 4 726
si4_b06_m400.09 4 726
si4_b06_m400.01 4 726
si4_b06_m400.04 4 726
si4_b06_m400.03 4 726
si4_b06_m400.00 4 726
si4_b06_m400.05 4 726
si4_b06_m400.08 4 726
si4_b06_m400.02 4 726
si2_m4Dr6_m256.06 172 11118
si2_m4Dr6_m256.05 15 426
si2_m4Dr6_m256.09 460 17695
si2_m4Dr6_m256.00 398 10999
si2_m4Dr6_m256.07 16 825
si2_m4Dr6_m256.04 87 1208
si2_m4Dr6_m256.02 9 2113
si2_m4Dr6_m256.01 19 68264
si2_m4Dr6_m256.08 1134 7543
si2_m4Dr6_m256.03 136 1571
si6_r01_m200.04 804 563
si6_r01_m200.08 444 3991
si6_r01_m200.02 3409 6996
si6_r01_m200.09 6452 747
si6_r01_m200.07 984 2560
si6_r01_m200.00 1318 6558
si6_r01_m200.01 28689 1035
si6_r01_m200.03 3401 19965
si6_r01_m200.05 11802 4472
si6_r01_m200.06 9656 2764
si2_b03m_m800.03 93 1503
si2_b03m_m800.02 95 2091
si2_b03m_m800.09 82 1402
si2_b03m_m800.04 97 1453
si2_b03m_m800.06 79 1436
si2_b03m_m800.05 84 1486
si2_b03m_m800.01 80 1341
si2_b03m_m800.08 98 1455
si2_b03m_m800.07 91 NaN
si2_b03m_m800.00 77 1390
si2_r001_m200.06 40781 23579
si2_r001_m200.01 51695 844682
si2_r001_m200.02 100598 401812
si2_r001_m200.07 743 1189
si2_r001_m200.04 3319 5957
si2_r001_m200.05 5900640 NaN
si2_r001_m200.09 NaN 398559899
si2_r001_m200.03 84009 7705277
si2_r001_m200.00 375 562
si2_r001_m200.08 NaN 48316287
si6_b03m_m800.01 188 1999
si6_b03m_m800.08 101 1917
si6_b03m_m800.03 96 209956
si6_b03m_m800.00 112 1956
si6_b03m_m800.04 96 1928
si6_b03m_m800.05 114 1937
si6_b03m_m800.07 130 2446
si6_b03m_m800.06 120 2001
si6_b03m_m800.09 123 1998
si6_b03m_m800.02 133 2066
si4_r005_m200.00 6430 18489
si4_r005_m200.08 2495 2127
si4_r005_m200.02 3736 28859
si4_r005_m200.05 903 1952
si4_r005_m200.06 374 1202
si4_r005_m200.04 13437 4134
si4_r005_m200.07 4553 4078
si4_r005_m200.09 4068 6568
si4_r005_m200.01 5513 1339
si4_r005_m200.03 3805 8498
si6_b09m_m400.03 8 908
si6_b09m_m400.07 5 922
si6_b09m_m400.00 12 1190
si6_b09m_m400.04 7 905
si6_b09m_m400.06 5 907
si6_b09m_m400.08 9 1062
si6_b09m_m400.02 6 927
si6_b09m_m400.05 6 932
si6_b09m_m400.09 13 1227
si6_b09m_m400.01 6 989
si2_b09_m200.08 5 291
si2_b09_m200.01 5 291
si2_b09_m200.06 5 291
si2_b09_m200.05 5 291
si2_b09_m200.00 6 292
si2_b09_m200.02 5 292
si2_b09_m200.03 5 291
si2_b09_m200.04 5 292
si2_b09_m200.09 5 291
si2_b09_m200.07 4 291
si6_r01_m600.02 NaN 59141
si6_r01_m600.06 NaN 1520
si6_r01_m600.09 NaN 164428
si6_r01_m600.08 NaN 1438717
si6_r01_m600.05 NaN 3058
si6_r01_m600.07 NaN 127009
si6_r01_m600.03 NaN 71970
si6_r01_m600.00 NaN 37341
si6_r01_m600.01 NaN 8135
si6_r01_m600.04 NaN 249737
si2_b06_m200.02 4 286
si2_b06_m200.00 4 286
si2_b06_m200.01 4 286
si2_b06_m200.06 4 286
si2_b06_m200.09 4 286
si2_b06_m200.07 4 286
si2_b06_m200.04 4 286
si2_b06_m200.08 4 286
si2_b06_m200.03 4 286
si2_b06_m200.05 4 286
si6_m4Dr2_m1296.05 26 2998
si6_m4Dr2_m1296.09 35 3033
si6_m4Dr2_m1296.01 22 2932
si6_m4Dr2_m1296.06 22 2900
si6_m4Dr2_m1296.07 142 3424
si6_m4Dr2_m1296.03 15 2944
si6_m4Dr2_m1296.04 26 2959
si6_m4Dr2_m1296.00 28 2985
si6_m4Dr2_m1296.08 17 2885
si6_m4Dr2_m1296.02 28 2902
si2_b09m_m800.09 538 1367
si2_b09m_m800.07 47 250824613
si2_b09m_m800.00 31 1490
si2_b09m_m800.04 36 1322
si2_b09m_m800.02 18 1292
si2_b09m_m800.05 115 1392
si2_b09m_m800.03 28 1883
si2_b09m_m800.08 44 1237
si2_b09m_m800.06 46 2459
si2_b09m_m800.01 22 1458
si4_b03_m400.01 4 723
si4_b03_m400.02 4 723
si4_b03_m400.05 4 723
si4_b03_m400.07 4 723
si4_b03_m400.06 4 723
si4_b03_m400.00 4 723
si4_b03_m400.03 4 723
si4_b03_m400.04 4 723
si4_b03_m400.09 4 723
si4_b03_m400.08 4 723
si2_b03_m200.05 4 283
si2_b03_m200.09 4 283
si2_b03_m200.07 4 283
si2_b03_m200.01 4 283
si2_b03_m200.08 4 283
si2_b03_m200.02 4 283
si2_b03_m200.04 4 283
si2_b03_m200.03 4 283
si2_b03_m200.06 4 283
si2_b03_m200.00 4 283
si4_r005_m600.00 113983 57449
si4_r005_m600.02 33472 72529
si4_r005_m600.08 156356 497550
si4_r005_m600.05 91802 184187
si4_r005_m600.07 54576 95157
si4_r005_m600.06 NaN 209741
si4_r005_m600.01 110955 27107
si4_r005_m600.04 95554 194863
si4_r005_m600.03 27639 22554
si4_r005_m600.09 30078 8886
si4_b09_m400.05 5 731
si4_b09_m400.03 5 731
si4_b09_m400.00 6 732
si4_b09_m400.07 5 731
si4_b09_m400.01 5 731
si4_b09_m400.06 5 732
si4_b09_m400.04 5 732
si4_b09_m400.02 5 731
si4_b09_m400.08 6 734
si4_b09_m400.09 5 731
si4_b06m_m400.06 18 772
si4_b06m_m400.03 10 754
si4_b06m_m400.01 15 920
si4_b06m_m400.08 21 774
si4_b06m_m400.05 41 838
si4_b06m_m400.07 15 796
si4_b06m_m400.00 13 802
si4_b06m_m400.04 18 802
si4_b06m_m400.09 30 802
si4_b06m_m400.02 16 763
si2_m4Dr2_m625.05 323 5435
si2_m4Dr2_m625.00 942 1367
si2_m4Dr2_m625.08 23 915
si2_m4Dr2_m625.09 143 2511
si2_m4Dr2_m625.06 3164 8445
si2_m4Dr2_m625.04 199 17594
si2_m4Dr2_m625.01 806 8065
si2_m4Dr2_m625.03 2554 3484
si2_m4Dr2_m625.02 498 6384
si2_m4Dr2_m625.07 50 1361
si2_r005_m200.02 1387 617
si2_r005_m200.01 556837 7366102
si2_r005_m200.03 9130 34480
si2_r005_m200.05 100605 568796
si2_r005_m200.08 69426 226470
si2_r005_m200.04 2710 116015
si2_r005_m200.09 41514 93940
