instance kdown james-cpp-max-down
si4_b03m_m200.09 32 430
si4_b03m_m200.08 39 441
si4_b03m_m200.01 43 536
si2_b06m_m200.04 14 346
si2_b06m_m200.03 13 329
si2_b06m_m200.08 7 419
si2_b06m_m200.06 18 384
si2_b06m_m200.05 11 307
si2_b06m_m200.02 6 351
si2_b06m_m200.00 23 357
si2_b06m_m200.01 28 349
si2_b06m_m200.09 13 392
si2_b06m_m200.07 18 334
si6_m4Dr4_m625.05 10 1412
si6_m4Dr4_m625.09 26 1556
si6_m4Dr4_m625.04 27 1537
si6_m4Dr4_m625.00 17 1443
si6_m4Dr4_m625.08 17 1461
si6_m4Dr4_m625.06 12 1427
si6_m4Dr4_m625.01 114 3863
si6_m4Dr4_m625.03 84 2512
si6_m4Dr4_m625.07 25 1589
si6_m4Dr4_m625.02 13 1488
si4_b03_m200.06 4 363
si4_b03_m200.02 4 363
si4_b03_m200.07 4 363
si4_b03_m200.04 4 363
si4_b03_m200.03 4 363
si4_b03_m200.05 4 363
si4_b03_m200.09 4 363
si4_b03_m200.01 4 363
si4_b03_m200.00 4 363
si4_b03_m200.08 4 363
si2_b03_m400.03 4 563
si2_b03_m400.06 4 563
si2_b03_m400.07 4 563
si2_b03_m400.01 4 563
si2_b03_m400.05 4 563
si2_b03_m400.09 4 563
si2_b03_m400.02 4 563
si2_b03_m400.00 4 563
si2_b03_m400.08 4 563
si2_b03_m400.04 4 563
si4_b09_m200.02 5 371
si4_b09_m200.01 5 371
si4_b09_m200.00 5 371
si4_b09_m200.09 5 371
si4_b09_m200.08 5 372
si4_b09_m200.04 5 371
si4_b09_m200.06 5 372
si4_b09_m200.05 4 371
si4_b09_m200.07 6 372
si4_b09_m200.03 5 371
si4_m4Dr4_m256.05 27 646
si4_m4Dr4_m256.09 9 513
si4_m4Dr4_m256.01 13 662
si4_m4Dr4_m256.03 119 883
si4_m4Dr4_m256.06 31 724
si4_m4Dr4_m256.07 21 690
si4_m4Dr4_m256.00 16 552
si4_m4Dr4_m256.02 11 633
si4_m4Dr4_m256.08 11 575
si4_m4Dr4_m256.04 13 593
si2_m4D_m625.01 72 27461
si2_m4D_m625.00 612 5030
si2_m4D_m625.08 58 2153
si2_m4D_m625.04 41 1441
si2_m4D_m625.09 222 909
si2_m4D_m625.02 1317 18996
si2_m4D_m625.05 156 938
si2_m4D_m625.06 1474 8024
si2_m4D_m625.07 37 2881
si2_m4D_m625.03 1480 20335
si4_b09_m800.03 5 1451
si4_b09_m800.02 5 1451
si4_b09_m800.09 6 1457
si4_b09_m800.06 5 1451
si4_b09_m800.04 5 1451
si4_b09_m800.05 6 1457
si4_b09_m800.00 5 1451
si4_b09_m800.01 6 1454
si4_b09_m800.07 5 1451
si4_b09_m800.08 5 1451
si2_m4Dr4_m256.05 55 2685
si2_m4Dr4_m256.02 45 692
si2_m4Dr4_m256.00 162 886
si2_m4Dr4_m256.07 296 4335
si2_m4Dr4_m256.03 1267 13236
si2_m4Dr4_m256.06 16 452
si2_m4Dr4_m256.04 897 12761
si2_m4Dr4_m256.09 32 546
si2_m4Dr4_m256.01 13 431
si2_m4Dr4_m256.08 348 8658
si6_m4Dr2_m256.04 12 628
si6_m4Dr2_m256.08 9 639
si6_m4Dr2_m256.00 9 615
si6_m4Dr2_m256.07 8 579
si6_m4Dr2_m256.01 35 676
si6_m4Dr2_m256.09 16 740
si6_m4Dr2_m256.03 13 626
si6_m4Dr2_m256.05 20 728
si6_m4Dr2_m256.02 25 615
si6_m4Dr2_m256.06 522 5216
si6_b06_m800.00 4 1766
si6_b06_m800.05 4 1766
si6_b06_m800.02 4 1766
si6_b06_m800.07 4 1766
si6_b06_m800.08 4 1766
si6_b06_m800.09 4 1766
si6_b06_m800.06 4 1766
si6_b06_m800.01 4 1766
si6_b06_m800.04 4 1766
si6_b06_m800.03 4 1766
si4_b09m_m800.06 21 1519
si4_b09m_m800.01 16 1539
si4_b09m_m800.02 9 1499
si4_b09m_m800.08 7 1500
si4_b09m_m800.04 9 1512
si4_b09m_m800.03 14 1557
si4_b09m_m800.09 11 1554
si4_b09m_m800.05 8 1470
si4_b09m_m800.00 13 1621
si4_b09m_m800.07 12 1509
si2_b06_m800.04 4 1126
si2_b06_m800.07 4 1126
si2_b06_m800.02 4 1126
si2_b06_m800.00 4 1126
si2_b06_m800.03 4 1126
si2_b06_m800.05 4 1126
si2_b06_m800.09 4 1126
si2_b06_m800.01 4 1126
si2_b06_m800.08 4 1126
si2_b06_m800.06 4 1126
si6_m4D_m256.03 11 654
si6_m4D_m256.08 12 663
si6_m4D_m256.07 14 720
si6_m4D_m256.00 8 586
si6_m4D_m256.01 14 810
si6_m4D_m256.05 14 724
si6_m4D_m256.09 152 891
si6_m4D_m256.04 14 726
si6_m4D_m256.02 15 712
si6_m4D_m256.06 16 712
si2_b06m_m800.07 82 1401
si2_b06m_m800.02 51 1552
si2_b06m_m800.03 52 1704
si2_b06m_m800.01 49 5086
si2_b06m_m800.08 52 1316
si2_b06m_m800.04 50 1272
si2_b06m_m800.06 25 1546
si2_b06m_m800.09 65 1376
si2_b06m_m800.05 50 1335
si2_b06m_m800.00 43 1473
si4_b06m_m200.00 25 455
si4_b06m_m200.08 15 451
si4_b06m_m200.05 11 393
si4_b06m_m200.09 12 405
si4_b06m_m200.01 7 393
si4_b06m_m200.07 11 384
si4_b06m_m200.02 13 396
si4_b06m_m200.04 8 393
si4_b06m_m200.06 9 385
si4_b06m_m200.03 13 392
si6_r001_m400.09 10281 5856
si6_r001_m400.05 801 51821
si6_r001_m400.00 1865 2045
si6_r001_m400.04 2116 948
si6_r001_m400.07 655 944
si6_r001_m400.06 9916 1644
si6_r001_m400.02 509 919
si6_r001_m400.03 2920 1222
si6_r001_m400.08 353 2927
si6_r001_m400.01 158 1511
si6_m4D_m625.00 113 2413
si6_m4D_m625.07 3578 16014
si6_m4D_m625.05 2179 23019
si6_m4D_m625.08 39 1721
si6_m4D_m625.02 63 1966
si6_m4D_m625.03 12792 293395
si6_m4D_m625.04 78 2122
si6_m4D_m625.09 13929 111506
si6_m4D_m625.01 8 1478
si6_m4D_m625.06 2582 40801
si6_b09m_m800.02 5 1808
si6_b09m_m800.09 9 1846
si6_b09m_m800.04 5 1834
si6_b09m_m800.07 8 1833
si6_b09m_m800.00 4 1788
si6_b09m_m800.05 5 1791
si6_b09m_m800.03 5 1806
si6_b09m_m800.01 6 1877
si6_b09m_m800.06 5 1806
si6_b09m_m800.08 6 1786
si4_m4Dr6_m1296.01 27 2494
si4_m4Dr6_m1296.07 339 190094
si4_m4Dr6_m1296.06 127 2694
si4_m4Dr6_m1296.02 33 2428
si4_m4Dr6_m1296.08 47 111319
si4_m4Dr6_m1296.03 179 3945
si4_m4Dr6_m1296.00 372 4314
si4_m4Dr6_m1296.09 46 2729
si4_m4Dr6_m1296.05 51 4707
si4_m4Dr6_m1296.04 21 2428
si2_b06_m400.09 4 566
si2_b06_m400.02 4 566
si2_b06_m400.00 4 566
si2_b06_m400.03 4 566
si2_b06_m400.07 4 566
si2_b06_m400.04 4 566
si2_b06_m400.05 4 566
si2_b06_m400.01 4 566
si2_b06_m400.08 4 566
si2_b06_m400.06 4 566
si4_r01_m200.01 3563 116991
si4_r01_m200.08 89401 191077
si4_r01_m200.03 26794 4985
si4_r01_m200.04 23771 531
si4_r01_m200.07 21976 7099
si4_r01_m200.02 38192 78057
si4_r01_m200.05 59795 92493
si4_r01_m200.06 9638 1085
si4_r01_m200.00 37721 58570
si4_r01_m200.09 32458 31947
si2_r001_m400.06 NaN NaN
si2_r001_m400.08 NaN 89658541
si2_r001_m400.09 NaN NaN
si2_r001_m400.01 659768 16420711
si2_r001_m400.03 NaN 12341344
si2_r001_m400.04 NaN NaN
si2_r001_m400.05 NaN NaN
si2_r001_m400.02 NaN NaN
si2_r001_m400.00 491985 251763
si2_r001_m400.07 NaN NaN
si4_b03m_m800.03 107 1827
si4_b03m_m800.05 127 5548
si4_b03m_m800.06 132 2018
si4_b03m_m800.01 115 1783
si4_b03m_m800.08 122 1780
si4_b03m_m800.09 124 1830
si4_b03m_m800.00 103 1677
si4_b03m_m800.02 120 1699
si4_b03m_m800.07 97 1629
si4_b03m_m800.04 132 1782
si2_r01_m200.03 370750 34332
si2_r01_m200.00 43639 619541
si2_r01_m200.05 16540 308864
si2_r01_m200.01 76812 11341
si2_r01_m200.08 18388 455404
si2_r01_m200.06 343309 54724
si2_r01_m200.09 45509 1937542
si2_r01_m200.02 120838 692065
si2_r01_m200.07 81936 346906
si2_r01_m200.04 16256 175990
si2_r01_m400.04 356259 1559017
si2_r01_m400.00 NaN 2289565
si2_r01_m400.07 NaN 226288
si2_r01_m400.09 676737 15791404
si2_r01_m400.01 NaN 401777
si2_r01_m400.03 250891 210504
si2_r01_m400.02 202952 7957672
si2_r01_m400.05 NaN 4242584
si2_r01_m400.06 766840 178336
si2_r01_m400.08 NaN 969262
si4_m4D_m625.09 134 2185
si4_m4D_m625.03 137 1723
si4_m4D_m625.07 2334 132399
si4_m4D_m625.02 4753 6142
si4_m4D_m625.00 27 1369
si4_m4D_m625.01 58614 2567502
si4_m4D_m625.04 9 1153
si4_m4D_m625.06 54 1689
si4_m4D_m625.08 213 11903
si4_m4D_m625.05 22 1307
si6_m4Dr6_m256.05 14 646
si6_m4Dr6_m256.04 22 875
si6_m4Dr6_m256.03 21 853
si6_m4Dr6_m256.02 46 1187
si6_m4Dr6_m256.08 10 597
si6_m4Dr6_m256.00 13 666
si6_m4Dr6_m256.09 7 598
si6_m4Dr6_m256.07 6 587
si6_m4Dr6_m256.06 11 624
si6_m4Dr6_m256.01 8 588
si6_b09_m400.07 4 891
si6_b09_m400.03 5 892
si6_b09_m400.04 5 891
si6_b09_m400.06 5 891
si6_b09_m400.05 6 898
si6_b09_m400.09 5 891
si6_b09_m400.02 5 891
si6_b09_m400.01 5 891
si6_b09_m400.08 5 891
si6_b09_m400.00 6 892
si6_b06_m400.03 4 886
si6_b06_m400.08 4 886
si6_b06_m400.07 4 886
si6_b06_m400.04 4 886
si6_b06_m400.05 4 886
si6_b06_m400.06 4 886
si6_b06_m400.02 4 886
si6_b06_m400.01 4 886
si6_b06_m400.00 4 886
si6_b06_m400.09 4 886
si6_b03m_m200.04 31 592
si6_b03m_m200.07 32 491
si6_b03m_m200.08 34 506
si6_b03m_m200.02 36 500
si6_b03m_m200.03 39 504
si6_b03m_m200.06 29 490
si6_b03m_m200.01 26 499
si6_b03m_m200.09 37 503
si6_b03m_m200.00 42 515
si6_b03m_m200.05 27 481
si4_b06_m800.04 4 1446
si4_b06_m800.00 4 1446
si4_b06_m800.08 4 1446
si4_b06_m800.05 4 1446
si4_b06_m800.03 4 1446
si4_b06_m800.06 4 1446
si4_b06_m800.07 4 1446
si4_b06_m800.01 4 1446
si4_b06_m800.02 4 1446
si4_b06_m800.09 4 1446
si6_b09m_m200.07 6 463
si6_b09m_m200.06 3 471
si6_b09m_m200.01 5 461
si6_b09m_m200.08 11 547
si6_b09m_m200.00 6 460
si6_b09m_m200.09 4 457
si6_b09m_m200.02 6 460
si6_b09m_m200.05 6 488
si6_b09m_m200.03 5 485
si6_b09m_m200.04 6 492
si4_b09m_m400.07 6 777
si4_b09m_m400.06 8 745
si4_b09m_m400.00 6 765
si4_b09m_m400.08 8 837
si4_b09m_m400.04 14 841
si4_b09m_m400.09 8 800
si4_b09m_m400.02 9 746
si4_b09m_m400.03 9 895
si4_b09m_m400.01 12 817
si4_b09m_m400.05 5 764
si6_m4Dr4_m1296.03 11 2895
si6_m4Dr4_m1296.06 22 3046
si6_m4Dr4_m1296.04 23 2947
si6_m4Dr4_m1296.01 15 2901
si6_m4Dr4_m1296.09 23 2978
si6_m4Dr4_m1296.02 17 2905
si6_m4Dr4_m1296.08 11 3612
si6_m4Dr4_m1296.05 730 3387
si6_m4Dr4_m1296.07 28 2911
si6_m4Dr4_m1296.00 14 2884
si6_b06_m200.09 4 446
si6_b06_m200.03 4 446
si6_b06_m200.05 4 446
si6_b06_m200.00 4 446
si6_b06_m200.08 4 446
si6_b06_m200.02 4 446
si6_b06_m200.06 4 446
si6_b06_m200.04 4 446
si6_b06_m200.01 4 446
si6_b06_m200.07 4 446
si4_m4Dr6_m625.02 35 1498
si4_m4Dr6_m625.06 302 5518
si4_m4Dr6_m625.03 89 1958
si4_m4Dr6_m625.07 385 2400
si4_m4Dr6_m625.08 17 1174
si4_m4Dr6_m625.09 37 1183
si4_m4Dr6_m625.00 18 1175
si4_m4Dr6_m625.01 138 2821
si4_m4Dr6_m625.05 42 1426
si4_m4Dr6_m625.04 26 30624
si6_b06m_m200.09 8 458
si6_b06m_m200.02 14 496
si6_b06m_m200.05 6 457
si6_b06m_m200.00 6 467
si6_b06m_m200.07 6 472
si6_b06m_m200.04 7 460
si6_b06m_m200.08 13 472
si6_b06m_m200.06 5 469
si6_b06m_m200.03 9 463
si6_b06m_m200.01 5 466
si6_m4Dr4_m256.05 108 1216
si6_m4Dr4_m256.03 94 1220
si6_m4Dr4_m256.02 5 583
si6_m4Dr4_m256.01 11 598
si6_m4Dr4_m256.08 10 641
si6_m4Dr4_m256.09 12 898
si6_m4Dr4_m256.07 17 593
si6_m4Dr4_m256.06 29 1720
si6_m4Dr4_m256.04 80 1253
si6_m4Dr4_m256.00 37 927
si4_r001_m600.01 NaN 123839
si4_r001_m600.08 NaN 166852
si4_r001_m600.02 NaN 243920
si4_r001_m600.07 42075 35109
si4_r001_m600.05 1858 2645
si4_r001_m600.06 NaN 176427
si4_r001_m600.00 NaN 24852
si4_r001_m600.04 9426 55110
si4_r001_m600.09 50892 28462
si4_r001_m600.03 NaN 1133138
si2_b09m_m200.08 5 369
si2_b09m_m200.06 13 314
si2_b09m_m200.03 17 437
si2_b09m_m200.09 11 339
si2_b09m_m200.04 8 339
si2_b09m_m200.00 8 309
si2_b09m_m200.01 13 363
si2_b09m_m200.05 12 369
si2_b09m_m200.07 10 310
si2_b09m_m200.02 10 395
si6_b03_m200.01 4 443
si6_b03_m200.03 4 443
si6_b03_m200.04 4 443
si6_b03_m200.08 4 443
si6_b03_m200.07 4 443
si6_b03_m200.09 4 443
si6_b03_m200.05 4 443
si6_b03_m200.02 4 443
si6_b03_m200.06 4 443
si6_b03_m200.00 4 443
si6_b09_m200.09 6 458
si6_b09_m200.06 5 451
si6_b09_m200.08 5 451
si6_b09_m200.03 4 451
si6_b09_m200.00 6 458
si6_b09_m200.02 5 452
si6_b09_m200.07 6 452
si6_b09_m200.04 5 452
si6_b09_m200.01 5 451
si6_b09_m200.05 5 451
g10-g11 NaN NaN
g10-g12 NaN NaN
g10-g13 NaN NaN
g10-g14 NaN NaN
g10-g15 NaN NaN
g10-g16 NaN NaN
g10-g20 NaN NaN
g10-g21 908977 4585056
g10-g22 NaN NaN
g10-g23 NaN NaN
g10-g25 NaN NaN
g10-g26 NaN NaN
g10-g27 NaN NaN
g10-g28 NaN NaN
g10-g29 NaN NaN
g10-g30 NaN NaN
g10-g31 NaN NaN
g10-g32 39383 3895180
g10-g33 NaN NaN
g10-g37 NaN NaN
g10-g38 NaN NaN
g10-g40 NaN NaN
g10-g41 NaN NaN
g10-g42 NaN NaN
g10-g43 NaN NaN
g10-g44 NaN NaN
g10-g45 NaN NaN
g10-g46 NaN NaN
g10-g47 NaN NaN
g10-g48 NaN NaN
g10-g49 NaN NaN
g10-g50 NaN NaN
g11-g12 NaN NaN
g11-g13 NaN NaN
g11-g14 NaN NaN
g11-g15 NaN NaN
g11-g16 NaN NaN
g11-g20 NaN NaN
g11-g21 8323605 43116048
g11-g22 NaN NaN
g11-g23 NaN NaN
g11-g25 NaN NaN
g11-g26 NaN NaN
g11-g27 NaN NaN
g11-g28 NaN NaN
g11-g29 NaN NaN
g11-g30 NaN NaN
g11-g31 NaN NaN
g11-g32 21864 2182861
g11-g33 NaN NaN
g11-g37 NaN NaN
g11-g38 NaN NaN
g11-g40 NaN NaN
g11-g41 NaN NaN
g11-g42 NaN NaN
g11-g43 NaN NaN
g11-g44 NaN NaN
g11-g45 NaN NaN
g11-g46 NaN NaN
g11-g47 NaN NaN
g11-g48 NaN NaN
g11-g49 NaN NaN
g11-g50 NaN NaN
g12-g20 NaN NaN
g12-g21 NaN NaN
g12-g23 NaN NaN
g12-g26 NaN NaN
g12-g27 NaN NaN
g12-g29 NaN NaN
g12-g30 NaN NaN
g12-g31 NaN NaN
g12-g32 116030 11599228
g12-g38 NaN NaN
g12-g40 NaN NaN
g12-g43 NaN NaN
g12-g44 NaN NaN
g12-g45 NaN NaN
g12-g46 NaN NaN
g12-g47 NaN NaN
g12-g48 NaN NaN
g12-g50 NaN NaN
g13-g15 19 254
g13-g20 NaN NaN
g13-g21 NaN 24501435
g13-g23 NaN NaN
g13-g25 NaN NaN
g13-g26 NaN NaN
g13-g27 NaN NaN
g13-g29 NaN NaN
g13-g30 NaN NaN
g13-g31 NaN NaN
g13-g32 149776 9564734
g13-g38 NaN NaN
g13-g40 NaN NaN
g13-g43 NaN NaN
g13-g44 NaN NaN
g13-g45 NaN NaN
g13-g46 NaN NaN
g13-g47 NaN NaN
g13-g48 NaN NaN
g13-g49 NaN NaN
g13-g50 NaN NaN
g14-g15 NaN NaN
g14-g20 NaN NaN
g14-g21 1357085 7282299
g14-g23 NaN NaN
g14-g25 NaN NaN
g14-g26 NaN NaN
g14-g27 993 1167
g14-g29 NaN NaN
g14-g30 NaN NaN
g14-g31 NaN NaN
g14-g32 NaN NaN
g14-g38 NaN NaN
g14-g40 NaN NaN
g14-g43 NaN NaN
g14-g44 NaN NaN
g14-g45 NaN NaN
g14-g46 NaN NaN
g14-g47 NaN NaN
g14-g48 NaN NaN
g14-g49 NaN NaN
g14-g50 NaN NaN
g15-g20 NaN NaN
g15-g21 NaN 93866832
g15-g23 NaN NaN
g15-g25 NaN NaN
g15-g26 NaN NaN
g15-g27 NaN NaN
g15-g29 NaN NaN
g15-g30 NaN NaN
g15-g31 NaN NaN
g15-g32 321085 25526325
g15-g38 NaN NaN
g15-g40 NaN NaN
g15-g43 NaN NaN
g15-g44 NaN NaN
g15-g45 NaN NaN
g15-g46 NaN NaN
g15-g47 NaN NaN
g15-g48 NaN NaN
g15-g49 NaN NaN
g15-g50 NaN NaN
g16-g20 NaN NaN
g16-g21 1589206 7821401
g16-g22 NaN NaN
g16-g23 NaN NaN
g16-g25 NaN NaN
g16-g26 NaN NaN
g16-g27 NaN NaN
g16-g28 NaN NaN
g16-g29 NaN NaN
g16-g30 NaN NaN
g16-g31 NaN NaN
g16-g32 NaN NaN
g16-g33 NaN NaN
g16-g37 92 431
g16-g38 NaN NaN
g16-g40 NaN NaN
g16-g43 NaN NaN
g16-g44 NaN NaN
g16-g45 NaN NaN
g16-g46 NaN NaN
g16-g47 NaN NaN
g16-g48 NaN NaN
g16-g49 NaN NaN
g16-g50 NaN NaN
g17-g18 NaN NaN
g17-g19 NaN NaN
g17-g20 NaN NaN
g17-g21 2301914 12232395
g17-g22 NaN NaN
g17-g23 NaN NaN
g17-g24 NaN NaN
g17-g25 NaN NaN
g17-g26 NaN NaN
g17-g27 NaN NaN
g17-g28 NaN NaN
g17-g29 NaN NaN
g17-g30 NaN NaN
g17-g31 NaN NaN
g17-g32 8518 847316
g17-g33 NaN NaN
g17-g34 NaN NaN
g17-g35 NaN NaN
g17-g36 NaN NaN
g17-g37 NaN NaN
g17-g38 NaN NaN
g17-g39 NaN NaN
g17-g40 NaN NaN
g17-g41 NaN NaN
g17-g42 NaN NaN
g17-g43 NaN NaN
g17-g44 NaN NaN
g17-g45 NaN NaN
g17-g46 NaN NaN
g17-g47 NaN NaN
g17-g48 NaN NaN
g17-g49 NaN NaN
g17-g50 NaN NaN
g18-g19 NaN NaN
g18-g20 NaN NaN
g18-g21 2988331 15917895
g18-g22 NaN NaN
g18-g23 NaN NaN
g18-g24 NaN NaN
g18-g25 NaN NaN
g18-g26 NaN NaN
g18-g27 NaN NaN
g18-g28 NaN NaN
g18-g29 NaN NaN
g18-g30 NaN NaN
g18-g31 NaN NaN
g18-g32 10018 997316
g18-g33 NaN NaN
g18-g34 NaN NaN
g18-g35 NaN NaN
g18-g36 NaN NaN
g18-g37 NaN NaN
g18-g38 NaN NaN
g18-g39 NaN NaN
g18-g40 NaN NaN
g18-g41 NaN NaN
g18-g42 NaN NaN
g18-g43 NaN NaN
g18-g44 NaN NaN
g18-g45 NaN NaN
g18-g46 NaN NaN
g18-g47 NaN NaN
g18-g48 NaN NaN
g18-g49 NaN NaN
g18-g50 NaN NaN
g19-g20 NaN NaN
g19-g21 NaN 65745947
g19-g22 NaN NaN
g19-g23 NaN NaN
g19-g25 NaN NaN
g19-g26 NaN NaN
g19-g27 NaN NaN
g19-g28 NaN NaN
g19-g29 NaN NaN
g19-g30 NaN NaN
g19-g31 NaN NaN
g19-g32 36818 3677316
g19-g33 NaN NaN
g19-g35 NaN NaN
g19-g37 NaN NaN
g19-g38 NaN NaN
g19-g40 NaN NaN
g19-g41 NaN NaN
g19-g42 NaN NaN
g19-g43 NaN NaN
g19-g44 NaN NaN
g19-g45 NaN NaN
g19-g46 NaN NaN
g19-g47 NaN NaN
g19-g48 NaN NaN
g19-g49 NaN NaN
g19-g50 NaN NaN
g2-g10 14 82
g2-g11 11 201
g2-g12 3279 21996
g2-g13 319 4538
g2-g14 313 1704
g2-g15 374 12126
g2-g16 13 116
g2-g17 11 180
g2-g18 10 99
g2-g19 9 119
g2-g20 9 138
g2-g21 4744 33332
g2-g22 17 159
g2-g23 635 7722
g2-g24 74 532
g2-g25 4773 34390
g2-g26 1897 11791
g2-g27 39 741
g2-g28 12 167
g2-g29 10 203
g2-g3 1289 1940
g2-g30 10 177
g2-g31 10 201
g2-g32 147 13645
g2-g33 11 169
g2-g34 47 288
g2-g35 13 203
g2-g36 13 165
g2-g37 9 201
g2-g38 NaN NaN
g2-g39 22 310
g2-g4 57 505
g2-g40 NaN 116332953
g2-g41 15 179
g2-g42 13 25594
g2-g43 19 310
g2-g44 9 238
g2-g45 9 220
g2-g46 10 236
g2-g47 10 230
g2-g48 10 241
g2-g49 66 7576
g2-g5 3 33
g2-g50 8 3196
g2-g6 1128 6466
g2-g7 9861 59576
g2-g8 10 193
g2-g9 3176 4948
g20-g21 NaN NaN
g20-g23 NaN NaN
g20-g26 NaN NaN
g20-g27 NaN NaN
g20-g29 NaN NaN
g20-g30 NaN NaN
g20-g31 NaN NaN
g20-g32 NaN NaN
g20-g38 NaN NaN
g20-g40 NaN NaN
g20-g43 NaN NaN
g20-g44 NaN NaN
g20-g45 NaN NaN
g20-g48 NaN NaN
g20-g50 NaN NaN
g21-g27 NaN NaN
g21-g32 NaN NaN
g21-g40 NaN NaN
g21-g50 NaN NaN
g22-g23 NaN NaN
g22-g25 NaN NaN
g22-g26 NaN NaN
g22-g27 NaN NaN
g22-g28 NaN NaN
g22-g29 NaN NaN
g22-g30 NaN NaN
g22-g31 NaN NaN
g22-g32 24680 1303843
g22-g33 NaN NaN
g22-g37 395 387
g22-g38 NaN NaN
g22-g40 NaN NaN
g22-g43 NaN NaN
g22-g44 NaN NaN
g22-g45 NaN NaN
g22-g46 NaN NaN
g22-g47 NaN NaN
g22-g48 NaN NaN
g22-g49 NaN NaN
g22-g50 NaN NaN
g23-g27 NaN NaN
g23-g32 NaN NaN
g23-g40 NaN NaN
g23-g50 NaN NaN
g24-g25 NaN NaN
g24-g26 NaN NaN
g24-g27 NaN NaN
g24-g28 NaN NaN
g24-g29 NaN NaN
g24-g30 NaN NaN
g24-g31 NaN NaN
g24-g32 2422 247802
g24-g33 NaN NaN
g24-g35 NaN NaN
g24-g36 NaN NaN
g24-g37 NaN NaN
g24-g38 NaN NaN
g24-g39 NaN NaN
g24-g40 NaN NaN
g24-g41 NaN NaN
g24-g42 NaN NaN
g24-g43 NaN NaN
g24-g44 NaN NaN
g24-g45 NaN NaN
g24-g46 NaN NaN
g24-g47 NaN NaN
g24-g48 NaN NaN
g24-g49 NaN NaN
g24-g50 NaN NaN
g25-g26 NaN NaN
g25-g27 NaN NaN
g25-g29 NaN NaN
g25-g30 NaN NaN
g25-g31 NaN NaN
g25-g32 NaN NaN
g25-g38 NaN NaN
g25-g40 NaN NaN
g25-g43 NaN NaN
g25-g44 NaN NaN
g25-g45 NaN NaN
g25-g46 NaN NaN
g25-g47 NaN NaN
g25-g48 NaN NaN
g25-g49 NaN NaN
g25-g50 NaN NaN
g26-g27 NaN NaN
g26-g32 NaN NaN
g26-g40 NaN NaN
g26-g50 NaN NaN
g27-g32 NaN NaN
g27-g50 NaN NaN
g28-g29 NaN NaN
g28-g30 NaN NaN
g28-g31 NaN NaN
g28-g32 40562 4050656
g28-g33 NaN NaN
g28-g37 NaN NaN
g28-g38 NaN NaN
g28-g40 NaN NaN
g28-g43 NaN NaN
g28-g44 NaN NaN
g28-g45 NaN NaN
g28-g46 NaN NaN
g28-g47 NaN NaN
g28-g48 NaN NaN
g28-g49 NaN NaN
g28-g50 NaN NaN
g29-g30 NaN 4191392
g29-g31 NaN NaN
g29-g32 NaN NaN
g29-g40 NaN NaN
g29-g44 NaN NaN
g29-g45 NaN NaN
g29-g50 NaN NaN
g3-g10 1922 8295
g3-g11 50151 212451
g3-g12 57668 339468
g3-g13 1012 9975
g3-g14 5215 27041
g3-g15 1212 11382
g3-g16 13405 69675
g3-g17 16658 61587
g3-g18 32209 116831
g3-g19 92915 440318
g3-g20 9 10880
g3-g21 41611 225400
g3-g22 7174 34580
g3-g23 7948 55690
g3-g24 2028 3967
g3-g25 11487 18670
g3-g26 2544 23261
g3-g27 5885 33886
g3-g28 5292 34678
g3-g29 8 199
g3-g30 64 172
g3-g31 33 197
g3-g32 1248 123645
g3-g33 9349 40322
g3-g34 70337 255755
g3-g35 13428 58993
g3-g36 8114 33295
g3-g37 22418 141024
g3-g38 994896 1809589
g3-g39 36580 164553
g3-g4 168 1605
g3-g40 NaN 152635747
g3-g41 51433 228390
g3-g42 55476 250324
g3-g43 215192 1188644
g3-g44 135 257
g3-g45 7 214
g3-g46 27 288
g3-g47 20 283
g3-g48 31 236
g3-g49 577765 3336733
g3-g5 548 2875
g3-g50 4587128 30607265
g3-g6 1392 6023
g3-g7 2772 26279
g3-g8 1398 6800
g3-g9 5826 31640
g30-g31 NaN NaN
g30-g32 NaN NaN
g30-g40 NaN NaN
g30-g44 NaN NaN
g30-g45 NaN NaN
g30-g50 NaN NaN
g31-g32 NaN NaN
g31-g40 NaN NaN
g31-g50 NaN NaN
g33-g37 NaN NaN
g33-g38 NaN NaN
g33-g40 NaN NaN
g33-g43 NaN NaN
g33-g44 NaN NaN
g33-g45 NaN NaN
g33-g46 NaN NaN
g33-g47 NaN NaN
g33-g48 NaN NaN
g33-g49 NaN NaN
g33-g50 NaN NaN
g34-g35 NaN NaN
g34-g36 NaN NaN
g34-g37 NaN NaN
g34-g38 NaN NaN
g34-g39 NaN NaN
g34-g40 NaN NaN
g34-g41 NaN NaN
g34-g42 NaN NaN
g34-g43 NaN NaN
g34-g44 NaN NaN
g34-g45 NaN NaN
g34-g46 NaN NaN
g34-g47 NaN NaN
g34-g48 NaN NaN
g34-g49 NaN NaN
g34-g50 NaN NaN
g35-g37 NaN NaN
g35-g38 NaN NaN
g35-g40 NaN NaN
g35-g41 NaN NaN
g35-g42 NaN NaN
g35-g43 NaN NaN
g35-g44 NaN NaN
g35-g45 NaN NaN
g35-g46 NaN NaN
g35-g47 NaN NaN
g35-g48 NaN NaN
g35-g49 NaN NaN
g35-g50 NaN NaN
g36-g37 NaN NaN
g36-g38 NaN NaN
g36-g40 NaN NaN
g36-g41 NaN NaN
g36-g42 NaN NaN
g36-g43 NaN NaN
g36-g44 NaN NaN
