instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03m_s90_AB04 119 0 133 2
mcs10_b03m_s90_AB05 99 1 99 2
mcs10_b03m_s90_AB06 105 0 107 2
mcs10_b03m_s90_AB07 119 0 120 2
mcs10_b03m_s90_AB08 102 0 110 1
mcs10_b03m_s90_AB09 129 0 93 2
mcs10_b06_s100_AB00 76 1 74 3
mcs10_b06_s100_AB01 75 2 51 3
mcs10_b06_s100_AB02 52 2 84 2
mcs10_b06_s100_AB03 66 1 43 3
mcs10_b06_s100_AB04 55 1 41 2
mcs10_b06_s100_AB05 58 3 50 2
mcs10_b06_s100_AB06 58 1 38 3
mcs10_b06_s100_AB07 65 2 44 1
mcs10_b06_s100_AB08 71 1 75 2
mcs10_b06_s100_AB09 48 2 43 4
mcs10_b06_s70_AB00 48 0 45 1
mcs10_b06_s70_AB01 49 0 31 2
mcs10_b06_s70_AB02 54 0 35 2
mcs10_b06_s70_AB03 31 0 30 2
mcs10_b06_s70_AB04 30 1 33 2
mcs10_b06_s70_AB05 31 0 36 2
mcs10_b06_s70_AB06 40 0 33 3
mcs10_b06_s70_AB07 53 0 57 2
mcs10_b06_s70_AB08 33 0 37 1
mcs10_b06_s70_AB09 52 0 33 2
mcs10_b06_s80_AB00 85 0 60 1
mcs10_b06_s80_AB01 91 0 62 2
mcs10_b06_s80_AB02 79 0 53 2
mcs10_b06_s80_AB03 104 0 91 2
mcs10_b06_s80_AB04 80 1 63 1
mcs10_b06_s80_AB05 55 0 61 1
mcs10_b06_s80_AB06 77 0 90 1
mcs10_b06_s80_AB07 74 1 87 2
mcs10_b06_s80_AB08 55 0 84 2
mcs10_b06_s80_AB09 67 0 66 3
mcs10_b06_s90_AB00 136 1 113 3
mcs10_b06_s90_AB01 112 0 105 2
mcs10_b06_s90_AB02 115 1 91 1
mcs10_b06_s90_AB03 114 1 147 5
mcs10_b06_s90_AB04 115 0 100 2
mcs10_b06_s90_AB05 105 1 104 2
mcs10_b06_s90_AB06 133 1 130 2
mcs10_b06_s90_AB07 99 0 131 2
mcs10_b06_s90_AB08 137 0 124 2
mcs10_b06_s90_AB09 101 1 96 2
mcs10_b06m_s100_AB00 47 1 38 3
mcs10_b06m_s100_AB01 51 2 50 3
mcs10_b06m_s100_AB02 38 2 38 2
mcs10_b06m_s100_AB03 35 2 43 3
mcs10_b06m_s100_AB04 59 2 41 2
mcs10_b06m_s100_AB05 53 1 63 2
mcs10_b06m_s100_AB06 43 1 44 2
mcs10_b06m_s100_AB07 56 0 47 1
mcs10_b06m_s100_AB08 76 1 45 2
mcs10_b06m_s100_AB09 55 1 83 2
mcs10_b06m_s70_AB00 55 0 52 1
mcs10_b06m_s70_AB01 42 0 45 1
mcs10_b06m_s70_AB02 37 0 35 2
mcs10_b06m_s70_AB03 34 0 41 1
mcs10_b06m_s70_AB04 33 0 51 2
mcs10_b06m_s70_AB05 29 0 36 2
mcs10_b06m_s70_AB06 45 0 37 1
mcs10_b06m_s70_AB07 49 0 55 2
mcs10_b06m_s70_AB08 31 0 37 2
mcs10_b06m_s70_AB09 35 0 39 1
mcs10_b06m_s80_AB00 59 0 59 1
mcs10_b06m_s80_AB01 61 0 68 1
mcs10_b06m_s80_AB02 77 0 126 2
mcs10_b06m_s80_AB03 77 0 57 3
mcs10_b06m_s80_AB04 65 0 89 2
mcs10_b06m_s80_AB05 59 1 80 2
mcs10_b06m_s80_AB06 57 0 115 1
mcs10_b06m_s80_AB07 71 0 66 2
mcs10_b06m_s80_AB08 53 1 68 2
mcs10_b06m_s80_AB09 83 0 59 1
mcs10_b06m_s90_AB00 149 0 105 2
mcs10_b06m_s90_AB01 132 1 119 3
mcs10_b06m_s90_AB02 132 1 109 2
mcs10_b06m_s90_AB03 133 1 110 1
mcs10_b06m_s90_AB04 135 2 98 3
mcs10_b06m_s90_AB05 114 1 122 2
mcs10_b06m_s90_AB06 159 0 131 2
mcs10_b06m_s90_AB07 133 1 141 3
mcs10_b06m_s90_AB08 101 0 110 3
mcs10_b06m_s90_AB09 110 1 121 1
mcs10_b09_s100_AB00 71 3 43 3
mcs10_b09_s100_AB01 43 3 56 2
mcs10_b09_s100_AB02 49 2 42 2
mcs10_b09_s100_AB03 71 1 45 2
mcs10_b09_s100_AB04 41 3 41 3
mcs10_b09_s100_AB05 73 4 70 3
mcs10_b09_s100_AB06 53 1 56 2
mcs10_b09_s100_AB07 66 1 45 2
mcs10_b09_s100_AB08 87 1 55 3
mcs10_b09_s100_AB09 69 1 77 3
mcs10_b09m_s100_AB00 41 2 41 2
mcs10_b09m_s100_AB01 50 1 46 2
mcs10_b09m_s100_AB02 58 0 43 1
mcs10_b09m_s100_AB03 39 0 44 3
mcs10_b09m_s100_AB04 50 0 37 2
mcs10_b09m_s100_AB05 55 0 34 1
mcs10_b09m_s100_AB06 72 0 48 2
mcs10_b09m_s100_AB07 72 2 71 1
mcs10_b09m_s100_AB08 40 0 45 2
mcs10_b09m_s100_AB09 75 2 64 2
mcs10_m2D_s100_AB00 43 1 45 1
mcs10_m2D_s100_AB01 47 1 62 1
mcs10_m2D_s100_AB02 58 0 55 2
mcs10_m2D_s100_AB03 51 1 47 2
mcs10_m2D_s100_AB04 44 1 70 1
mcs10_m2D_s100_AB05 67 1 45 3
mcs10_m2D_s100_AB06 41 0 44 2
mcs10_m2D_s100_AB07 77 0 66 2
mcs10_m2D_s100_AB08 63 1 42 2
mcs10_m2D_s100_AB09 48 1 44 2
mcs10_m2D_s40_AB00 23 0 17 2
mcs10_m2D_s40_AB01 16 0 13 2
mcs10_m2D_s40_AB02 14 0 12 2
mcs10_m2D_s40_AB03 8 0 13 1
mcs10_m2D_s40_AB04 19 0 20 1
mcs10_m2D_s40_AB05 17 0 11 2
mcs10_m2D_s40_AB06 19 0 19 2
mcs10_m2D_s40_AB07 18 0 16 2
mcs10_m2D_s40_AB08 9 0 10 1
mcs10_m2D_s40_AB09 10 0 13 2
mcs10_m2D_s50_AB00 39 0 37 1
mcs10_m2D_s50_AB01 33 0 31 2
mcs10_m2D_s50_AB02 26 0 44 1
mcs10_m2D_s50_AB03 27 0 31 2
mcs10_m2D_s50_AB04 34 0 36 2
mcs10_m2D_s50_AB05 46 0 41 1
mcs10_m2D_s50_AB06 33 0 27 2
mcs10_m2D_s50_AB07 29 0 28 1
mcs10_m2D_s50_AB08 25 0 34 1
mcs10_m2D_s50_AB09 31 0 29 1
mcs10_m2D_s60_AB00 16 0 14 1
mcs10_m2D_s60_AB01 30 0 18 1
mcs10_m2D_s60_AB02 21 0 28 1
mcs10_m2D_s60_AB03 25 0 22 1
mcs10_m2D_s60_AB04 23 0 19 1
mcs10_m2D_s60_AB05 26 0 28 1
mcs10_m2D_s60_AB06 18 0 24 1
mcs10_m2D_s60_AB07 16 0 20 1
mcs10_m2D_s60_AB08 28 0 17 1
mcs10_m2D_s60_AB09 25 0 18 1
mcs10_m2D_s70_AB00 46 0 35 2
mcs10_m2D_s70_AB01 40 0 37 1
mcs10_m2D_s70_AB02 30 0 46 4
mcs10_m2D_s70_AB03 29 0 31 2
mcs10_m2D_s70_AB04 40 0 31 1
mcs10_m2D_s70_AB05 42 0 38 2
mcs10_m2D_s70_AB06 34 0 38 1
mcs10_m2D_s70_AB07 41 0 57 2
mcs10_m2D_s70_AB08 29 0 34 2
mcs10_m2D_s70_AB09 35 0 29 1
mcs10_m2D_s80_AB00 75 1 77 3
mcs10_m2D_s80_AB01 50 0 52 2
mcs10_m2D_s80_AB02 114 0 66 1
mcs10_m2D_s80_AB03 53 0 84 1
mcs10_m2D_s80_AB04 70 1 59 2
mcs10_m2D_s80_AB05 86 0 64 1
mcs10_m2D_s80_AB06 62 0 59 2
mcs10_m2D_s80_AB07 78 0 69 1
mcs10_m2D_s80_AB08 55 0 58 1
mcs10_m2D_s80_AB09 72 0 61 2
mcs10_m2D_s90_AB00 137 0 112 2
mcs10_m2D_s90_AB01 118 0 103 2
mcs10_m2D_s90_AB02 119 0 145 2
mcs10_m2D_s90_AB03 104 0 148 1
mcs10_m2D_s90_AB04 106 1 117 2
mcs10_m2D_s90_AB05 102 0 135 1
mcs10_m2D_s90_AB06 106 0 109 1
mcs10_m2D_s90_AB07 107 0 93 2
mcs10_m2D_s90_AB08 100 0 96 2
mcs10_m2D_s90_AB09 107 0 96 1
mcs10_m2Dr2_s100_AB00 41 1 43 1
mcs10_m2Dr2_s100_AB01 63 0 51 2
mcs10_m2Dr2_s100_AB02 55 0 86 2
mcs10_m2Dr2_s100_AB03 42 0 46 1
mcs10_m2Dr2_s100_AB04 49 0 46 2
mcs10_m2Dr2_s100_AB05 56 1 84 1
mcs10_m2Dr2_s100_AB06 42 0 45 1
mcs10_m2Dr2_s100_AB07 40 1 65 2
mcs10_m2Dr2_s100_AB08 76 1 45 1
mcs10_m2Dr2_s100_AB09 69 0 45 2
mcs10_m2Dr2_s70_AB00 60 0 44 2
mcs10_m2Dr2_s70_AB01 47 0 35 2
mcs10_m2Dr2_s70_AB02 39 0 68 1
mcs10_m2Dr2_s70_AB03 42 0 46 1
mcs10_m2Dr2_s70_AB04 29 0 29 1
mcs10_m2Dr2_s70_AB05 58 0 39 1
mcs10_m2Dr2_s70_AB06 39 0 67 1
mcs10_m2Dr2_s70_AB07 34 0 35 1
mcs10_m2Dr2_s70_AB08 35 0 34 2
mcs10_m2Dr2_s70_AB09 31 0 37 2
mcs10_m2Dr2_s80_AB00 59 0 80 2
mcs10_m2Dr2_s80_AB01 69 0 60 1
mcs10_m2Dr2_s80_AB02 86 0 75 3
mcs10_m2Dr2_s80_AB03 62 0 59 3
mcs10_m2Dr2_s80_AB04 74 0 54 2
mcs10_m2Dr2_s80_AB05 65 1 76 2
mcs10_m2Dr2_s80_AB06 93 0 67 3
mcs10_m2Dr2_s80_AB07 59 0 60 3
mcs10_m2Dr2_s80_AB08 89 0 85 2
mcs10_m2Dr2_s80_AB09 54 0 58 1
mcs10_m2Dr2_s90_AB00 113 1 99 2
mcs10_m2Dr2_s90_AB01 129 0 122 1
mcs10_m2Dr2_s90_AB02 137 0 121 2
mcs10_m2Dr2_s90_AB03 99 0 123 2
mcs10_m2Dr2_s90_AB04 131 0 128 2
mcs10_m2Dr2_s90_AB05 102 0 114 1
mcs10_m2Dr2_s90_AB06 132 0 115 1
mcs10_m2Dr2_s90_AB07 92 0 87 2
mcs10_m2Dr2_s90_AB08 126 0 88 2
mcs10_m2Dr2_s90_AB09 126 0 102 2
mcs10_m2Dr4_s100_AB00 58 1 50 2
mcs10_m2Dr4_s100_AB01 37 0 63 2
mcs10_m2Dr4_s100_AB02 56 0 52 1
mcs10_m2Dr4_s100_AB03 52 0 43 2
mcs10_m2Dr4_s100_AB04 63 0 38 1
mcs10_m2Dr4_s100_AB05 42 0 66 3
mcs10_m2Dr4_s100_AB06 62 1 41 2
mcs10_m2Dr4_s100_AB07 66 0 69 1
mcs10_m2Dr4_s100_AB08 43 1 59 3
mcs10_m2Dr4_s100_AB09 76 1 51 2
mcs10_m2Dr4_s40_AB00 12 0 8 1
mcs10_m2Dr4_s40_AB01 23 0 14 2
mcs10_m2Dr4_s40_AB02 20 0 15 1
mcs10_m2Dr4_s40_AB03 19 0 18 1
mcs10_m2Dr4_s40_AB04 14 0 15 1
mcs10_m2Dr4_s40_AB05 16 0 11 1
mcs10_m2Dr4_s40_AB06 11 0 20 1
mcs10_m2Dr4_s40_AB07 9 0 11 2
mcs10_m2Dr4_s40_AB08 11 0 14 2
mcs10_m2Dr4_s40_AB09 16 0 15 1
mcs10_m2Dr4_s50_AB00 54 0 44 3
mcs10_m2Dr4_s50_AB01 18 0 35 1
mcs10_m2Dr4_s50_AB02 24 0 28 2
mcs10_m2Dr4_s50_AB03 44 0 30 1
mcs10_m2Dr4_s50_AB04 26 0 26 1
mcs10_m2Dr4_s50_AB05 42 0 32 2
mcs10_m2Dr4_s50_AB06 25 0 28 1
mcs10_m2Dr4_s50_AB07 41 0 32 1
mcs10_m2Dr4_s50_AB08 47 0 29 1
mcs10_m2Dr4_s50_AB09 22 0 24 1
mcs10_m2Dr4_s60_AB00 14 0 18 1
mcs10_m2Dr4_s60_AB01 21 0 26 2
mcs10_m2Dr4_s60_AB02 24 0 26 1
mcs10_m2Dr4_s60_AB03 20 0 22 1
mcs10_m2Dr4_s60_AB04 28 0 16 1
mcs10_m2Dr4_s60_AB05 33 0 18 1
mcs10_m2Dr4_s60_AB06 14 0 16 1
mcs10_m2Dr4_s60_AB07 16 0 18 1
mcs10_m2Dr4_s60_AB08 18 0 27 1
mcs10_m2Dr4_s60_AB09 23 0 21 1
mcs10_m2Dr4_s70_AB00 28 0 49 1
mcs10_m2Dr4_s70_AB01 46 0 34 1
mcs10_m2Dr4_s70_AB02 34 0 33 3
mcs10_m2Dr4_s70_AB03 61 0 38 1
mcs10_m2Dr4_s70_AB04 33 0 36 2
mcs10_m2Dr4_s70_AB05 40 0 36 1
mcs10_m2Dr4_s70_AB06 30 0 60 1
mcs10_m2Dr4_s70_AB07 33 0 39 1
mcs10_m2Dr4_s70_AB08 48 0 34 1
mcs10_m2Dr4_s70_AB09 44 0 35 2
mcs10_m2Dr4_s80_AB00 71 1 64 3
mcs10_m2Dr4_s80_AB01 67 0 65 2
mcs10_m2Dr4_s80_AB02 56 0 70 1
mcs10_m2Dr4_s80_AB03 53 0 98 2
mcs10_m2Dr4_s80_AB04 79 0 62 1
mcs10_m2Dr4_s80_AB05 68 1 62 1
mcs10_m2Dr4_s80_AB06 66 1 65 2
mcs10_m2Dr4_s80_AB07 66 0 92 2
mcs10_m2Dr4_s80_AB08 71 1 80 2
mcs10_m2Dr4_s80_AB09 66 0 54 1
mcs10_m2Dr4_s90_AB00 132 0 99 1
mcs10_m2Dr4_s90_AB01 132 0 103 1
mcs10_m2Dr4_s90_AB02 109 0 131 2
mcs10_m2Dr4_s90_AB03 119 1 99 1
mcs10_m2Dr4_s90_AB04 117 0 94 2
mcs10_m2Dr4_s90_AB05 111 0 129 2
mcs10_m2Dr4_s90_AB06 129 1 90 1
mcs10_m2Dr4_s90_AB07 108 0 117 1
mcs10_m2Dr4_s90_AB08 120 0 93 2
mcs10_m2Dr4_s90_AB09 118 1 105 2
mcs10_m2Dr6_s100_AB00 48 0 68 1
mcs10_m2Dr6_s100_AB01 52 0 48 2
mcs10_m2Dr6_s100_AB02 61 0 40 1
mcs10_m2Dr6_s100_AB03 36 1 44 2
mcs10_m2Dr6_s100_AB04 35 0 42 1
mcs10_m2Dr6_s100_AB05 54 0 38 3
mcs10_m2Dr6_s100_AB06 40 1 43 1
mcs10_m2Dr6_s100_AB07 57 1 71 2
mcs10_m2Dr6_s100_AB08 66 0 38 2
mcs10_m2Dr6_s100_AB09 71 1 47 2
mcs10_m2Dr6_s40_AB00 20 0 19 2
mcs10_m2Dr6_s40_AB01 11 0 24 2
mcs10_m2Dr6_s40_AB02 10 0 12 1
mcs10_m2Dr6_s40_AB03 11 0 11 2
