instance clique james-cpp-max kdown clique-par/t32 james-cpp-max-par/t32 kdown-par/t32 james-cpp-max-par/t4 james-cpp-max-par/t16 james-cpp-max-par/t32r kdown-par/t4 kdown-par/t16 kdown-par/t32r
mcs10_m2D_s50_AB04 1000000 1000000 1000000 1000003 150612 1000001 617503 231001 134984 1000000 1000001 1000001
mcs10_m2D_s50_AB05 1000000 1000000 1000000 1000006 118071 1000001 793913 161462 117800 1000000 1000000 1000001
mcs10_m2D_s50_AB06 1000000 911156 1000000 1000005 63159 1000001 273691 71969 46284 1000000 1000000 1000001
mcs10_m2D_s50_AB07 1000000 1000000 1000000 1000003 114059 1000001 596347 197416 112611 1000000 1000000 1000001
mcs10_m2D_s50_AB08 1000000 1000000 1000000 1000005 98692 1000001 707032 142914 97356 1000000 1000000 1000001
mcs10_m2D_s50_AB09 1000000 1000000 1000000 1000003 114198 1000001 967281 219085 112234 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB00 1000000 95992 1000000 1000002 6009 630161 28331 7220 4438 1000000 694660 685191
mcs10_m2Dr4_s40_AB01 1000000 106947 1000000 1000003 5858 1000001 33946 7891 4898 1000000 998103 1000001
mcs10_m2Dr4_s40_AB02 1000000 486794 1000000 1000003 26274 1000001 163439 48282 25431 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB03 1000000 95770 1000000 1000003 12842 1000001 37839 16246 12610 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB04 1000000 194441 1000000 1000003 16111 1000001 79677 22046 15948 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB05 1000000 95780 1000000 1000003 14613 1000001 41360 15512 14153 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB06 1000000 735733 1000000 1000003 80512 1000001 244688 71021 49631 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB07 1000000 169911 1000000 1000003 15656 1000001 64358 21153 14467 1000000 1000000 1000001
mcs10_m2Dr4_s40_AB08 1000000 85257 1000000 1000003 11785 937172 35096 14566 13348 1000000 951491 940113
mcs10_m2Dr4_s40_AB09 1000000 121346 1000000 1000003 10112 1000001 59173 14734 9558 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB00 1000000 1000000 1000000 1000004 909119 1000001 1000000 1000001 884864 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB01 1000000 1000000 1000000 1000005 1000004 1000002 1000000 1000000 1000004 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB02 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB03 1000000 1000000 1000000 1000003 1000002 1000001 1000000 1000000 1000002 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB04 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000002 1000003 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB05 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB06 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000002
mcs10_m2Dr4_s50_AB07 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB08 1000000 1000000 1000000 1000005 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr4_s50_AB09 1000000 1000000 1000000 1000003 1000003 1000001 1000000 1000001 1000002 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB00 1000000 456819 1000000 1000004 55543 1000001 185775 74192 55919 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB01 1000000 534863 1000000 1000003 43439 1000001 160845 59010 38338 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB02 1000000 1000000 1000000 1000002 287223 1000001 672657 322730 291439 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB03 1000000 295690 1000000 1000003 36489 1000001 117987 44590 40094 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB04 1000000 538240 1000000 1000003 41096 1000001 179739 63958 37076 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB05 1000000 217533 1000000 1000003 23097 1000001 91173 29875 23357 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB06 1000000 170409 1000000 1000003 31312 1000001 55315 26313 23935 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB07 1000000 162443 1000000 1000003 15273 1000001 61350 19680 15140 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB08 1000000 1000000 1000000 1000003 154766 1000001 638152 217382 154403 1000000 1000000 1000001
mcs10_m2Dr6_s40_AB09 1000000 180838 1000000 1000003 21310 1000001 96206 27609 22320 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB00 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB01 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB02 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000001 1000001 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB03 1000000 1000000 1000000 1000003 1000003 1000001 1000000 1000000 1000003 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB04 1000000 1000000 1000000 1000004 1000001 1000002 1000000 1000000 1000003 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB05 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000001 1000001 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB06 1000000 1000000 1000000 1000005 896727 1000002 1000000 1000001 721103 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB07 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB08 1000000 1000000 1000000 1000004 1000004 1000001 1000000 1000001 1000003 1000000 1000000 1000001
mcs10_m2Dr6_s50_AB09 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s20_AB00 58 0 109 49 10 59 2 4 7 25 23 39
mcs10_r005_s20_AB01 74 3 57 50 11 68 3 5 5 57 44 44
mcs10_r005_s20_AB02 39 3 44 49 9 53 1 3 6 27 28 44
mcs10_r005_s20_AB03 150 3 54 55 6 74 2 4 5 53 62 49
mcs10_r005_s20_AB04 65 3 51 45 9 90 1 4 6 46 69 83
mcs10_r005_s20_AB05 58 25 404 43 9 225 10 6 7 192 137 149
mcs10_r005_s20_AB06 61 0 61 44 7 68 1 2 4 26 22 40
mcs10_r005_s20_AB07 116 2 99 43 10 46 2 4 5 96 33 31
mcs10_r005_s20_AB08 83 16 539 46 9 227 7 5 9 162 198 141
mcs10_r005_s20_AB09 99 16 284 51 10 158 5 5 7 94 68 88
mcs10_r005_s25_AB00 1015 155 22466 160 24 1991 101 41 43 2921 1592 1866
mcs10_r005_s25_AB01 1107 36 447 159 8 178 5 5 6 214 98 104
mcs10_r005_s25_AB02 1369 27 384 165 9 158 3 6 9 139 129 115
mcs10_r005_s25_AB03 3519 43 1484 246 8 924 16 11 11 1089 611 790
mcs10_r005_s25_AB04 17811 35 567 820 9 261 17 9 14 284 243 286
mcs10_r005_s25_AB05 1209 3 345 127 9 132 6 6 7 200 115 98
mcs10_r005_s25_AB06 9659 31 803 383 8 413 23 10 11 462 262 383
mcs10_r005_s25_AB07 408 76 286 96 14 249 18 8 10 312 163 174
mcs10_r005_s25_AB08 2549 35 1104 185 9 337 14 9 15 462 379 307
mcs10_r005_s25_AB09 4310 93 3825 239 10 144 15 6 7 251 232 158
mcs10_r005_s30_AB00 47365 284 9833 1941 20 2553 145 48 31 6536 1868 2688
mcs10_r005_s30_AB01 679296 485 22257 20149 36 3157 201 60 33 5840 3014 3119
mcs10_r005_s30_AB02 58602 609 19062 2249 44 3276 385 98 72 6628 2915 3605
mcs10_r005_s30_AB03 131742 529 11190 3690 33 2937 254 57 34 7346 2679 2892
mcs10_r005_s30_AB04 1000000 556 20086 37853 43 5176 318 86 54 9577 3669 5430
mcs10_r005_s30_AB05 811879 386 14186 25259 36 2911 193 65 31 5964 2983 3112
mcs10_r005_s30_AB06 703268 1836 94695 22220 156 10593 821 237 157 20628 8890 10007
mcs10_r005_s30_AB07 147761 634 12300 4788 24 2475 163 59 23 4800 2206 2560
mcs10_r005_s30_AB08 175961 26 6769 5156 13 387 25 12 12 1058 424 371
mcs10_r005_s30_AB09 35586 231 17814 881 25 2530 132 38 31 4371 1817 2489
mcs10_r005_s35_AB00 1000000 6549 348662 238801 566 99887 2788 806 639 196457 100334 98206
mcs10_r005_s35_AB01 1000000 5185 296551 348140 509 71859 2145 565 477 100291 47275 65150
mcs10_r005_s35_AB02 1000000 7695 1000000 1000002 577 69691 3517 767 612 176215 57818 70472
mcs10_r005_s35_AB03 1000000 19178 1000000 903884 1321 241632 7276 2487 1436 489149 209446 241193
mcs10_r005_s35_AB04 1000000 8892 291834 190267 593 91216 3007 701 447 115502 64018 87261
mcs10_r005_s35_AB05 1000000 2110 121349 102700 190 20953 700 300 195 56419 19558 21653
mcs10_r005_s35_AB06 1000000 7067 459779 771742 251 54698 2075 518 443 159186 54002 52679
mcs10_r005_s35_AB07 1000000 16800 961979 596043 1488 140534 7454 2013 1382 333836 125359 139205
mcs10_r005_s35_AB08 1000000 2518 267456 383336 315 35986 1290 405 328 98539 32462 33144
mcs10_r005_s35_AB09 1000000 2616 176964 1000003 178 22645 1104 294 225 68048 21764 23175
mcs10_r005_s40_AB00 1000000 146340 1000000 1000003 14681 1000001 69225 21471 14061 1000000 1000000 1000001
mcs10_r005_s40_AB01 1000000 193315 1000000 1000003 25235 1000001 74369 22512 19381 1000000 1000000 1000001
mcs10_r005_s40_AB02 1000000 327067 1000000 1000003 23536 1000001 129886 47215 27729 1000000 1000000 1000001
mcs10_r005_s40_AB03 1000000 124505 1000000 1000003 18516 1000001 79685 23684 18384 1000000 1000000 1000001
mcs10_r005_s40_AB04 1000000 444796 1000000 1000003 21414 1000001 150149 29011 19740 1000000 1000000 1000001
mcs10_r005_s40_AB05 1000000 291609 1000000 1000003 45685 1000001 141918 55645 46977 1000000 1000000 1000001
mcs10_r005_s40_AB06 1000000 174724 1000000 1000003 19473 1000001 54414 22463 16362 1000000 1000000 1000001
mcs10_r005_s40_AB07 1000000 151028 1000000 1000003 5743 1000001 58109 9843 6088 1000000 1000001 1000001
mcs10_r005_s40_AB08 1000000 130149 1000000 1000003 17965 1000001 71516 22626 17351 1000000 1000000 1000001
mcs10_r005_s40_AB09 1000001 201781 1000000 1000002 10626 1000001 67564 19454 11120 1000000 1000000 1000001
mcs10_r005_s50_AB00 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB01 1000000 1000000 1000000 1000004 1000001 1000002 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB02 1000000 1000000 1000000 1000004 1000001 1000002 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB03 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB04 1000000 1000000 1000000 1000005 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB05 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB06 1000000 1000000 1000000 1000005 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB07 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000000 1000000 1000000 1000002
mcs10_r005_s50_AB08 1000001 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r005_s50_AB09 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs10_r01_s20_AB00 234 38 799 47 11 377 15 11 11 374 340 278
mcs10_r01_s20_AB01 286 34 643 37 10 270 16 9 9 255 169 246
mcs10_r01_s20_AB02 155 31 818 45 16 413 15 12 13 380 335 321
mcs10_r01_s20_AB03 171 11 218 54 17 88 8 8 11 115 56 49
mcs10_r01_s20_AB04 177 21 165 35 9 193 13 9 10 154 166 190
mcs10_r01_s20_AB05 115 18 333 46 11 212 8 7 8 166 151 127
mcs10_r01_s20_AB06 190 40 753 38 13 330 18 13 14 402 296 343
mcs10_r01_s20_AB07 63 15 335 43 16 141 6 8 11 138 94 89
mcs10_r01_s20_AB08 78 15 296 47 17 187 9 10 9 268 163 136
mcs10_r01_s20_AB09 119 13 103 47 11 129 8 7 8 63 95 110
mcs10_r01_s25_AB00 5338 685 7239 344 38 4373 289 90 53 4603 3449 4000
mcs10_r01_s25_AB01 5593 462 15425 309 43 3553 227 63 57 5632 2569 3323
mcs10_r01_s25_AB02 4714 534 17393 308 50 4676 271 90 50 7727 4035 4707
mcs10_r01_s25_AB03 5580 406 7423 345 42 3572 211 59 35 5419 2878 3506
