instance clique james-cpp-max kdown clique-par/t32 james-cpp-max-par/t32 kdown-par/t32 james-cpp-max-par/t4 james-cpp-max-par/t16 james-cpp-max-par/t32r kdown-par/t4 kdown-par/t16 kdown-par/t32r
mcs30_b09_s50_AB02 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB03 1000000 1000000 1000000 1000004 1000001 1000002 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB04 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB05 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB06 1000000 1000000 1000000 1000005 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB07 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB08 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000001 1000001 1000000 1000000 1000001
mcs30_b09_s50_AB09 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s35_AB00 1000000 55466 1000000 31199 11315 711191 26716 12915 12010 1000000 556549 710808
mcs30_b09m_s35_AB01 1000000 70232 1000000 55236 15502 515529 31520 13886 12386 939959 380309 435593
mcs30_b09m_s35_AB02 1000000 45719 1000000 52461 11327 563676 27842 12983 11799 1000000 536306 589294
mcs30_b09m_s35_AB03 1000000 44866 1000000 38173 9047 370762 23584 9927 9313 815507 289374 393780
mcs30_b09m_s35_AB04 1000000 163642 1000000 112712 31076 1000001 70892 36767 31862 1000000 1000000 1000001
mcs30_b09m_s35_AB05 1000000 62896 1000000 59810 15260 719623 28029 16599 15271 1000000 555267 702007
mcs30_b09m_s35_AB06 1000000 175969 1000000 94389 52970 1000001 92579 42449 38630 1000000 1000001 1000001
mcs30_b09m_s35_AB07 1000000 50991 1000000 40865 10872 867582 26887 13458 10406 1000000 763710 819104
mcs30_b09m_s35_AB08 1000000 59155 1000000 47512 13492 537688 33914 15143 14008 1000000 511470 541206
mcs30_b09m_s35_AB09 1000000 58565 1000000 58255 13747 678399 25515 15682 13865 1000000 675001 672056
mcs30_b09m_s40_AB00 1000000 1000000 1000000 1000002 229590 1000001 566425 281170 234575 1000000 1000000 1000001
mcs30_b09m_s40_AB01 1000000 776768 1000000 1000003 240347 1000002 419065 199984 178457 1000000 1000000 1000001
mcs30_b09m_s40_AB02 1000000 1000000 1000000 1000003 760748 1000001 1000000 841897 760306 1000000 1000000 1000001
mcs30_b09m_s40_AB03 1000000 1000000 1000000 1000002 261553 1000001 674919 299654 259147 1000000 1000000 1000001
mcs30_b09m_s40_AB04 1000000 755218 1000000 1000002 175238 1000001 337140 196424 177829 1000000 1000000 1000001
mcs30_b09m_s40_AB05 1000000 1000000 1000000 1000003 375472 1000001 943399 434620 356471 1000000 1000000 1000002
mcs30_b09m_s40_AB06 1000000 1000000 1000000 1000003 340537 1000001 467483 280955 248175 1000000 1000000 1000001
mcs30_b09m_s40_AB07 1000000 898997 1000000 1000003 268074 1000001 517843 296582 276456 1000000 1000000 1000001
mcs30_b09m_s40_AB08 1000000 822710 1000000 1000003 268834 1000001 511675 292125 267134 1000000 1000000 1000001
mcs30_b09m_s40_AB09 1000000 1000000 1000000 1000003 305913 1000001 951993 368002 308761 1000000 1000000 1000001
mcs30_b09m_s50_AB00 1000000 1000000 1000000 1000005 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s50_AB01 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000002 1000000 1000000 1000001
mcs30_b09m_s50_AB02 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s50_AB03 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s50_AB04 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s50_AB05 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s50_AB06 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000001 1000001
mcs30_b09m_s50_AB07 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_b09m_s50_AB08 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000001 1000001
mcs30_b09m_s50_AB09 1000000 1000000 1000000 1000005 1000000 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_m2D_s30_AB00 198539 932 59680 6334 92 14821 631 125 81 26162 11163 15609
mcs30_m2D_s30_AB01 194037 378 81226 6273 39 4250 186 50 43 7594 2749 3676
mcs30_m2D_s30_AB02 1000000 965 54124 32849 81 7662 401 156 86 18659 7207 7991
mcs30_m2D_s30_AB03 194728 184 6606 6534 20 2074 117 33 19 3247 2060 1779
mcs30_m2D_s30_AB04 101184 211 22902 2991 24 2658 90 63 23 3514 2087 2953
mcs30_m2D_s30_AB05 346613 653 26553 10814 48 5771 260 89 44 10704 4992 7061
mcs30_m2D_s30_AB06 1000000 284 42718 28307 59 7496 180 87 75 12320 4991 6841
mcs30_m2D_s30_AB07 332794 1454 62381 10635 98 11831 640 146 87 25587 9829 10113
mcs30_m2D_s30_AB08 366256 1075 61469 11649 71 10989 414 112 66 25659 10694 10884
mcs30_m2D_s30_AB09 528227 335 34300 16030 28 4630 202 67 37 6654 3050 4559
mcs30_m2D_s50_AB00 1000000 1000000 1000000 1000004 550332 1000001 1000000 885821 545220 1000000 1000000 1000001
mcs30_m2D_s50_AB01 1000000 1000000 1000000 1000004 208127 1000002 1000000 365744 182613 1000000 1000000 1000001
mcs30_m2D_s50_AB02 1000000 1000000 1000000 1000003 136392 1000001 785521 178957 128464 1000000 1000000 1000001
mcs30_m2D_s50_AB03 1000000 973534 1000000 1000003 111649 1000001 398567 171304 112368 1000000 1000000 1000001
mcs30_m2D_s50_AB04 1000000 1000000 1000000 1000003 811172 1000001 1000000 1000001 1000005 1000000 1000000 1000001
mcs30_m2D_s50_AB05 1000000 1000000 1000000 1000005 307740 1000001 1000000 453662 305059 1000000 1000000 1000001
mcs30_m2D_s50_AB06 1000001 1000000 1000000 1000005 1000002 1000001 1000000 1000001 867331 1000000 1000000 1000001
mcs30_m2D_s50_AB07 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000001 1000004 1000000 1000000 1000001
mcs30_m2D_s50_AB08 1000000 846207 1000000 1000003 68226 1000001 365510 90905 71219 1000000 1000000 1000001
mcs30_m2D_s50_AB09 1000000 1000000 1000000 1000004 222237 1000001 1000000 437208 189463 1000000 1000000 1000001
mcs30_m2Dr2_s30_AB00 279131 1143 21364 7987 48 3997 489 149 76 7865 3646 3946
mcs30_m2Dr2_s30_AB01 1000000 1324 52610 57941 80 12259 487 135 82 19456 7678 11334
mcs30_m2Dr2_s30_AB02 114132 779 6629 3361 39 3357 176 67 54 4007 3271 3425
mcs30_m2Dr2_s30_AB03 98661 675 16949 2838 54 7190 339 131 71 9187 7312 7059
mcs30_m2Dr2_s30_AB04 847137 1050 58360 30758 91 10853 410 212 135 36878 9685 11640
mcs30_m2Dr2_s30_AB05 653839 718 29254 15841 71 7912 342 101 110 11979 5122 7503
mcs30_m2Dr2_s30_AB06 304971 1375 35622 11821 67 5249 477 132 79 18930 5075 4959
mcs30_m2Dr2_s30_AB07 1000000 743 50563 30563 53 6499 301 109 77 13398 4989 5811
mcs30_m2Dr2_s30_AB08 324885 784 23605 9001 70 8927 421 103 56 12390 7671 9611
mcs30_m2Dr2_s30_AB09 14394 755 30154 579 43 6388 160 80 41 18407 5793 6381
mcs30_m2Dr2_s50_AB00 1000000 1000000 1000000 1000003 368614 1000001 1000000 522303 379393 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB01 1000001 1000000 1000000 1000004 963199 1000001 1000000 929568 739579 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB02 1000000 1000000 1000000 1000004 228619 1000001 1000000 368434 253435 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB03 1000000 1000000 1000000 1000004 661543 1000002 1000000 897089 662240 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB04 1000001 1000000 1000000 1000005 96732 1000001 623033 168809 98055 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB05 1000000 1000000 1000000 1000004 1000004 1000001 1000000 1000000 1000003 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB06 1000001 1000000 1000000 1000004 507719 1000001 1000000 741485 411847 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB07 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000002 1000003 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB08 1000000 1000000 1000000 1000004 854181 1000001 1000000 1000001 853820 1000000 1000000 1000001
mcs30_m2Dr2_s50_AB09 1000000 1000000 1000000 1000003 1000003 1000001 1000000 1000001 1000003 1000000 1000000 1000002
mcs30_m2Dr4_s30_AB00 295902 1848 64347 9309 139 10038 793 261 199 22914 8890 10364
mcs30_m2Dr4_s30_AB01 314560 992 87063 12383 108 9730 459 157 140 32145 9223 8976
mcs30_m2Dr4_s30_AB02 583220 2137 127395 16656 180 21402 953 275 195 48867 22944 22579
mcs30_m2Dr4_s30_AB03 332855 1697 90418 10568 164 17858 684 251 205 32935 14696 17974
mcs30_m2Dr4_s30_AB04 281772 956 79027 10238 118 14982 499 169 124 31602 13116 15332
mcs30_m2Dr4_s30_AB05 65398 1063 64544 2073 108 15915 628 208 121 31846 15656 16718
mcs30_m2Dr4_s30_AB06 162913 1245 41414 5322 63 6478 544 149 98 19237 6009 6755
mcs30_m2Dr4_s30_AB07 25471 840 83063 1010 106 10891 328 139 142 18189 7677 9923
mcs30_m2Dr4_s30_AB08 519996 653 38938 15809 123 7640 516 144 131 15730 5961 7516
mcs30_m2Dr4_s30_AB09 573799 2128 115376 18139 205 25195 1138 332 232 44482 18457 25728
mcs30_m2Dr4_s50_AB00 1000000 1000000 1000000 1000005 1000003 1000001 1000000 1000001 1000003 1000000 1000000 1000002
mcs30_m2Dr4_s50_AB01 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000001 1000001 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB02 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000001 1000002 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB03 1000000 1000000 1000000 1000003 355320 1000001 1000000 689302 394971 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB04 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000001 1000003 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB05 1000000 1000000 1000000 1000004 702710 1000001 1000000 1000001 643578 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB06 1000000 1000000 1000000 1000004 842779 1000002 1000000 1000001 705102 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB07 1000000 1000000 1000000 1000004 1000002 1000001 1000000 1000000 1000004 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB08 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000003 1000000 1000000 1000001
mcs30_m2Dr4_s50_AB09 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000000 1000003 1000000 1000000 1000001
mcs30_m2Dr6_s30_AB00 50306 1043 79904 1732 89 8847 484 151 110 30370 8456 8092
mcs30_m2Dr6_s30_AB01 473824 1609 58265 13563 146 11300 620 184 165 27659 9071 11549
mcs30_m2Dr6_s30_AB02 161949 3120 146991 5247 382 26723 1440 469 547 55919 21853 26233
mcs30_m2Dr6_s30_AB03 175121 550 33361 5570 48 3919 300 83 62 9288 3629 4004
mcs30_m2Dr6_s30_AB04 450146 1754 104860 14227 218 20010 1130 345 253 41634 17285 19429
mcs30_m2Dr6_s30_AB05 432859 2296 102620 13746 322 17551 1115 395 356 36347 14728 17099
mcs30_m2Dr6_s30_AB06 283721 3132 133556 9265 285 25533 1078 415 307 48684 25005 25227
mcs30_m2Dr6_s30_AB07 275153 2228 110693 8743 212 17499 1125 330 254 40839 16287 17689
mcs30_m2Dr6_s30_AB08 1000000 3628 195169 52999 367 35098 1719 629 425 72624 29527 35298
mcs30_m2Dr6_s30_AB09 245438 1744 143594 8470 94 10412 718 179 134 20057 7880 10380
mcs30_m2Dr6_s50_AB00 1000000 1000000 1000000 1000003 1000001 1000002 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB01 1000000 1000000 1000000 1000005 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB02 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB03 1000000 1000000 1000000 1000003 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB04 1000000 1000000 1000000 1000005 1000004 1000001 1000000 1000001 1000003 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB05 1000000 1000000 1000000 1000004 1000001 1000001 1000000 1000000 1000001 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB06 1000000 1000000 1000000 1000004 472907 1000001 1000000 607791 337380 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB07 1000000 1000000 1000000 1000005 1000003 1000001 1000000 1000001 1000003 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB08 1000000 1000000 1000000 1000004 1000003 1000001 1000000 1000002 1000002 1000000 1000000 1000001
mcs30_m2Dr6_s50_AB09 1000001 1000000 1000000 1000003 1000002 1000001 1000000 1000001 1000002 1000000 1000000 1000001
mcs30_m3D_s25_AB00 8840 163 1854 404 22 1537 163 39 31 1068 855 1462
mcs30_m3D_s25_AB01 6267 94 2948 304 17 1112 36 15 26 1726 792 1088
mcs30_m3D_s25_AB02 13865 211 7268 561 29 3113 141 38 40 4643 2311 3073
mcs30_m3D_s25_AB03 5213 359 3096 280 21 2135 163 43 39 1907 1720 2128
mcs30_m3D_s25_AB04 7478 170 2869 349 19 1035 110 27 24 1375 798 1067
mcs30_m3D_s25_AB05 5625 336 11027 313 26 2772 161 55 42 4582 2265 2603
mcs30_m3D_s25_AB06 35451 592 6410 1172 47 4047 293 80 47 3147 3298 4002
mcs30_m3D_s25_AB07 4738 293 12863 292 29 2221 198 50 50 4857 1961 2363
mcs30_m3D_s25_AB08 7576 147 8930 387 21 1326 82 28 25 1867 962 1264
mcs30_m3D_s25_AB09 12402 206 6323 550 19 1739 85 35 34 4065 1604 1716
mcs30_m3D_s30_AB00 636208 1074 82030 19500 101 11781 605 170 114 27969 10319 12181
mcs30_m3D_s30_AB01 751347 3164 96739 24152 183 15760 1124 255 185 46691 15462 13318
mcs30_m3D_s30_AB02 155797 1263 73353 5017 145 13365 742 239 207 29470 11040 13951
mcs30_m3D_s30_AB03 189378 1018 71208 5835 173 10954 616 273 208 27717 10600 10488
mcs30_m3D_s30_AB04 302700 2066 62223 9877 153 14067 845 232 178 23507 10604 13734
mcs30_m3D_s30_AB05 122726 3004 52071 4157 195 24033 1260 301 169 25650 21282 23648
mcs30_m3D_s30_AB06 188914 3291 53286 6125 149 12711 975 371 158 18285 10656 12145
mcs30_m3D_s30_AB07 214050 2317 67824 6513 164 12245 990 279 207 35044 13240 12692
mcs30_m3D_s30_AB08 399329 1047 61560 11295 177 13572 605 287 218 22699 12817 13769
mcs30_m3D_s30_AB09 94083 940 64583 2770 74 13153 508 142 100 24679 10149 13161
mcs30_m3D_s40_AB00 1000000 118704 1000000 1000003 22342 978918 59231 25766 22100 1000000 1000000 974411
mcs30_m3D_s40_AB01 1000000 150790 1000000 1000003 32706 1000001 99004 53717 29878 1000000 1000000 1000001
mcs30_m3D_s40_AB02 1000000 317492 1000000 1000003 21227 1000001 117018 32971 19357 1000000 1000000 1000001
mcs30_m3D_s40_AB03 1000000 619755 1000000 1000003 44733 1000001 268559 67905 45448 1000000 1000000 1000001
mcs30_m3D_s40_AB04 1000000 103131 1000000 1000003 18211 1000001 46761 22369 19365 1000000 1000001 1000001
mcs30_m3D_s40_AB05 1000000 82905 1000000 1000004 10173 1000001 31470 17896 9985 1000000 1000000 1000001
mcs30_m3D_s40_AB06 1000000 300649 1000000 1000003 20607 1000002 101900 28457 15158 1000000 1000000 1000001
mcs30_m3D_s40_AB07 1000000 57232 1000000 1000003 3497 670971 23916 5453 2909 1000000 626764 633490
mcs30_m3D_s40_AB08 1000000 327556 1000000 1000003 16516 1000001 118206 26502 17137 1000000 1000000 1000001
mcs30_m3D_s40_AB09 1000000 88007 1000000 1000004 11496 851405 42691 15833 11963 1000000 810837 872778
mcs30_m3Dr2_s25_AB00 2407 158 4720 200 23 1150 78 29 29 2123 919 1060
mcs30_m3Dr2_s25_AB01 9295 218 8575 378 32 2358 142 59 42 2733 1692 2230
mcs30_m3Dr2_s25_AB02 9414 360 12177 439 30 2739 184 62 47 6730 2667 2762
mcs30_m3Dr2_s25_AB03 3099 113 5567 209 16 889 35 28 28 1298 552 801
mcs30_m3Dr2_s25_AB04 4936 296 9174 280 28 2320 158 46 39 3828 1827 2367
mcs30_m3Dr2_s25_AB05 2087 182 2853 193 23 1765 102 32 26 1989 1289 1648
mcs30_m3Dr2_s25_AB06 6899 181 7749 334 33 1691 101 44 45 3228 1366 1746
mcs30_m3Dr2_s25_AB07 5090 210 7087 274 31 2463 145 53 42 2878 1885 2554
mcs30_m3Dr2_s25_AB08 3756 259 12976 264 33 1632 130 48 36 4266 1416 1474
mcs30_m3Dr2_s25_AB09 20341 232 7998 824 38 2347 134 60 42 3105 1554 2245
mcs30_m3Dr2_s30_AB00 158604 1581 35400 5473 124 13764 873 235 166 26647 12698 13779
mcs30_m3Dr2_s30_AB01 666395 2294 61806 21825 166 17790 929 305 169 36759 16048 16616
mcs30_m3Dr2_s30_AB02 966633 3399 223560 30314 479 42281 1666 610 423 84994 39003 41762
mcs30_m3Dr2_s30_AB03 191882 2511 157212 6295 403 34349 1323 441 381 59978 27809 32167
mcs30_m3Dr2_s30_AB04 555543 2629 140660 17444 323 30943 1215 469 366 65472 21282 28247
mcs30_m3Dr2_s30_AB05 168797 1293 70271 5684 118 12162 866 338 154 26548 10772 12841
mcs30_m3Dr2_s30_AB06 377705 2313 131394 11249 184 19149 942 270 189 39013 13832 17910
mcs30_m3Dr2_s30_AB07 355837 2768 117642 11122 365 17593 1289 455 360 40176 17059 18243
mcs30_m3Dr2_s30_AB08 1000000 5251 296321 64460 698 47652 2572 970 756 107549 53716 52761
mcs30_m3Dr2_s30_AB09 279258 2495 119771 8944 314 22280 1309 423 303 52928 18969 21797
mcs30_m3Dr2_s40_AB00 1000000 164766 1000000 1000003 16331 1000001 61825 21613 15968 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB01 1000000 148433 1000000 1000003 21576 1000001 51352 21213 16376 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB02 1000000 334860 1000000 1000003 26171 1000001 166525 37256 30861 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB03 1000000 259208 1000000 1000003 25493 1000001 114614 33645 25115 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB04 1000000 461135 1000000 1000003 27296 1000001 177031 38785 19757 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB05 1000000 119517 1000000 1000003 10082 1000001 41269 17682 9126 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB06 1000000 404724 1000000 1000002 34496 1000001 139663 40851 27488 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB07 1000000 570345 1000000 1000004 30246 1000001 213055 48864 31596 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB08 1000000 187326 1000000 1000003 17699 1000001 98792 24663 22343 1000000 1000000 1000001
mcs30_m3Dr2_s40_AB09 1000000 448616 1000000 1000002 29546 1000001 239461 51743 30469 1000000 1000000 1000001
mcs30_m3Dr4_s25_AB00 4832 191 5993 279 19 1271 112 36 35 1899 967 1233
mcs30_m3Dr4_s25_AB01 7868 287 27675 355 33 2662 117 50 38 5456 2165 2402
mcs30_m3Dr4_s25_AB02 5409 210 12633 250 35 2417 164 51 49 4590 1988 2503
mcs30_m3Dr4_s25_AB03 4754 604 23669 308 45 5909 317 97 80 9537 4684 5554
mcs30_m3Dr4_s25_AB04 4004 207 6286 226 26 1638 121 47 35 2947 1516 1664
mcs30_m3Dr4_s25_AB05 2433 239 5379 160 31 2145 76 42 34 2828 1497 2166
mcs30_m3Dr4_s25_AB06 6612 273 14406 309 24 1793 133 33 36 2705 1358 1609
mcs30_m3Dr4_s25_AB07 5677 398 10060 292 36 3057 226 71 67 6670 2918 3597
mcs30_m3Dr4_s25_AB08 7135 315 13642 345 39 3213 230 69 55 5782 2909 3244
mcs30_m3Dr4_s25_AB09 1882 150 4686 157 31 1566 68 39 38 2641 1237 1329
mcs30_m3Dr4_s30_AB00 436316 4242 119583 12791 308 43781 2196 490 336 50463 34755 42037
mcs30_m3Dr4_s30_AB01 197185 1541 72364 5964 189 19632 677 248 177 24293 13071 17507
mcs30_m3Dr4_s30_AB02 332504 2736 175468 10547 440 46162 2046 581 423 86339 35360 49105
mcs30_m3Dr4_s30_AB03 163801 2556 85720 5126 188 25480 1067 317 208 45508 20516 24092
mcs30_m3Dr4_s30_AB04 275130 4355 340493 8944 429 65376 1913 603 428 131470 52404 66685
mcs30_m3Dr4_s30_AB05 1000000 6069 294120 47018 914 56868 3423 1284 1095 117599 51306 53066
mcs30_m3Dr4_s30_AB06 135865 5742 271549 4286 663 50543 2445 962 663 97160 44927 49463
mcs30_m3Dr4_s30_AB07 675344 4889 128332 20667 489 30968 2139 688 508 52613 26686 31847
mcs30_m3Dr4_s30_AB08 83717 1376 67084 2855 175 10080 494 253 205 26858 10333 10451
mcs30_m3Dr4_s30_AB09 213082 2126 169266 6841 256 19233 1114 298 234 26291 13475 17754
mcs30_m3Dr4_s40_AB00 1000000 289928 1000000 1000002 43843 1000001 117244 55245 43444 1000000 1000000 1000002
mcs30_m3Dr4_s40_AB01 1000000 1000000 1000000 1000003 111430 1000001 620615 144325 87651 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB02 1000000 443460 1000000 1000003 48948 1000001 202042 61061 51724 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB03 1000000 808483 1000000 1000003 75286 1000001 310206 110753 77818 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB04 1000000 1000000 1000000 1000003 93016 1000001 531291 137858 91398 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB05 1000000 557553 1000000 1000002 65611 1000001 285690 89977 64789 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB06 1000000 688579 1000000 1000004 55656 1000001 233070 74061 46335 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB07 1000000 367374 1000000 1000002 23526 1000001 130182 32850 22497 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB08 1000000 753829 1000000 1000003 88461 1000001 277876 119913 94925 1000000 1000000 1000001
mcs30_m3Dr4_s40_AB09 1000000 738012 1000000 1000004 86966 1000002 417600 118930 97505 1000000 1000000 1000001
mcs30_m3Dr6_s25_AB00 12024 731 17987 522 70 4520 446 152 119 7528 3910 4444
mcs30_m3Dr6_s25_AB01 10481 495 14681 424 55 3493 273 98 87 5221 2575 3364
mcs30_m3Dr6_s25_AB02 4886 232 10426 270 47 2652 155 96 83 5255 2313 2585
mcs30_m3Dr6_s25_AB03 6208 342 9858 297 40 2566 156 74 69 4566 1971 2496
mcs30_m3Dr6_s25_AB04 5106 465 13770 322 62 3617 291 99 67 6696 2707 3679
mcs30_m3Dr6_s25_AB05 3830 301 12533 228 44 4986 191 80 57 6159 3981 4852
mcs30_m3Dr6_s25_AB06 5201 299 16716 253 37 3629 179 70 58 7848 2671 3764
mcs30_m3Dr6_s25_AB07 3013 290 11113 208 31 2886 152 67 63 5205 2102 3050
mcs30_m3Dr6_s25_AB08 8864 505 19301 444 66 4970 348 114 79 8501 3773 4987
mcs30_m3Dr6_s25_AB09 10687 369 18431 517 45 3843 226 88 65 7134 3277 3695
mcs30_m3Dr6_s30_AB00 181910 1870 152014 6189 227 16343 1019 305 270 34010 12999 15757
mcs30_m3Dr6_s30_AB01 659407 7534 417967 20863 946 75710 2803 1134 953 146052 58563 70525
mcs30_m3Dr6_s30_AB02 43804 1572 32473 1435 116 7352 630 236 148 12768 6081 7130
mcs30_m3Dr6_s30_AB03 211592 6204 195708 6331 583 35275 2930 869 617 79532 33433 35741
mcs30_m3Dr6_s30_AB04 307878 4526 116232 9439 315 34970 1652 518 307 89803 31873 35048
mcs30_m3Dr6_s30_AB05 401775 4912 235671 12680 618 44765 2921 818 590 92213 43716 48038
mcs30_m3Dr6_s30_AB06 416613 6268 279037 13140 656 43498 2070 899 650 84244 34131 39567
mcs30_m3Dr6_s30_AB07 292409 6315 395572 9526 698 66855 2817 1259 816 134862 50822 71304
mcs30_m3Dr6_s30_AB08 102184 2249 133700 3379 469 23355 1199 597 533 54886 22655 24575
mcs30_m3Dr6_s30_AB09 293540 6656 97711 8945 592 30396 2562 927 680 40530 22231 31753
mcs30_m3Dr6_s40_AB00 1000000 643103 1000000 1000003 152539 1000001 373821 169060 162608 1000000 1000001 1000001
mcs30_m3Dr6_s40_AB01 1000000 1000000 1000000 1000003 135416 1000001 411597 134887 102057 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB02 1000000 270451 1000000 1000003 23148 1000001 113024 31482 22338 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB03 1000000 1000000 1000000 1000003 126402 1000001 572758 189635 133157 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB04 1000000 867112 1000000 1000003 131468 1000001 378931 169679 130460 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB05 1000000 761549 1000000 1000002 159553 1000001 344829 182996 157805 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB06 1000000 1000000 1000000 1000003 243076 1000001 888237 246639 183662 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB07 1000000 695991 1000000 1000003 141301 1000001 428887 160622 141148 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB08 1000000 634270 1000000 1000003 83537 1000001 292198 110672 84398 1000000 1000000 1000001
mcs30_m3Dr6_s40_AB09 1000000 705210 1000000 1000003 46907 1000002 327872 76448 50837 1000000 1000000 1000001
mcs30_m4D_s50_AB00 1000001 1000000 1000000 1000004 127238 1000001 609588 179288 128253 1000000 1000000 1000002
mcs30_m4D_s50_AB01 1000001 1000000 1000000 1000005 77348 1000001 473744 87222 61222 1000000 1000000 1000001
mcs30_m4D_s50_AB02 1000000 1000000 1000000 1000004 334135 1000001 1000000 437156 334412 1000000 1000000 1000001
mcs30_m4D_s50_AB03 1000000 1000000 1000000 1000003 248989 1000001 1000000 311040 204510 1000000 1000000 1000001
mcs30_m4D_s50_AB04 1000001 1000000 1000000 1000004 65960 1000001 410312 114888 64606 1000000 1000000 1000001
mcs30_m4D_s50_AB05 1000000 1000000 1000000 1000004 114733 1000001 606986 192026 110940 1000000 1000000 1000001
mcs30_m4D_s50_AB06 1000000 1000000 1000000 1000004 126595 1000002 854564 197508 97031 1000000 1000000 1000001
mcs30_m4D_s50_AB07 1000000 1000000 1000000 1000003 632231 1000001 1000000 773426 663978 1000000 1000000 1000001
mcs30_m4D_s50_AB08 1000000 578462 1000000 1000004 31113 1000001 190786 43894 29092 1000000 1000000 1000001
