instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs30_m3Dr2_s25_AB02 13218 507 16376 1644 813 679 686 684 113 63 41 14958 7660 4979 6242 5811 1086 2078 1101 1794 6573 40
mcs30_m3Dr2_s25_AB03 4174 97 7948 570 365 265 300 277 17 23 23 1875 1194 848 1579 1216 386 528 403 329 1533 22
mcs30_m3Dr2_s25_AB04 6713 347 12448 908 492 407 430 406 77 39 38 8344 4815 3322 5298 6075 633 1537 632 1602 5053 39
mcs30_m3Dr2_s25_AB05 2968 191 3794 503 305 259 257 251 50 34 27 5310 2810 2386 3766 3970 377 697 387 517 3642 26
mcs30_m3Dr2_s25_AB06 8333 195 9047 1089 620 511 550 510 53 37 36 6523 3248 2436 3389 5549 855 1109 863 1350 3532 36
mcs30_m3Dr2_s25_AB07 7212 298 10114 953 539 438 456 424 72 42 42 8359 4722 3514 5756 7094 694 1531 652 1462 5680 40
mcs30_m3Dr2_s25_AB08 5275 273 17781 706 413 326 387 328 65 43 39 9127 4329 2615 3229 3186 506 1177 523 1093 3448 40
mcs30_m3Dr2_s25_AB09 28856 287 11043 3638 1841 1465 1501 1452 70 44 38 7146 3764 2777 5537 5951 2642 1534 2615 1404 5315 36
mcs30_m3Dr2_s30_AB00 100000 2058 48977 29209 14806 11921 12080 11907 416 272 174 85413 45641 28533 37350 40034 16536 6554 16406 8297 36488 179
mcs30_m3Dr2_s30_AB01 100000 2780 73422 99255 50118 40343 43117 40463 616 406 198 100000 56079 35307 42273 45027 59960 6457 59871 6853 42778 205
mcs30_m3Dr2_s30_AB02 100000 4823 100000 100002 85603 67072 67256 67054 1188 714 588 100000 100000 85447 100002 100006 100000 41325 100000 45422 100003 582
mcs30_m3Dr2_s30_AB03 100000 3423 100000 34172 17404 13692 13323 13724 895 714 500 100000 100000 70875 86341 93435 19997 31413 19762 34026 85089 501
mcs30_m3Dr2_s30_AB04 100000 3211 100000 97968 48994 38773 38765 38722 842 566 448 100000 83124 49821 79126 70021 58134 25322 59023 24037 76609 443
mcs30_m3Dr2_s30_AB05 100000 1900 98302 30355 15380 12289 12343 12316 511 331 192 70928 41002 26016 32404 35775 17738 12974 17722 12653 32133 175
mcs30_m3Dr2_s30_AB06 100000 2599 100000 55964 28172 20752 20971 20770 552 329 231 88710 51391 32438 46531 36583 28934 22120 28368 24828 45029 252
mcs30_m3Dr2_s30_AB07 100000 3423 100000 62905 31284 25061 25196 25139 930 554 423 100000 55950 38281 47433 53795 39722 18779 39335 19020 47430 437
mcs30_m3Dr2_s30_AB08 100000 7521 100000 100002 100003 100004 100004 100004 1870 1194 919 100000 100000 100001 100002 100006 100000 48514 100000 47857 100002 960
mcs30_m3Dr2_s30_AB09 100000 3390 100000 49563 25366 19694 19739 19725 737 522 371 100000 87657 49238 58721 70670 29190 23940 29273 22029 61755 359
mcs30_m3Dr2_s40_AB00 100000 100000 100000 100003 100003 100005 100007 100005 50740 32934 26011 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 25953
mcs30_m3Dr2_s40_AB01 100000 100000 100000 100003 100003 100005 100007 100004 46517 32664 26468 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 27182
mcs30_m3Dr2_s40_AB02 100000 100000 100000 100003 100003 100005 100007 100005 100000 53474 42881 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 41268
mcs30_m3Dr2_s40_AB03 100000 100000 100000 100003 100003 100005 100007 100005 81564 49294 44000 100000 100001 100001 100002 100007 100001 100002 100001 100002 100002 39223
mcs30_m3Dr2_s40_AB04 100000 100000 100000 100003 100003 100005 100006 100005 100000 58293 43651 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 47826
mcs30_m3Dr2_s40_AB05 100000 100000 100000 100003 100003 100005 100007 100005 40601 24021 17503 100000 100000 100001 100002 100006 100001 100002 100000 100002 100002 26389
mcs30_m3Dr2_s40_AB06 100000 100000 100000 100003 100003 100006 100008 100005 100000 59154 50799 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 49682
mcs30_m3Dr2_s40_AB07 100000 100000 100000 100003 100003 100005 100007 100005 100000 61692 50977 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 50139
mcs30_m3Dr2_s40_AB08 100000 100000 100000 100003 100004 100005 100007 100006 61216 35180 30101 100000 100000 100001 100002 100006 100000 100002 100001 100002 100003 30265
mcs30_m3Dr2_s40_AB09 100000 100000 100000 100002 100003 100005 100007 100005 100000 70577 52623 100000 100000 100001 100002 100007 100000 100002 100001 100002 100002 54193
mcs30_m3Dr4_s25_AB00 6558 183 8160 837 467 384 420 386 36 28 27 3019 2099 1671 2368 2882 609 971 612 949 2476 29
mcs30_m3Dr4_s25_AB01 9417 311 33387 1234 695 546 569 538 62 42 37 11613 5723 3946 5392 8053 840 3353 846 3080 5345 35
mcs30_m3Dr4_s25_AB02 7469 317 17663 941 489 383 396 398 54 42 44 9141 4906 3334 5674 6183 615 2226 640 2044 5298 42
mcs30_m3Dr4_s25_AB03 6598 742 33894 872 468 388 421 394 157 83 72 22758 13044 9461 14240 15218 651 4072 615 4106 14149 68
mcs30_m3Dr4_s25_AB04 5244 258 9095 715 433 327 371 339 73 37 36 5814 3551 2383 3514 3783 509 897 496 1003 3428 35
mcs30_m3Dr4_s25_AB05 3587 238 7543 472 268 210 228 205 39 27 31 5467 3019 2604 5332 5122 323 1908 303 1497 5021 29
mcs30_m3Dr4_s25_AB06 7848 278 16975 1010 523 413 444 416 55 26 30 5411 3063 2627 3510 3389 671 994 688 1052 3592 33
mcs30_m3Dr4_s25_AB07 8004 586 14092 1055 563 475 493 465 116 74 49 15807 8601 5881 7522 6976 771 2648 786 2564 7468 49
mcs30_m3Dr4_s25_AB08 10028 456 18994 1309 730 583 645 576 113 72 51 13646 7147 4945 7383 8748 1005 2422 992 2401 7568 52
mcs30_m3Dr4_s25_AB09 2698 124 6466 368 207 179 208 181 54 31 34 6116 3134 2176 3074 3955 254 853 268 981 2941 31
mcs30_m3Dr4_s30_AB00 100000 5920 100000 76475 37706 28632 24281 28704 1123 666 384 100000 100000 80070 100003 100007 46391 22450 46361 21905 100002 407
mcs30_m3Dr4_s30_AB01 100000 1840 85188 28907 14443 10887 11420 10891 424 286 212 66763 50573 33340 46324 44333 17080 14198 16735 15142 46921 199
mcs30_m3Dr4_s30_AB02 100000 4071 100000 59643 29630 22859 23429 23034 1352 885 606 100000 100000 82642 100002 100008 34008 38201 33938 34202 100003 585
mcs30_m3Dr4_s30_AB03 100000 3475 100000 29001 15102 11202 11189 11231 658 343 240 100000 80366 45905 67961 69172 18040 16116 18285 15366 63741 242
mcs30_m3Dr4_s30_AB04 100000 6092 100000 49014 24477 19652 20369 19676 1246 863 550 100000 100000 100001 100002 100006 29227 76673 28134 64848 100002 602
mcs30_m3Dr4_s30_AB05 100000 8512 100000 100002 100002 100003 100005 100004 2391 1712 1404 100000 100000 100001 100003 100006 100000 52464 100000 54282 100003 1432
mcs30_m3Dr4_s30_AB06 100000 6924 100000 19674 10018 7861 7914 7856 1678 1105 816 100000 100000 95557 100002 100007 11856 42211 11787 39660 100002 832
mcs30_m3Dr4_s30_AB07 100000 6767 100000 100002 59374 45586 45981 45637 1595 891 683 100000 100000 71090 84200 94705 70673 25746 70218 32473 85347 686
mcs30_m3Dr4_s30_AB08 100000 1750 95520 14968 7471 6191 6100 6212 397 282 221 68709 39485 26469 26821 26032 9201 9578 9236 10342 26245 225
mcs30_m3Dr4_s30_AB09 100000 3033 100000 37783 18341 14955 15955 14898 591 344 265 74711 43077 30047 46975 39871 21736 15841 21893 14081 47475 262
mcs30_m3Dr4_s40_AB00 100000 100000 100000 100003 100003 100005 100006 100005 100000 79085 70584 100000 100000 100001 100002 100007 100000 100002 100000 100002 100002 73194
mcs30_m3Dr4_s40_AB01 100000 100000 100000 100002 100003 100005 100008 100004 100000 100001 100001 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 100002
mcs30_m3Dr4_s40_AB02 100000 100000 100000 100003 100003 100005 100008 100004 100000 94889 78850 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 75298
mcs30_m3Dr4_s40_AB03 100000 100000 100000 100003 100003 100004 100007 100005 100000 100001 100002 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 100002
mcs30_m3Dr4_s40_AB04 100000 100000 100000 100003 100003 100005 100008 100005 100000 100000 100002 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 100002
mcs30_m3Dr4_s40_AB05 100000 100000 100000 100003 100004 100005 100009 100004 100000 100001 100002 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 100002
mcs30_m3Dr4_s40_AB06 100000 100000 100000 100003 100003 100005 100006 100005 100000 100001 74449 100000 100000 100001 100003 100006 100001 100002 100001 100001 100003 80165
mcs30_m3Dr4_s40_AB07 100000 100000 100000 100003 100004 100006 100008 100004 100000 48105 39144 100000 100000 100001 100003 100006 100001 100002 100001 100002 100003 37478
mcs30_m3Dr4_s40_AB08 100000 100000 100000 100002 100004 100004 100007 100004 100000 100001 100002 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 100002
mcs30_m3Dr4_s40_AB09 100000 100000 100000 100003 100003 100006 100007 100004 100000 100001 100002 100000 100000 100001 100002 100006 100001 100002 100001 100002 100003 100002
mcs30_m3Dr6_s25_AB00 16979 882 23888 2190 1159 901 952 879 239 136 108 21142 11881 8214 10802 12791 1572 2988 1574 2855 10200 105
mcs30_m3Dr6_s25_AB01 12454 542 16894 1593 825 647 721 655 188 88 73 11588 7649 5812 7905 9349 1147 2132 1126 2168 8012 72
mcs30_m3Dr6_s25_AB02 6774 332 14376 906 550 408 454 407 102 68 64 11949 6574 4521 6189 6508 684 1640 679 1717 6202 64
mcs30_m3Dr6_s25_AB03 8511 393 13881 1116 579 466 515 474 99 61 55 7917 4672 3610 5819 6605 799 1736 796 1793 5476 55
mcs30_m3Dr6_s25_AB04 7051 657 19214 902 513 416 444 425 140 81 63 13815 7992 5701 8539 8846 722 2525 681 2582 8524 66
mcs30_m3Dr6_s25_AB05 5121 431 17506 679 401 328 361 330 105 74 55 13942 12002 8794 12148 10951 503 3597 514 3437 11905 55
mcs30_m3Dr6_s25_AB06 6155 357 19872 785 441 335 393 336 79 57 48 16013 9834 5707 8253 8309 575 4012 565 3609 8431 48
mcs30_m3Dr6_s25_AB07 4279 435 15541 596 346 276 298 278 90 56 49 10168 5784 5575 6650 6986 430 1941 433 2337 6693 47
mcs30_m3Dr6_s25_AB08 12706 716 27008 1608 877 690 699 685 155 97 77 18682 11197 7623 11814 13229 1201 3304 1176 3385 12157 74
mcs30_m3Dr6_s25_AB09 15277 526 25115 1948 1011 832 850 827 121 83 65 15356 8314 5694 9572 11379 1449 2774 1462 3168 9468 65
mcs30_m3Dr6_s30_AB00 100000 2684 100000 32088 16326 13541 16113 13551 774 372 333 76998 47296 30569 43420 60271 19775 21456 19809 17155 41932 325
mcs30_m3Dr6_s30_AB01 100000 9032 100000 98062 49316 38724 38680 38738 1996 1424 1141 100000 100000 100001 100003 100006 60092 59160 60094 59271 100002 1120
mcs30_m3Dr6_s30_AB02 63245 1839 45252 7751 3913 2959 3133 2989 423 331 186 34823 22858 15942 24261 22904 4299 7672 4259 6953 24894 177
mcs30_m3Dr6_s30_AB03 100000 8857 100000 37241 17780 13803 13819 13791 2256 1094 896 100000 100000 71547 92897 100006 21086 36361 21290 36687 96420 893
mcs30_m3Dr6_s30_AB04 100000 6285 100000 53706 26817 20717 20192 20702 1153 663 391 100000 100000 66399 85392 100007 32801 21476 31943 25173 90533 451
mcs30_m3Dr6_s30_AB05 100000 6800 100000 72032 36681 28246 28280 28225 1643 1058 756 100000 100000 84968 100003 100006 47174 41030 47632 41663 100002 783
mcs30_m3Dr6_s30_AB06 100000 7441 100000 62114 31002 24237 24367 24248 1604 1102 841 100000 100000 75131 100002 100005 38453 39648 38188 39272 100002 816
mcs30_m3Dr6_s30_AB07 100000 8927 100000 52487 26546 20704 20680 20667 2014 1509 1077 100000 100001 100001 100003 100006 32122 62509 31607 64875 100002 1105
mcs30_m3Dr6_s30_AB08 100000 3230 100000 17980 9081 7214 7245 7203 961 720 627 100000 84710 53294 65133 82403 10955 24494 10931 23445 63847 639
mcs30_m3Dr6_s30_AB09 100000 9384 100000 51058 25072 19694 18931 19678 2002 1177 843 100000 98999 60605 100002 100007 30851 19660 30300 20393 100002 901
mcs30_m3Dr6_s40_AB00 100000 100000 100000 100003 100004 100005 100008 100005 100000 100001 100002 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 100002
mcs30_m3Dr6_s40_AB01 100000 100000 100000 100003 100003 100005 100007 100005 100000 100001 100002 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 100002
mcs30_m3Dr6_s40_AB02 100000 100000 100000 100003 100003 100005 100007 100004 100000 51737 38098 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 35794
mcs30_m3Dr6_s40_AB03 100000 100000 100000 100003 100003 100004 100007 100005 100000 100001 100001 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 100001
mcs30_m3Dr6_s40_AB04 100000 100000 100000 100002 100003 100005 100007 100005 100000 100001 100002 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 100002
mcs30_m3Dr6_s40_AB05 100000 100000 100000 100003 100003 100004 100006 100005 100000 100001 100002 100000 100000 100001 100002 100005 100001 100002 100001 100002 100002 100002
mcs30_m3Dr6_s40_AB06 100000 100000 100000 100003 100003 100005 100006 100005 100000 100001 100001 100000 100000 100001 100003 100006 100001 100002 100001 100002 100002 100001
mcs30_m3Dr6_s40_AB07 100000 100000 100000 100003 100003 100005 100007 100005 100000 100001 100003 100000 100000 100001 100002 100006 100001 100002 100001 100002 100003 100002
mcs30_m3Dr6_s40_AB08 100000 100000 100000 100003 100004 100005 100007 100005 100000 100001 100002 100000 100000 100001 100003 100005 100001 100002 100001 100002 100002 100001
mcs30_m3Dr6_s40_AB09 100001 100000 100000 100002 100003 100005 100007 100004 100000 100001 78190 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 77956
mcs30_m4D_s50_AB00 100001 100000 100000 100004 100005 100007 100008 100006 100000 100001 100002 100000 100000 100001 100002 100006 100002 100003 100002 100003 100003 100002
mcs30_m4D_s50_AB01 100001 100000 100000 100004 100005 100006 100010 100006 100000 100001 100002 100000 100000 100001 100002 100007 100003 100002 100002 100002 100002 100003
mcs30_m4D_s50_AB02 100001 100000 100000 100005 100005 100006 100009 100006 100000 100001 100001 100000 100000 100001 100003 100007 100002 100003 100003 100003 100003 100001
mcs30_m4D_s50_AB03 100001 100000 100000 100005 100005 100006 100008 100006 100000 100000 100002 100000 100000 100001 100003 100006 100002 100003 100002 100003 100002 100001
mcs30_m4D_s50_AB04 100000 100000 100000 100005 100004 100006 100008 100007 100000 100001 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100002 100002
mcs30_m4D_s50_AB05 100001 100000 100000 100004 100005 100006 100009 100005 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100003 100002 100001
mcs30_m4D_s50_AB06 100001 100000 100000 100004 100005 100007 100009 100007 100000 100000 100001 100000 100000 100001 100002 100006 100002 100002 100002 100002 100002 100001
mcs30_m4D_s50_AB07 100000 100000 100000 100005 100005 100006 100009 100006 100000 100001 100002 100000 100000 100001 100002 100007 100002 100002 100003 100002 100002 100001
mcs30_m4D_s50_AB08 100001 100000 100000 100004 100004 100006 100009 100006 100000 69344 52364 100000 100000 100001 100003 100008 100002 100003 100002 100002 100002 54910
mcs30_m4D_s50_AB09 100001 100000 100000 100004 100005 100006 100009 100007 100000 100001 90352 100000 100000 100001 100002 100006 100002 100003 100002 100003 100002 91277
mcs30_m4Dr2_s50_AB00 100001 100000 100000 100004 100004 100006 100008 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100003 100002
mcs30_m4Dr2_s50_AB01 100000 100000 100000 100004 100004 100005 100007 100006 100000 100000 100001 100000 100000 100001 100003 100006 100002 100002 100002 100002 100002 100001
mcs30_m4Dr2_s50_AB02 100000 100000 100000 100004 100005 100005 100009 100007 100000 100001 100002 100000 100000 100001 100002 100007 100002 100002 100002 100002 100003 100002
mcs30_m4Dr2_s50_AB03 100001 100000 100000 100005 100005 100005 100009 100006 100000 100001 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100002
mcs30_m4Dr2_s50_AB04 100000 100000 100000 100004 100005 100006 100008 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100002
mcs30_m4Dr2_s50_AB05 100001 100000 100000 100004 100004 100006 100009 100006 100000 100001 100001 100000 100000 100001 100003 100007 100002 100002 100002 100003 100002 100002
mcs30_m4Dr2_s50_AB06 100001 100000 100000 100005 100004 100006 100007 100006 100000 100001 100001 100000 100000 100001 100002 100007 100002 100003 100002 100003 100002 100002
mcs30_m4Dr2_s50_AB07 100000 100000 100000 100004 100004 100006 100008 100006 100000 100000 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 100002
mcs30_m4Dr2_s50_AB08 100001 100000 100000 100004 100005 100005 100007 100006 100000 100001 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100001
mcs30_m4Dr2_s50_AB09 100001 100000 100000 100004 100005 100006 100008 100006 100000 100001 100001 100000 100000 100001 100002 100006 100002 100002 100002 100002 100003 100001
mcs30_m4Dr4_s50_AB00 100001 100000 100000 100005 100005 100006 100008 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100003 100002 100002 100002 100002
mcs30_m4Dr4_s50_AB01 100001 100000 100000 100004 100005 100006 100008 100006 100000 100001 100002 100000 100000 100001 100002 100006 100002 100003 100002 100003 100003 100002
mcs30_m4Dr4_s50_AB02 100000 100000 100000 100004 100004 100007 100007 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100003 100002 100003 100003 100002
mcs30_m4Dr4_s50_AB03 100000 100000 100000 100004 100004 100006 100008 100007 100000 100000 100002 100000 100000 100001 100002 100007 100002 100003 100002 100003 100002 100002
mcs30_m4Dr4_s50_AB04 100001 100000 100000 100005 100005 100006 100008 100006 100000 100001 100002 100000 100000 100001 100003 100007 100002 100003 100002 100002 100002 100001
mcs30_m4Dr4_s50_AB05 100001 100000 100000 100004 100005 100006 100008 100006 100000 100001 100002 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100001
mcs30_m4Dr4_s50_AB06 100001 100000 100000 100005 100005 100006 100008 100006 100000 100001 100002 100000 100000 100001 100002 100006 100002 100003 100002 100003 100003 100002
mcs30_m4Dr4_s50_AB07 100001 100000 100000 100004 100004 100006 100009 100006 100000 100001 100001 100000 100000 100001 100003 100006 100002 100003 100002 100003 100003 100001
mcs30_m4Dr4_s50_AB08 100001 100000 100000 100004 100004 100006 100008 100005 100000 100000 100002 100000 100000 100001 100003 100006 100002 100003 100002 100003 100002 100001
mcs30_m4Dr4_s50_AB09 100001 100000 100000 100004 100005 100007 100008 100006 100000 100001 100002 100000 100000 100001 100002 100007 100002 100003 100002 100003 100002 100001
mcs30_m4Dr6_s50_AB00 100000 100000 100000 100005 100004 100006 100009 100006 100000 100000 100001 100000 100000 100001 100002 100006 100002 100003 100002 100003 100002 100002
mcs30_m4Dr6_s50_AB01 100000 100000 100000 100005 100004 100005 100007 100005 100000 100001 100002 100000 100000 100001 100002 100006 100002 100002 100002 100003 100002 100002
mcs30_m4Dr6_s50_AB02 100001 100000 100000 100004 100005 100005 100008 100006 100000 100000 100002 100000 100000 100001 100003 100007 100002 100003 100002 100002 100002 100002
mcs30_m4Dr6_s50_AB03 100001 100000 100000 100004 100005 100005 100008 100006 100000 100001 100001 100000 100000 100001 100002 100006 100002 100002 100002 100002 100002 100001
mcs30_m4Dr6_s50_AB04 100001 100000 100000 100005 100005 100006 100008 100006 100000 100000 100001 100000 100000 100001 100002 100006 100002 100002 100002 100002 100003 100002
mcs30_m4Dr6_s50_AB05 100001 100000 100000 100005 100005 100006 100008 100006 100000 100001 100001 100000 100000 100001 100002 100007 100002 100003 100002 100003 100002 100001
mcs30_m4Dr6_s50_AB06 100001 100000 100000 100004 100004 100005 100008 100005 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100001
mcs30_m4Dr6_s50_AB07 100001 100000 100000 100005 100005 100006 100007 100007 100000 100001 100001 100000 100000 100001 100002 100006 100002 100002 100002 100002 100002 100001
mcs30_m4Dr6_s50_AB08 100001 100000 100000 100004 100005 100006 100009 100006 100000 100000 100002 100000 100000 100001 100002 100007 100002 100003 100002 100003 100002 100001
mcs30_m4Dr6_s50_AB09 100001 100000 100000 100005 100004 100005 100008 100005 100000 100000 100002 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100001
mcs30_r005_s20_AB00 35 2 211 26 26 30 31 28 2 4 7 106 70 42 56 83 45 45 52 38 54 8
mcs30_r005_s20_AB01 1570 8 279 165 109 85 95 96 3 5 7 64 45 43 85 114 120 56 119 44 81 7
mcs30_r005_s20_AB02 139 5 250 36 35 37 43 39 3 4 8 69 52 49 74 81 54 33 54 43 74 9
mcs30_r005_s20_AB03 259 8 1124 59 49 52 51 48 2 4 7 69 48 35 50 73 75 32 64 28 50 9
mcs30_r005_s20_AB04 55 5 316 29 34 32 32 31 3 6 9 282 140 121 166 263 52 100 34 138 160 10
mcs30_r005_s20_AB05 28 2 145 25 28 27 28 28 2 4 7 145 69 67 86 141 53 42 40 43 84 8
mcs30_r005_s20_AB06 62 1 158 27 29 29 32 30 3 5 10 150 78 90 71 99 50 51 49 64 73 8
mcs30_r005_s20_AB07 54 0 71 27 28 28 32 28 1 3 7 24 17 18 39 76 36 22 42 38 46 5
mcs30_r005_s20_AB08 69 3 863 29 32 30 35 32 3 5 9 112 75 86 104 126 45 55 60 57 100 9
mcs30_r005_s20_AB09 30 0 106 26 27 28 29 28 1 2 4 71 37 43 75 92 44 38 45 39 65 5
mcs30_r005_s25_AB00 19586 33 2944 2457 1200 951 1054 967 9 10 13 1474 1060 759 819 1155 1643 436 1624 430 765 13
mcs30_r005_s25_AB01 5495 85 3912 737 454 353 367 352 24 16 19 2939 1156 1181 1590 1640 468 533 492 550 1474 18
mcs30_r005_s25_AB02 1365 17 1610 212 155 141 173 145 5 6 11 307 163 129 227 314 163 112 171 140 211 10
mcs30_r005_s25_AB03 13669 18 1988 1711 894 554 506 561 6 10 13 788 657 537 641 728 1233 223 1076 312 635 14
mcs30_r005_s25_AB04 15876 15 564 1961 1021 810 845 800 8 9 12 603 320 271 403 552 1132 110 1151 112 363 13
mcs30_r005_s25_AB05 6565 39 2878 826 438 380 398 379 9 7 14 768 361 382 722 444 524 270 519 312 686 15
mcs30_r005_s25_AB06 13177 69 25176 1734 989 947 925 970 21 13 17 1818 1183 768 940 1082 2500 603 2542 507 936 17
mcs30_r005_s25_AB07 693 7 1349 131 106 112 106 100 4 7 10 381 331 318 259 280 132 188 118 216 252 11
mcs30_r005_s25_AB08 32690 40 4231 4108 1879 1534 1593 1511 12 10 11 358 215 137 219 252 2472 107 2485 88 200 11
mcs30_r005_s25_AB09 1309 30 1700 208 144 119 128 110 5 7 13 310 139 133 169 275 155 139 130 119 167 12
mcs30_r005_s30_AB00 100000 1881 22914 13091 6375 4902 4072 4904 609 272 95 52151 30171 15157 13091 11038 6519 6036 6647 4821 12775 83
mcs30_r005_s30_AB01 100000 1567 63325 40726 20486 16255 16293 16247 307 200 137 46515 26634 17509 22470 26813 23703 8554 23788 8471 22273 154
mcs30_r005_s30_AB02 100000 709 9830 100002 64144 47090 50558 46957 158 72 40 8748 7254 5150 6819 10012 70570 1695 71396 1844 7231 40
mcs30_r005_s30_AB03 100000 175 2688 100002 51454 40680 43823 40703 36 25 20 5956 4409 2865 3591 3819 60104 1374 59430 842 3311 20
mcs30_r005_s30_AB04 100000 468 8801 30088 15017 11267 10825 11246 55 44 31 12154 4995 3005 3883 4556 17726 1047 18160 1120 3676 33
mcs30_r005_s30_AB05 100000 1163 16323 30468 15525 12030 12710 12076 215 140 89 16825 20150 16152 23036 24514 16712 4323 15730 3599 22997 91
mcs30_r005_s30_AB06 100000 641 9888 24752 11833 8404 8491 8398 124 73 71 8683 7050 7699 9133 12274 12154 1966 12194 1483 8221 63
mcs30_r005_s30_AB07 100000 2962 100000 77787 38988 30314 30453 30346 626 349 200 100000 64772 41297 58387 63229 42462 22891 42482 22627 56849 245
mcs30_r005_s30_AB08 100000 754 30482 80510 40318 28939 27023 28949 161 96 69 38985 20851 11051 14295 13975 40358 2591 40976 2940 13631 63
mcs30_r005_s30_AB09 100000 403 16980 94457 46988 39641 42634 39654 133 100 35 27186 14395 8428 10806 15318 50940 5251 50020 6032 11732 32
mcs30_r005_s35_AB00 100000 5092 100000 100002 100003 100004 100006 100004 842 639 565 100000 100000 100001 100002 100006 100000 56083 100001 57643 100002 533
mcs30_r005_s35_AB01 100000 34764 100000 100002 100003 100004 100006 100005 5676 3628 2267 100000 100000 100001 100003 100006 100001 100002 100000 100002 100002 2670
mcs30_r005_s35_AB02 100000 13795 100000 100002 100003 100004 100006 100004 2670 1389 971 100000 100000 100001 100002 100007 100001 50784 100001 44729 100002 794
mcs30_r005_s35_AB03 100000 3873 100000 100002 100002 100004 100005 100003 702 469 366 100000 100000 76575 74477 84168 100001 22491 100001 21272 82918 393
mcs30_r005_s35_AB04 100000 13726 100000 100003 100003 100005 100006 100004 2743 1428 806 100000 100000 100001 100002 100007 100000 54561 100001 74212 100003 828
mcs30_r005_s35_AB05 100000 14557 100000 100002 100002 100004 100006 100004 3313 1976 1200 100000 100000 100001 100002 100006 100001 100001 100001 100001 100002 1170
mcs30_r005_s35_AB06 100000 39879 100000 100002 100003 100004 100006 100005 7802 3710 2640 100000 100000 100001 100003 100007 100000 100002 100000 100002 100003 2778
mcs30_r005_s35_AB07 100000 4280 100000 100003 100003 100004 100007 100004 800 678 472 100000 100000 91037 100002 100007 100000 68402 100001 73704 89494 624
mcs30_r005_s35_AB08 100000 15758 100000 100002 100003 100004 100006 100004 2138 1254 748 100000 100000 100001 100003 100007 100001 68010 100000 74475 100003 856
mcs30_r005_s35_AB09 100000 9384 100000 100002 100003 100005 100007 100005 2591 1065 694 100000 100000 100001 100003 100007 100001 61919 100000 69517 100003 788
mcs30_r005_s40_AB00 100000 100000 100000 100003 100004 100004 100006 100005 44922 30782 26376 100000 100000 100001 100002 100007 100001 100002 100001 100001 100002 26683
mcs30_r005_s40_AB01 100000 100000 100000 100003 100003 100004 100006 100005 50296 26684 23765 100000 100000 100001 100002 100006 100001 100001 100001 100001 100002 23066
mcs30_r005_s40_AB02 100000 100000 100000 100003 100004 100005 100008 100005 44958 33770 28668 100000 100000 100001 100003 100007 100001 100002 100001 100002 100002 27790
mcs30_r005_s40_AB03 100000 100000 100000 100002 100003 100004 100007 100005 41353 24906 20808 100000 100000 100001 100002 100007 100001 100002 100001 100003 100003 21772
mcs30_r005_s40_AB04 100000 100000 100000 100003 100003 100005 100006 100004 26253 16943 14570 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 15317
mcs30_r005_s40_AB05 100000 100000 100000 100003 100003 100005 100006 100004 47196 31398 29175 100000 100000 100001 100002 100007 100001 100002 100001 100003 100003 29113
