instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs10_b03m_s50_AB06 100001 100000 100000 100005 100004 100006 100008 100006 80373 46719 24898 100000 100000 100001 100003 100008 100002 100003 100002 100003 100003 25990
mcs10_b03m_s50_AB07 100001 100000 100000 100004 100005 100006 100010 100007 34450 19545 15298 100000 100000 100001 100003 100007 100002 100003 100002 100002 100003 16098
mcs10_b03m_s50_AB08 100001 100000 100000 100004 100004 100005 100008 100007 100000 100001 100001 100000 100000 100001 100002 100007 100002 100002 100002 100003 100002 100001
mcs10_b03m_s50_AB09 100001 100000 100000 100005 100004 100006 100009 100006 100000 100000 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 100001
mcs10_m2D_s40_AB00 100000 40911 100000 100003 100004 100004 100008 100006 10002 6684 5962 100000 100000 100001 100003 100007 100001 100002 100001 100003 100002 5841
mcs10_m2D_s40_AB01 100000 40675 100000 100004 100003 100004 100007 100005 7665 3935 2994 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 3758
mcs10_m2D_s40_AB02 100001 51989 100000 100003 100004 100005 100008 100005 10598 6023 4517 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 4679
mcs10_m2D_s40_AB03 100000 43741 100000 100003 100003 100005 100006 100004 11919 6736 4437 100000 100000 100001 100003 100007 100001 100002 100001 100002 100003 4463
mcs10_m2D_s40_AB04 100000 20295 100000 100003 100004 100005 100007 100005 6757 3283 2170 100000 100000 100001 100003 100007 100001 100002 100001 100002 100003 2021
mcs10_m2D_s40_AB05 100000 69602 100000 100002 100003 100004 100006 100005 12571 7502 3431 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 3341
mcs10_m2D_s40_AB06 100000 69108 100000 100003 100003 100004 100006 100005 13039 8816 6546 100000 100000 100001 100002 100007 100001 100002 100001 100002 100003 7051
