instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r
mcs30_b03_s50_AB09 2265 29960 373 173 147 169 136 7607 5958 5847 167 163 5339
mcs30_b03_s60_AB00 26 1243 15 17 18 20 21 716 636 645 29 35 690
mcs30_b03_s60_AB01 595 12747 102 80 74 84 73 3674 3368 3411 89 76 3972
mcs30_b03_s60_AB02 877 2525 84 66 64 77 73 2282 2099 2219 63 60 2256
mcs30_b03_s60_AB03 801 23536 112 78 61 79 76 19967 20078 20172 81 81 20194
mcs30_b03_s60_AB04 775 20174 76 55 51 61 51 2396 1622 1676 65 60 1479
mcs30_b03_s60_AB05 1733 34648 188 120 90 104 85 12495 12857 12469 114 123 12625
mcs30_b03_s60_AB06 212 11869 44 35 38 47 39 9768 9840 9620 48 44 9834
mcs30_b03_s60_AB07 1974 6555 278 159 133 143 139 1017 1850 868 166 213 890
mcs30_b03_s60_AB08 1414 51715 329 205 118 168 120 9550 9518 9677 112 112 9187
mcs30_b03_s60_AB09 541 36084 85 59 53 58 57 33262 33093 33158 70 58 33065
mcs30_b03_s70_AB00 8823 77707 1027 889 767 800 791 10863 11571 11733 580 556 11680
mcs30_b03_s70_AB01 71753 100000 4116 1437 1165 1046 1165 100000 100001 100003 2186 1811 100001
mcs30_b03_s70_AB02 73814 100000 11399 7616 6411 5354 6408 96189 94662 95593 4447 4387 95563
mcs30_b03_s70_AB03 38146 100000 5267 2437 2067 2040 2129 100000 54313 40592 2501 2402 40604
mcs30_b03_s70_AB04 90399 100000 13099 7780 5131 4590 5196 100000 100000 100001 5305 5383 100001
mcs30_b03_s70_AB05 31435 100000 3079 2325 1817 1247 1734 100000 100000 100001 983 1359 100001
mcs30_b03_s70_AB06 100000 100000 10437 5996 5230 6792 5225 100000 100001 100001 4731 4548 100002
mcs30_b03_s70_AB07 100000 100000 27989 14109 10524 10690 10663 100000 100000 100001 13033 13244 100002
mcs30_b03_s70_AB08 100000 100000 26208 13718 10427 10841 10487 90008 90247 73840 13158 13102 75777
mcs30_b03_s70_AB09 66276 100000 9168 6284 5926 3249 5959 100000 100001 100001 5879 3268 100001
mcs30_b03_s80_AB00 100000 100000 50543 29606 25192 24174 26012 100000 100001 100001 23001 22046 100002
mcs30_b03_s80_AB01 100000 100000 39471 23098 18427 20531 19541 100000 100000 100001 19367 19446 100001
mcs30_b03_s80_AB02 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001
mcs30_b03_s80_AB03 100000 100000 100001 100001 100002 100042 100003 100000 100000 100001 100000 100000 100001
mcs30_b03_s80_AB04 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100000 100000 100001
mcs30_b03_s80_AB05 100000 100000 16512 11738 13383 5658 13415 100000 100001 100001 5210 5178 100001
mcs30_b03_s80_AB06 100000 100000 100001 100002 100020 100049 100023 100000 100001 100001 100000 100000 100001
mcs30_b03_s80_AB07 100000 100000 100001 78791 64953 63789 66008 100000 100001 100001 65563 64821 100001
mcs30_b03_s80_AB08 100000 100000 100001 100002 100020 100045 100019 100000 100001 100002 100000 100000 100001
mcs30_b03_s80_AB09 100000 100000 33898 23077 17917 12264 21991 100000 100000 100001 22624 18920 100001
mcs30_b03_s90_AB00 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100001 100001 100001
mcs30_b03_s90_AB01 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100001 100000 100002
mcs30_b03_s90_AB02 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100000 100000 100001
mcs30_b03_s90_AB03 100000 100000 100001 100001 100003 100005 100003 100000 100001 100001 100001 100000 100001
mcs30_b03_s90_AB04 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100001 100001
mcs30_b03_s90_AB05 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100002
mcs30_b03_s90_AB06 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100001 100001 100002
mcs30_b03_s90_AB07 100000 100000 100001 100002 100003 100004 100004 100000 100001 100001 100001 100001 100001
mcs30_b03_s90_AB08 100000 100000 100001 100002 100003 100004 100004 100000 100001 100002 100001 100001 100002
mcs30_b03_s90_AB09 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100001 100000 100001
mcs30_b03m_s100_AB00 2314 100000 350 233 215 210 215 100000 100001 100002 156 162 100001
mcs30_b03m_s100_AB01 100000 100000 100001 100005 100009 100016 100009 100000 100000 100001 100000 100000 100001
mcs30_b03m_s100_AB02 100000 100000 6999 4038 3263 4298 3152 100000 100000 100001 3769 3846 100001
mcs30_b03m_s100_AB03 100000 100000 100001 100001 100019 100035 100018 100000 100001 100001 100000 100000 100001
mcs30_b03m_s100_AB04 80732 100000 10186 5607 5819 6323 5660 100000 100001 100001 3885 3861 100001
mcs30_b03m_s100_AB05 100000 100000 100001 100001 100015 100034 100015 100000 100001 100001 100000 100000 100001
mcs30_b03m_s100_AB06 25631 100000 1784 969 816 824 829 100000 100000 100001 818 823 100001
mcs30_b03m_s100_AB07 100000 100000 97036 69095 50322 34574 42528 100000 100000 100001 38538 34308 100001
mcs30_b03m_s100_AB08 60322 100000 2092 1348 1581 2506 1608 100000 100000 100001 1599 1922 100001
mcs30_b03m_s100_AB09 100000 100000 100001 100001 100007 100011 100006 100000 100000 100001 100000 100000 100001
mcs30_b03m_s15_AB00 2 0 4 4 6 7 5 1 2 4 19 18 5
mcs30_b03m_s15_AB01 2 0 3 5 4 7 5 1 2 4 17 20 5
mcs30_b03m_s15_AB02 1 0 3 4 4 7 5 0 1 4 41 28 5
mcs30_b03m_s15_AB03 2 0 4 6 5 8 6 1 2 3 22 19 3
mcs30_b03m_s15_AB04 2 0 4 4 5 8 6 1 4 4 38 32 4
mcs30_b03m_s15_AB05 1 0 3 5 5 6 6 1 1 4 18 18 3
mcs30_b03m_s15_AB06 2 0 3 4 5 7 6 1 2 5 14 19 4
mcs30_b03m_s15_AB07 1 0 3 4 6 6 5 1 1 3 21 31 3
mcs30_b03m_s15_AB08 2 0 5 5 6 7 6 1 2 4 18 27 4
mcs30_b03m_s15_AB09 2 0 4 4 6 7 6 1 2 5 19 25 6
mcs30_b03m_s20_AB00 2 0 3 5 4 7 5 1 2 5 17 24 4
mcs30_b03m_s20_AB01 1 0 3 4 5 7 6 1 2 3 10 11 3
mcs30_b03m_s20_AB02 1 0 3 4 7 8 4 2 2 5 18 30 5
mcs30_b03m_s20_AB03 1 0 3 5 5 7 7 1 2 5 30 19 4
mcs30_b03m_s20_AB04 2 0 4 5 5 7 6 1 2 4 18 19 4
mcs30_b03m_s20_AB05 2 0 4 5 6 7 7 1 2 6 10 25 3
mcs30_b03m_s20_AB06 1 0 3 5 5 8 5 1 2 5 22 47 5
mcs30_b03m_s20_AB07 2 0 5 5 5 7 5 1 2 4 30 22 5
mcs30_b03m_s20_AB08 1 0 3 4 4 7 5 1 2 4 25 22 4
mcs30_b03m_s20_AB09 1 0 3 4 6 7 5 1 2 4 20 17 4
mcs30_b03m_s25_AB00 4 2 6 6 6 9 8 2 2 7 22 30 5
mcs30_b03m_s25_AB01 5 0 6 8 7 10 7 0 1 2 31 31 3
mcs30_b03m_s25_AB02 5 5 5 7 8 10 7 2 3 7 26 25 8
mcs30_b03m_s25_AB03 8 3 7 7 8 9 8 1 2 5 25 35 5
mcs30_b03m_s25_AB04 4 0 6 6 8 8 8 1 2 5 22 14 3
mcs30_b03m_s25_AB05 5 2 6 7 8 9 8 1 1 5 31 29 4
mcs30_b03m_s25_AB06 4 0 6 7 8 10 9 1 2 5 25 29 4
mcs30_b03m_s25_AB07 6 1 8 7 8 9 7 1 3 6 22 33 6
mcs30_b03m_s25_AB08 5 10 7 7 9 11 8 3 2 5 37 24 5
mcs30_b03m_s25_AB09 13 6 8 10 11 12 10 3 4 5 31 27 5
mcs30_b03m_s30_AB00 5 2 5 7 7 9 7 2 2 5 24 20 4
mcs30_b03m_s30_AB01 4 4 6 8 8 10 7 4 5 6 18 23 7
mcs30_b03m_s30_AB02 2 2 5 5 6 8 6 1 3 6 23 19 5
mcs30_b03m_s30_AB03 3 2 4 5 5 7 6 2 3 6 31 28 6
mcs30_b03m_s30_AB04 3 15 4 6 6 7 8 4 5 6 9 28 6
mcs30_b03m_s30_AB05 3 5 4 4 6 7 5 1 2 4 32 23 5
mcs30_b03m_s30_AB06 4 2 5 7 8 9 6 1 3 5 28 22 5
mcs30_b03m_s30_AB07 3 4 4 5 6 6 6 3 4 6 12 33 7
mcs30_b03m_s30_AB08 4 6 3 5 8 7 5 3 3 5 46 20 4
mcs30_b03m_s30_AB09 1 0 4 4 5 7 5 0 1 2 23 23 2
mcs30_b03m_s35_AB00 18 153 7 8 9 13 10 61 60 67 29 26 62
mcs30_b03m_s35_AB01 12 37 8 8 9 11 9 10 9 12 35 25 11
mcs30_b03m_s35_AB02 66 117 12 16 14 17 14 23 15 17 23 41 18
mcs30_b03m_s35_AB03 27 20 12 12 14 14 13 11 12 13 35 18 13
mcs30_b03m_s35_AB04 14 61 9 10 10 12 11 21 12 16 25 29 15
mcs30_b03m_s35_AB05 33 81 13 13 15 14 14 25 23 25 26 37 25
mcs30_b03m_s35_AB06 9 10 7 8 9 10 9 1 2 4 22 19 5
mcs30_b03m_s35_AB07 6 2 6 7 8 10 10 1 2 4 23 25 5
mcs30_b03m_s35_AB08 8 16 7 7 10 12 10 4 4 6 23 24 5
mcs30_b03m_s35_AB09 11 14 8 9 10 11 11 8 6 7 21 25 8
mcs30_b03m_s40_AB00 20 44 10 12 11 16 15 14 12 15 35 24 12
mcs30_b03m_s40_AB01 55 126 19 17 25 25 24 36 28 29 35 23 32
mcs30_b03m_s40_AB02 134 382 29 24 26 30 25 91 64 63 30 40 73
mcs30_b03m_s40_AB03 65 75 19 19 20 27 22 14 10 15 31 29 11
mcs30_b03m_s40_AB04 246 120 38 26 29 30 28 79 58 60 46 35 56
mcs30_b03m_s40_AB05 33 3 13 16 16 19 15 3 3 8 24 30 7
mcs30_b03m_s40_AB06 552 181 82 56 50 61 48 49 50 50 75 64 53
mcs30_b03m_s40_AB07 140 1846 43 43 38 46 35 504 476 500 46 50 452
mcs30_b03m_s40_AB08 11 16 9 11 11 13 13 7 9 7 40 33 9
mcs30_b03m_s40_AB09 51 651 16 17 19 23 20 239 201 219 30 21 227
mcs30_b03m_s50_AB00 5494 12262 835 573 518 528 511 4301 4439 3770 373 380 3868
mcs30_b03m_s50_AB01 28860 4078 3518 1787 1287 1358 1283 1223 981 848 1786 1750 808
mcs30_b03m_s50_AB02 2667 3921 212 165 146 163 155 772 504 389 124 115 449
mcs30_b03m_s50_AB03 16697 10787 1694 447 464 768 454 4251 2752 2415 655 913 2439
mcs30_b03m_s50_AB04 41627 58766 3854 1795 1400 1737 1408 12433 4101 4017 2673 2332 4125
mcs30_b03m_s50_AB05 66029 7288 7820 4586 3039 3332 2987 2581 2238 2082 4452 4391 2185
mcs30_b03m_s50_AB06 805 615 88 67 71 61 72 243 201 166 81 106 163
mcs30_b03m_s50_AB07 6427 12223 733 242 226 296 218 3733 2176 1752 404 353 2248
mcs30_b03m_s50_AB08 12890 15373 1596 849 608 620 623 3230 2489 1712 810 801 1605
mcs30_b03m_s50_AB09 5517 7356 567 347 312 292 283 3985 3509 3596 314 389 4547
mcs30_b03m_s60_AB00 4613 8243 562 322 234 242 226 5125 5033 4808 273 274 4388
mcs30_b03m_s60_AB01 2705 7216 275 172 130 125 115 3619 3533 3468 148 201 3860
mcs30_b03m_s60_AB02 604 67890 50 37 38 58 40 29952 29470 18653 51 49 30334
mcs30_b03m_s60_AB03 1773 6780 196 91 73 89 76 2155 1897 2164 92 127 2168
mcs30_b03m_s60_AB04 7351 9473 1150 613 498 502 503 5526 5439 4793 605 595 6231
mcs30_b03m_s60_AB05 3037 4206 432 251 193 233 198 1050 1072 1284 215 226 1139
mcs30_b03m_s60_AB06 721 11023 87 61 50 70 53 5200 4357 4935 65 71 4902
mcs30_b03m_s60_AB07 151 2634 52 34 38 38 32 1063 888 1020 58 42 260
mcs30_b03m_s60_AB08 24 5431 15 16 16 19 17 2227 2623 2506 28 24 2538
mcs30_b03m_s60_AB09 28 746 18 20 20 21 22 478 484 464 37 30 503
mcs30_b03m_s70_AB00 29150 100000 3705 1904 1342 1360 1348 100000 100001 100001 1806 1852 100001
mcs30_b03m_s70_AB01 23904 100000 2339 1391 716 1116 765 20426 19909 18027 659 1673 19757
mcs30_b03m_s70_AB02 41191 100000 3311 2650 1735 1014 1749 100000 100000 100001 1113 1075 100001
mcs30_b03m_s70_AB03 100000 100000 20681 10248 6635 7664 6575 59074 63595 59599 16020 8972 60885
mcs30_b03m_s70_AB04 100000 100000 100001 100001 100011 100029 100012 66419 53468 58245 100000 100000 53676
mcs30_b03m_s70_AB05 46491 100000 6262 2965 2187 2229 2211 100000 100000 100001 2727 2793 100001
mcs30_b03m_s70_AB06 100000 100000 15418 8208 5908 6026 5797 100000 100001 100002 7766 8014 100001
mcs30_b03m_s70_AB07 11960 100000 1720 1210 1246 769 956 100000 100001 100001 686 665 100002
mcs30_b03m_s70_AB08 31330 100000 5151 3865 3569 5252 3571 31055 23040 21265 2009 2110 20451
mcs30_b03m_s70_AB09 85205 100000 12233 8121 6964 6831 7040 83135 77777 68734 4893 4880 76653
mcs30_b03m_s80_AB00 100000 100000 100001 100002 100002 100049 100003 100000 100001 100002 100000 100000 100001
mcs30_b03m_s80_AB01 100000 100000 100001 100005 100002 100005 100002 100000 100001 100001 100000 100000 100001
mcs30_b03m_s80_AB02 100000 100000 100001 100001 100003 100041 100002 100000 100001 100001 100000 100000 100001
mcs30_b03m_s80_AB03 100000 100000 100001 100001 100003 100003 100004 100000 100000 100001 100000 100000 100001
mcs30_b03m_s80_AB04 100000 100000 100001 100002 100003 100048 100003 100000 100001 100001 100000 100000 100001
mcs30_b03m_s80_AB05 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100000 100000 100001
mcs30_b03m_s80_AB06 100000 100000 100001 100002 100003 100004 100003 100000 100001 100001 100000 100000 100001
mcs30_b03m_s80_AB07 100000 100000 100001 100001 100003 100004 100003 100000 100000 100001 100000 100000 100002
mcs30_b03m_s80_AB08 100000 100000 100001 100002 100002 100004 100003 100000 100000 100001 100000 100000 100001
mcs30_b03m_s80_AB09 100000 100000 100001 100002 100002 100006 100003 100000 100000 100001 100000 100000 100001
mcs30_b03m_s90_AB00 100000 100000 100001 100003 100003 100016 100003 100000 100001 100002 100001 100001 100002
mcs30_b03m_s90_AB01 100000 100000 100001 100002 100003 100005 100004 100000 100001 100001 100001 100001 100002
mcs30_b03m_s90_AB02 100000 100000 100001 100002 100002 100004 100003 100000 100001 100002 100001 100000 100001
mcs30_b03m_s90_AB03 100000 100000 100001 100002 100003 100004 100004 100000 100001 100001 100000 100000 100001
mcs30_b03m_s90_AB04 100000 100000 100001 100002 100004 100005 100004 100000 100001 100001 100001 100001 100002
mcs30_b03m_s90_AB05 100000 100000 100001 100002 100004 100005 100003 100000 100001 100002 100001 100001 100002
mcs30_b03m_s90_AB06 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100000 100000 100001
mcs30_b03m_s90_AB07 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100001 100001
mcs30_b03m_s90_AB08 100000 100000 100001 100002 100003 100016 100003 100000 100001 100002 100001 100001 100002
mcs30_b03m_s90_AB09 100000 100000 100001 100002 100003 100004 100003 100000 100000 100002 100001 100001 100002
mcs30_b06_s100_AB00 5606 100000 742 472 379 390 378 100000 100000 100001 370 350 100001
mcs30_b06_s100_AB01 7170 100000 920 523 387 388 387 100000 100001 100001 430 451 100001
mcs30_b06_s100_AB02 5191 100000 774 543 482 505 491 100000 100000 100001 349 353 100001
mcs30_b06_s100_AB03 6664 100000 963 571 476 518 489 100000 100001 100001 397 406 100002
mcs30_b06_s100_AB04 6552 100000 742 406 333 344 341 100000 100000 100000 339 375 100001
mcs30_b06_s100_AB05 15697 100000 2193 1288 982 998 1021 100000 100001 100001 889 911 100001
mcs30_b06_s100_AB06 5235 100000 685 442 378 355 379 100000 100000 100001 324 332 100002
mcs30_b06_s100_AB07 18314 100000 2220 1271 1040 1136 1072 100000 100001 100001 966 917 100001
mcs30_b06_s100_AB08 12412 100000 2655 1735 1085 970 1079 100000 100001 100001 732 730 100001
mcs30_b06_s100_AB09 3406 100000 296 199 148 169 152 100000 100000 100001 167 156 100001
mcs30_b06_s25_AB00 5 3 6 7 8 9 7 2 3 7 21 19 6
mcs30_b06_s25_AB01 4 4 5 7 7 9 8 2 2 6 37 20 6
mcs30_b06_s25_AB02 5 4 5 7 9 10 7 2 3 5 18 48 6
mcs30_b06_s25_AB03 6 9 6 7 9 9 8 3 3 6 15 29 6
mcs30_b06_s25_AB04 6 5 6 8 7 10 9 2 3 8 23 27 6
mcs30_b06_s25_AB05 6 5 6 8 9 9 8 2 4 5 17 44 5
mcs30_b06_s25_AB06 4 6 5 6 7 9 9 3 4 6 29 42 8
mcs30_b06_s25_AB07 6 8 6 9 9 10 6 2 3 6 17 24 6
mcs30_b06_s25_AB08 3 0 5 6 6 8 8 1 3 6 27 13 5
mcs30_b06_s25_AB09 3 0 5 5 7 8 7 1 2 4 19 18 5
mcs30_b06_s30_AB00 3 3 4 5 6 9 6 3 4 5 26 21 5
mcs30_b06_s30_AB01 2 1 5 4 5 7 5 1 2 4 13 19 4
mcs30_b06_s30_AB02 2 2 5 6 6 8 6 1 2 5 25 29 4
mcs30_b06_s30_AB03 2 4 3 5 6 7 6 1 3 5 18 46 5
mcs30_b06_s30_AB04 3 5 4 7 7 9 6 2 3 5 19 14 5
mcs30_b06_s30_AB05 2 4 5 6 6 7 7 2 3 6 41 27 5
mcs30_b06_s30_AB06 2 2 4 4 5 7 6 1 3 5 53 19 5
mcs30_b06_s30_AB07 2 3 4 5 5 7 6 2 3 5 34 28 5
mcs30_b06_s30_AB08 2 2 4 6 6 8 6 1 2 5 45 23 5
mcs30_b06_s30_AB09 3 2 5 5 6 8 7 2 3 5 13 25 4
mcs30_b06_s35_AB00 6 16 7 8 9 11 8 15 16 17 27 54 18
mcs30_b06_s35_AB01 5 16 5 6 9 9 7 4 5 6 26 47 6
mcs30_b06_s35_AB02 5 8 6 7 9 9 7 5 6 7 21 38 7
mcs30_b06_s35_AB03 8 19 10 10 10 12 10 6 7 10 40 23 10
mcs30_b06_s35_AB04 5 19 5 7 7 9 7 6 7 7 23 27 9
mcs30_b06_s35_AB05 5 7 7 6 8 10 7 4 5 6 32 21 6
mcs30_b06_s35_AB06 7 17 6 7 9 11 10 9 14 15 23 22 15
mcs30_b06_s35_AB07 3 6 6 6 8 10 6 2 3 7 14 24 6
mcs30_b06_s35_AB08 6 11 6 8 7 10 9 6 6 9 28 23 8
mcs30_b06_s35_AB09 6 18 7 7 9 10 9 5 5 6 16 26 6
mcs30_b06_s40_AB00 25 116 12 15 14 15 14 26 27 24 36 26 26
mcs30_b06_s40_AB01 36 92 14 14 17 19 17 37 32 37 54 27 33
mcs30_b06_s40_AB02 12 38 8 12 13 13 13 18 14 15 43 25 18
mcs30_b06_s40_AB03 15 58 12 13 13 14 13 38 36 39 32 20 34
mcs30_b06_s40_AB04 8 12 8 9 10 11 9 5 6 7 27 29 7
mcs30_b06_s40_AB05 18 145 10 11 13 14 12 34 33 31 34 31 34
mcs30_b06_s40_AB06 12 19 8 10 11 14 11 7 8 8 33 22 9
mcs30_b06_s40_AB07 7 18 9 9 9 11 9 6 6 9 17 50 10
mcs30_b06_s40_AB08 15 90 10 12 14 15 11 30 21 21 32 18 29
mcs30_b06_s40_AB09 17 34 11 13 15 16 12 24 17 19 29 25 26
mcs30_b06_s50_AB00 427 2178 75 52 46 54 52 705 750 542 66 53 863
mcs30_b06_s50_AB01 977 1466 139 88 87 101 82 445 547 512 91 93 320
mcs30_b06_s50_AB02 526 9145 79 57 60 62 55 4621 3201 3148 71 72 2463
mcs30_b06_s50_AB03 1184 2341 177 108 83 100 87 942 987 852 136 126 831
mcs30_b06_s50_AB04 3059 3217 424 255 192 208 197 1431 1221 968 244 289 1103
mcs30_b06_s50_AB05 883 1000 89 61 56 64 55 125 104 94 103 97 95
mcs30_b06_s50_AB06 779 8985 93 61 59 67 57 1228 834 328 62 67 542
mcs30_b06_s50_AB07 552 919 98 60 62 67 63 517 497 497 74 57 481
mcs30_b06_s50_AB08 596 8106 100 62 60 71 61 1744 1123 1575 78 70 902
mcs30_b06_s50_AB09 143 735 27 28 32 29 28 218 117 118 58 42 168
mcs30_b06_s60_AB00 35 1719 16 15 18 21 17 1046 1006 1048 30 40 1011
mcs30_b06_s60_AB01 101 3308 24 20 26 29 27 1732 1593 1630 38 35 1752
mcs30_b06_s60_AB02 43 970 16 17 17 20 17 323 328 309 41 33 329
mcs30_b06_s60_AB03 323 4430 53 41 40 47 42 2226 2420 1800 52 46 2080
mcs30_b06_s60_AB04 174 936 35 27 29 34 32 216 218 218 44 38 218
mcs30_b06_s60_AB05 29 1336 14 19 17 18 15 631 586 655 27 27 660
mcs30_b06_s60_AB06 52 1935 18 20 22 27 21 280 346 278 30 30 286
mcs30_b06_s60_AB07 32 1122 14 15 16 19 16 644 687 517 38 25 551
mcs30_b06_s60_AB08 145 1559 33 27 30 31 29 776 849 816 37 42 830
mcs30_b06_s60_AB09 36 2228 17 17 17 22 19 1108 1053 1069 27 53 1096
mcs30_b06_s70_AB00 1468 100000 231 161 136 153 138 100000 100001 100001 138 114 98904
mcs30_b06_s70_AB01 3625 90335 557 360 324 357 332 35438 32914 35969 246 245 35655
mcs30_b06_s70_AB02 532 7711 88 61 59 64 60 3495 2567 2523 64 66 2518
mcs30_b06_s70_AB03 1494 32094 209 129 102 122 101 6858 7300 6559 125 115 7354
mcs30_b06_s70_AB04 8248 100000 845 446 330 356 333 38175 33025 32633 403 418 33463
mcs30_b06_s70_AB05 9492 91702 1250 726 498 518 521 36498 35445 35290 627 630 27224
mcs30_b06_s70_AB06 15162 75149 1828 990 762 915 731 18289 15046 14141 901 891 14111
mcs30_b06_s70_AB07 1579 28249 170 109 92 111 86 15034 14438 15413 108 116 15428
mcs30_b06_s70_AB08 2652 26639 326 179 137 177 157 9754 7094 7240 182 189 6873
mcs30_b06_s70_AB09 1448 49995 196 122 91 114 97 8813 6392 4942 141 127 6257
mcs30_b06_s80_AB00 100000 100000 31071 15629 11192 11231 11248 100000 100000 100001 14337 14211 100002
mcs30_b06_s80_AB01 100000 100000 21807 10976 7931 8051 7928 100000 100001 100001 9824 9891 100002
mcs30_b06_s80_AB02 67378 100000 8154 4135 3002 3100 3013 100000 100000 100001 3665 3626 100001
mcs30_b06_s80_AB03 14527 100000 1441 805 632 702 631 100000 100000 100001 695 651 100001
mcs30_b06_s80_AB04 100000 100000 21568 11698 9297 10552 9240 100000 100001 100001 9009 8878 100001
mcs30_b06_s80_AB05 100000 100000 13146 6651 4874 4841 4837 100000 100001 100001 5951 5910 100002
mcs30_b06_s80_AB06 100000 100000 53392 26969 19606 20354 19663 100000 100001 100001 24721 24725 100001
mcs30_b06_s80_AB07 100000 100000 14813 7610 5618 5871 5632 100000 100001 100001 6479 6463 100001
mcs30_b06_s80_AB08 100000 100000 100001 83613 62563 62103 62137 100000 100001 100002 78531 79415 100001
mcs30_b06_s80_AB09 100000 100000 32934 16451 11891 11994 11881 100000 100001 100001 14964 14893 100001
mcs30_b06_s90_AB00 100000 100000 100002 100002 100004 100004 100003 100000 100001 100001 100000 100000 100001
mcs30_b06_s90_AB01 100000 100000 100001 78500 67550 73873 67056 100000 100000 100002 89238 90228 100001
mcs30_b06_s90_AB02 100000 100000 100001 100002 100003 100005 100004 100000 100000 100001 100000 100000 100001
mcs30_b06_s90_AB03 100000 100000 100001 100002 100003 100004 100003 100000 100001 100002 100000 100000 100002
mcs30_b06_s90_AB04 100000 100000 100001 100002 100003 100005 100004 100000 100001 100001 100000 100000 100001
mcs30_b06_s90_AB05 100000 100000 100001 100001 100011 100015 100011 100000 100001 100001 100000 100000 100002
mcs30_b06_s90_AB06 100000 100000 100001 100002 99682 100036 100001 100000 100000 100001 100000 100000 100001
mcs30_b06_s90_AB07 100000 100000 100001 100002 100003 100005 100003 100000 100000 100001 100000 100000 100001
mcs30_b06_s90_AB08 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100000 100000 100001
mcs30_b06_s90_AB09 100000 100000 100001 82746 71390 75619 71603 100000 100001 100001 87903 87380 100002
mcs30_b06m_s100_AB00 100000 100000 26267 13377 10045 11074 10043 100000 100001 100001 11347 11353 100001
mcs30_b06m_s100_AB01 17369 100000 2226 1393 1385 1530 1384 100000 100000 100001 839 820 100001
mcs30_b06m_s100_AB02 23240 100000 2956 1693 1382 1484 1361 100000 100001 100001 1364 1365 100001
mcs30_b06m_s100_AB03 37794 100000 4640 2365 1689 1793 1726 100000 100001 100001 2160 2162 100001
mcs30_b06m_s100_AB04 17610 100000 2295 1465 1093 950 1106 100000 100000 100001 823 826 100001
mcs30_b06m_s100_AB05 72741 100000 7323 3845 2844 2772 2806 100000 100000 100001 3254 3250 100001
mcs30_b06m_s100_AB06 3822 100000 518 326 271 305 271 100000 100001 100001 254 233 100001
mcs30_b06m_s100_AB07 7331 100000 873 575 362 400 433 100000 100001 100001 324 320 100001
mcs30_b06m_s100_AB08 14420 100000 1783 956 727 757 728 100000 100001 100001 813 823 100001
mcs30_b06m_s100_AB09 18300 100000 1921 1020 687 698 696 100000 100000 100001 920 922 100001
mcs30_b06m_s25_AB00 6 7 8 8 7 10 7 3 3 5 23 41 5
mcs30_b06m_s25_AB01 4 6 5 7 8 8 9 2 3 6 16 26 8
mcs30_b06m_s25_AB02 5 4 9 8 8 9 7 2 2 4 25 32 6
mcs30_b06m_s25_AB03 3 3 5 6 6 8 9 2 3 6 23 13 7
mcs30_b06m_s25_AB04 5 3 6 9 8 9 8 1 2 5 22 18 5
mcs30_b06m_s25_AB05 6 7 6 7 8 9 8 3 3 6 26 14 7
mcs30_b06m_s25_AB06 5 7 6 7 7 10 8 2 2 6 25 27 6
mcs30_b06m_s25_AB07 5 3 5 8 8 9 8 2 4 7 35 19 7
mcs30_b06m_s25_AB08 3 3 5 6 7 9 7 2 2 6 29 21 5
mcs30_b06m_s25_AB09 5 4 5 7 8 9 7 2 2 6 34 25 5
mcs30_b06m_s30_AB00 1 0 3 4 5 7 5 1 2 4 37 35 4
mcs30_b06m_s30_AB01 2 3 4 5 5 8 5 1 3 4 29 22 4
mcs30_b06m_s30_AB02 2 2 4 4 5 8 6 1 2 6 26 39 5
mcs30_b06m_s30_AB03 3 3 4 7 6 8 6 1 2 4 14 30 5
mcs30_b06m_s30_AB04 1 1 4 4 5 6 5 1 2 4 16 20 4
mcs30_b06m_s30_AB05 3 7 4 6 7 9 7 3 3 5 25 38 5
mcs30_b06m_s30_AB06 2 3 5 5 6 8 7 2 2 4 29 17 5
mcs30_b06m_s30_AB07 2 1 4 5 6 7 7 1 2 4 19 17 4
mcs30_b06m_s30_AB08 2 0 5 3 5 7 6 1 2 4 15 35 4
mcs30_b06m_s30_AB09 2 1 4 5 5 7 6 1 2 3 20 28 5
mcs30_b06m_s35_AB00 7 12 6 8 8 12 8 4 4 6 33 23 6
mcs30_b06m_s35_AB01 5 11 5 6 9 10 8 4 4 6 32 30 7
mcs30_b06m_s35_AB02 5 11 6 7 7 9 9 3 4 6 21 51 7
mcs30_b06m_s35_AB03 7 5 7 8 9 11 8 3 4 5 22 27 7
