instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r
mcs10_b03_s90_AB02 100000 100000 100001 100001 100003 100004 100003 100000 100000 100002 100000 100000 100001
mcs10_b03_s90_AB03 100000 100000 100001 100002 100003 100005 100003 100000 100001 100002 100000 100000 100002
mcs10_b03_s90_AB04 100000 100000 100001 100002 100003 100005 100003 100000 100001 100001 100001 100000 100001
mcs10_b03_s90_AB05 100000 100000 100001 100002 100004 100005 100003 100000 100001 100001 100001 100001 100002
mcs10_b03_s90_AB06 100000 100000 100001 100001 100003 100005 100003 100000 100001 100001 100000 100000 100002
mcs10_b03_s90_AB07 100000 100000 100001 100002 100003 100044 100003 100000 100001 100002 100000 100000 100002
mcs10_b03_s90_AB08 100000 100000 100002 100001 100003 100004 100003 100000 100001 100001 100001 100000 100002
mcs10_b03_s90_AB09 100000 100000 100001 100002 100003 100004 100003 100000 100000 100001 100001 100001 100001
mcs10_b03m_s100_AB00 100000 100000 100001 100001 100002 100032 100003 100000 100001 100001 100000 100000 100002
mcs10_b03m_s100_AB01 100000 100000 69406 37602 27587 27046 28180 100000 100001 100001 33228 33118 100002
mcs10_b03m_s100_AB02 100000 100000 100000 94794 90618 90551 91425 100000 100001 100001 39192 38139 100001
mcs10_b03m_s100_AB03 100000 100000 100001 100005 100005 100016 100005 100000 100001 100001 100000 100000 100001
mcs10_b03m_s100_AB04 100000 100000 100001 100002 100016 100032 100015 100000 100001 100001 100000 100000 100001
mcs10_b03m_s100_AB05 100001 100000 100001 100001 100003 100028 100002 100000 100001 100001 100000 100000 100001
mcs10_b03m_s100_AB06 35124 100000 5720 3768 1462 1620 1321 100000 100000 100001 699 2950 100001
mcs10_b03m_s100_AB07 64117 100000 17727 10792 6355 6825 6384 100000 100000 100001 5236 5490 100001
mcs10_b03m_s100_AB08 100000 100000 100001 100001 100002 100039 100002 100000 100000 100001 100000 100000 100001
mcs10_b03m_s100_AB09 100000 100000 100001 100002 100003 100037 100003 100000 100000 100001 100000 100000 100002
mcs10_b03m_s40_AB00 100 18 15 15 17 16 16 6 5 8 36 27 10
mcs10_b03m_s40_AB01 56 52 15 16 16 18 17 17 17 18 33 26 14
mcs10_b03m_s40_AB02 24 61 12 16 13 15 14 44 45 44 50 26 44
mcs10_b03m_s40_AB03 11 470 9 10 12 13 12 110 97 69 30 24 51
mcs10_b03m_s40_AB04 68 381 16 19 19 22 20 97 79 77 33 30 81
mcs10_b03m_s40_AB05 70 130 17 18 19 22 19 28 24 23 26 27 23
mcs10_b03m_s40_AB06 78 363 23 23 25 28 27 107 69 34 53 29 58
mcs10_b03m_s40_AB07 24 10 7 10 9 11 10 6 7 8 23 21 8
mcs10_b03m_s40_AB08 30 112 12 16 15 17 14 39 26 28 31 33 34
mcs10_b03m_s40_AB09 794 596 98 64 54 68 51 215 209 207 91 84 239
mcs10_b03m_s50_AB00 12213 2142 1045 857 920 915 914 437 339 333 751 659 348
mcs10_b03m_s50_AB01 20097 1623 1537 819 583 634 595 342 166 164 875 793 157
mcs10_b03m_s50_AB02 30932 5486 1874 979 651 719 642 1018 2003 745 931 1104 1051
mcs10_b03m_s50_AB03 51986 42282 5309 2150 1394 1357 1379 3729 6534 1751 3262 3707 2133
mcs10_b03m_s50_AB04 6773 2580 803 434 327 328 328 637 447 405 458 457 367
mcs10_b03m_s50_AB05 4978 5595 1292 602 369 302 394 3838 3256 2627 384 470 2165
mcs10_b03m_s50_AB06 4979 243 1005 416 327 402 324 83 76 77 536 466 81
mcs10_b03m_s50_AB07 35108 3159 4522 2410 1672 1858 1712 1219 1227 1048 2418 2420 1037
mcs10_b03m_s50_AB08 100000 5384 47741 24320 17378 17791 17271 3997 2913 3243 25804 25787 2968
mcs10_b03m_s50_AB09 96765 100000 8150 4157 3155 3266 3149 50628 22774 16950 4453 4377 10236
mcs10_b03m_s60_AB00 796 6330 86 52 47 62 47 3172 3096 3146 55 64 3079
mcs10_b03m_s60_AB01 294 21588 65 52 53 69 55 6800 6605 6845 61 55 6802
mcs10_b03m_s60_AB02 16034 1406 624 341 324 335 309 303 223 192 350 362 168
mcs10_b03m_s60_AB03 1099 1747 158 99 93 90 96 937 892 840 114 101 919
mcs10_b03m_s60_AB04 28895 23467 3714 1804 1188 1235 1198 8020 6117 5874 1862 1804 6028
mcs10_b03m_s60_AB05 1280 789 172 109 90 101 97 284 255 275 107 112 279
mcs10_b03m_s60_AB06 507 12739 69 37 36 43 36 7983 7995 8103 45 39 8163
mcs10_b03m_s60_AB07 123 4861 30 27 30 38 29 1798 1772 1792 57 64 1804
mcs10_b03m_s60_AB08 4585 6734 619 361 300 288 304 2556 2447 2033 382 357 1987
mcs10_b03m_s60_AB09 3081 1649 751 274 257 251 224 830 819 776 288 356 755
mcs10_b03m_s70_AB00 100000 11307 26871 12187 3917 5134 3875 5925 4247 3062 12836 9638 3358
mcs10_b03m_s70_AB01 100000 100000 100001 100003 100005 100002 100002 94021 79510 59408 100000 100000 61137
mcs10_b03m_s70_AB02 100000 100000 37852 22795 23015 13958 23550 67425 63425 67681 16119 17230 55998
mcs10_b03m_s70_AB03 30636 100000 3289 1784 1625 1809 1617 100000 100000 100001 1716 1680 100001
mcs10_b03m_s70_AB04 100000 100000 100002 64606 45850 48938 45133 100000 100001 100002 63543 64041 100001
mcs10_b03m_s70_AB05 100000 100000 48525 28967 25015 12545 25857 64494 45368 51367 25306 29294 43773
mcs10_b03m_s70_AB06 100000 100000 100003 63403 41217 42553 41441 100000 100001 100001 66198 64335 100001
mcs10_b03m_s70_AB07 100000 100000 100001 100002 100002 100033 100003 100000 100000 100002 100000 100000 100001
mcs10_b03m_s70_AB08 100000 20389 100001 100001 100003 100030 100003 6359 5337 4308 100000 100000 4551
mcs10_b03m_s70_AB09 100000 100000 73098 39754 32805 31959 32417 100001 100001 100002 39928 40779 100002
mcs10_b03m_s80_AB00 100000 100000 100001 100001 100007 100027 100008 100000 100001 100001 100000 100000 100001
mcs10_b03m_s80_AB01 100000 100000 100001 100002 100003 100047 100003 100001 100001 100002 100000 100000 100001
mcs10_b03m_s80_AB02 100000 100000 100001 100002 100001 100028 100002 100000 100000 100002 100000 100000 100001
mcs10_b03m_s80_AB03 100000 100000 100001 100001 100003 100047 100003 100000 100000 100002 100000 100000 100001
mcs10_b03m_s80_AB04 100000 100000 100001 100002 100003 100048 100003 100000 100001 100001 100000 100000 100002
mcs10_b03m_s80_AB05 100000 100000 100001 100002 100002 100013 100003 100000 100001 100002 100000 100000 100001
mcs10_b03m_s80_AB06 100000 100000 100001 100002 100002 100037 100002 100000 100001 100002 100000 100000 100002
mcs10_b03m_s80_AB07 100000 100000 100001 100001 100008 100031 100008 100000 100001 100001 100000 100000 100001
mcs10_b03m_s80_AB08 100000 100000 100001 100001 100002 100003 100003 100000 100001 100002 100000 100000 100002
mcs10_b03m_s80_AB09 100000 100000 100001 100001 100003 100037 100002 100000 100001 100001 100000 100000 100002
mcs10_b03m_s90_AB00 100000 100000 100001 100002 100003 100006 100003 100000 100000 100002 100001 100000 100001
