instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32
mcs10_b03_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB01 NaN NaN 394253497 396924108 388531818 388567701 388511646 NaN NaN NaN
mcs10_b03m_s100_AB02 NaN NaN NaN 707854922 707912487 708184595 707858510 NaN NaN NaN
mcs10_b03m_s100_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB06 43342436 NaN 67347538 76054667 34435445 36664415 30612421 NaN NaN NaN
mcs10_b03m_s100_AB07 41131342 NaN 91238199 102236475 78544791 79782742 78254874 NaN NaN NaN
mcs10_b03m_s100_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s40_AB00 150670 64619 50298 40978 32893 74066 53214 45308 44809 64169
mcs10_b03m_s40_AB01 62989 186058 55648 54879 59216 53337 56319 149959 151212 159765
mcs10_b03m_s40_AB02 20359 189509 10632 17179 10535 8884 13803 211249 211137 213082
mcs10_b03m_s40_AB03 4478 1838802 5203 4315 4563 4615 4066 1598289 1598824 1598620
mcs10_b03m_s40_AB04 77576 1607219 62557 65104 61523 66182 62202 1307614 1272416 1273873
mcs10_b03m_s40_AB05 84776 315605 72415 74895 70992 70417 71766 263915 266924 290120
mcs10_b03m_s40_AB06 80802 1454335 98407 134058 140532 137964 179796 1464165 1519442 999362
mcs10_b03m_s40_AB07 68722 53945 8277 11145 5028 16727 24391 61931 61586 61509
mcs10_b03m_s40_AB08 24519 263109 11604 18638 10474 20492 14966 502550 487052 491073
mcs10_b03m_s40_AB09 1191573 2492898 1020330 1027185 1036274 1027631 1040384 2490213 2489381 2490325
mcs10_b03m_s50_AB00 20658057 5865392 11669316 10562434 10622183 10705554 10667927 5748382 5754521 5791492
mcs10_b03m_s50_AB01 20063944 4948196 9572202 9926907 10183860 10478660 10547913 4183634 2271984 2389663
mcs10_b03m_s50_AB02 31043974 24157867 12954881 11323545 11097823 11774753 11332626 13832570 19008410 10681423
mcs10_b03m_s50_AB03 88947412 142724635 68134862 46059338 38837764 38734095 38807949 64158735 111623245 64784032
mcs10_b03m_s50_AB04 6746672 8091254 5958377 6059184 6057259 6095899 6074093 7431641 7439024 7466300
mcs10_b03m_s50_AB05 4143748 19981055 8713129 7552180 6110793 4369448 6605796 50540695 60001547 56862413
mcs10_b03m_s50_AB06 7289339 735717 11583822 7414832 8283692 9998258 8171097 827837 856309 917439
mcs10_b03m_s50_AB07 37004726 10362004 37388722 37709557 38593353 39115537 38736555 9175892 9307759 9253410
mcs10_b03m_s50_AB08 NaN 26431495 413869324 416313240 414576822 416953743 415063756 20439125 20429101 20393286
mcs10_b03m_s50_AB09 107778388 NaN 67414891 68182890 70639356 69277541 70759660 935360712 666426635 822929472
mcs10_b03m_s60_AB00 906811 18577057 661389 634526 630964 631675 627269 21353949 20141252 20446473
mcs10_b03m_s60_AB01 431709 66691654 595904 703191 913844 832929 826908 58224624 56520212 59112417
mcs10_b03m_s60_AB02 39351563 3994340 8024202 7789757 12227855 12539122 11360336 3527048 4276692 4717119
mcs10_b03m_s60_AB03 1339583 4909057 1346321 1353545 1358609 1393465 1365943 4083685 4052112 3824460
mcs10_b03m_s60_AB04 34607276 76897787 34428690 31868755 31899572 31930018 31891196 77535556 73949356 73726877
mcs10_b03m_s60_AB05 1148841 1993656 1125107 1139400 1141777 1195440 1144442 3009891 2850304 2935796
mcs10_b03m_s60_AB06 1043655 48248692 609045 373544 392667 349788 334320 63174159 62818816 62837645
mcs10_b03m_s60_AB07 103826 15929690 122165 127865 117515 130190 107982 16940801 17828101 17950296
mcs10_b03m_s60_AB08 6419481 21798281 6459591 6368483 6378417 6401113 6373635 23672803 23467549 23538489
mcs10_b03m_s60_AB09 2874565 5777218 5984412 3636426 4913519 4598644 4514741 6893702 6648787 6679648
mcs10_b03m_s70_AB00 NaN 27756242 239410123 206651102 89231111 118925833 87897125 51741620 56412941 63088902
mcs10_b03m_s70_AB01 NaN NaN NaN NaN NaN NaN NaN 840050568 835506566 801094678
mcs10_b03m_s70_AB02 NaN NaN 254569328 313303427 435450218 242668556 437280147 390916602 386856607 390743142
mcs10_b03m_s70_AB03 26005884 NaN 20539016 20447338 20657706 20658696 20553797 NaN NaN NaN
mcs10_b03m_s70_AB04 NaN NaN NaN 874585486 870744131 873076228 869495141 NaN NaN NaN
mcs10_b03m_s70_AB05 NaN NaN 372406890 441540918 540298477 253915346 564290272 838105865 919939151 1011550457
mcs10_b03m_s70_AB06 NaN NaN NaN 1115476726 1123650399 1125223636 1124057955 NaN NaN NaN
mcs10_b03m_s70_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s70_AB08 NaN 64820406 NaN NaN NaN NaN NaN 67025808 70356296 91044982
mcs10_b03m_s70_AB09 NaN NaN 614561697 615308017 615784040 616871172 615689465 NaN NaN NaN
mcs10_b03m_s80_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s100_AB00 40897983 NaN 35258187 37517359 39206959 41275545 39445110 NaN NaN NaN
mcs10_b06_s100_AB01 NaN NaN 350614240 351072212 352228474 352186707 352252598 NaN NaN NaN
mcs10_b06_s100_AB02 24421996 NaN 23933462 24158214 24581843 24337072 24607239 NaN NaN NaN
mcs10_b06_s100_AB03 NaN NaN NaN 835356024 905200926 1049928623 905371113 NaN NaN NaN
mcs10_b06_s100_AB04 27791418 NaN 20720567 20746314 20768949 20769745 20763189 NaN NaN NaN
mcs10_b06_s100_AB05 NaN NaN 256724606 254021111 239080325 239148007 239104791 NaN NaN NaN
mcs10_b06_s100_AB06 12931304 NaN 14975590 16460751 22024076 17044308 22218923 NaN NaN NaN
mcs10_b06_s100_AB07 NaN NaN 185284632 191290686 207073699 246103990 206943012 NaN NaN NaN
mcs10_b06_s100_AB08 NaN NaN 68165812 73735014 87202939 88091286 87098007 NaN NaN NaN
mcs10_b06_s100_AB09 12220484 NaN 10448080 10105006 8639207 11988070 8653899 NaN NaN NaN
mcs10_b06_s70_AB00 5861899 NaN 6604936 6679174 7187384 7340494 7103446 NaN NaN NaN
mcs10_b06_s70_AB01 1596291 73893814 1525260 1578281 1625384 1728079 1706348 83521020 84133787 86533857
mcs10_b06_s70_AB02 12103797 NaN 10683715 10734964 10868535 10819745 10867394 NaN NaN NaN
mcs10_b06_s70_AB03 1149115 93739192 1055060 1100386 1134407 1170746 1146469 81549124 82064227 81459512
mcs10_b06_s70_AB04 1808164 NaN 1177098 1289858 1381151 1368867 1446872 163271006 165755089 165845146
mcs10_b06_s70_AB05 6525658 NaN 5635734 5666731 5665182 5711744 5738290 281738781 281508618 272244216
mcs10_b06_s70_AB06 6215670 NaN 6329514 6743194 7250626 7249800 7031877 229563695 227428594 231844501
mcs10_b06_s70_AB07 3904394 108227734 3270917 3243673 3873323 4989198 3776062 90830658 90933619 94993136
mcs10_b06_s70_AB08 38347496 NaN 32258612 32778779 33003209 33148156 32975462 251418355 251532687 252861528
mcs10_b06_s70_AB09 6239056 241042408 5924193 6177059 6223594 7063590 6262535 275028808 278694818 293858344
mcs10_b06_s80_AB00 NaN NaN 72517276 72664624 72974234 73263498 72997181 NaN NaN NaN
mcs10_b06_s80_AB01 NaN NaN NaN NaN 1366675462 1211975831 1366361530 NaN NaN NaN
mcs10_b06_s80_AB02 13144021 71457243 14302572 12985911 16082804 20067882 16813112 95154207 93979403 102356790
mcs10_b06_s80_AB03 NaN NaN 226744216 227208249 227477176 228413786 227477173 NaN NaN NaN
mcs10_b06_s80_AB04 NaN NaN 311217552 311365641 311583294 311686015 311574966 NaN NaN NaN
mcs10_b06_s80_AB05 NaN NaN 119790055 115613125 124460105 114793569 124470418 NaN NaN NaN
mcs10_b06_s80_AB06 NaN NaN NaN 491473695 494918821 497465484 494901700 NaN NaN NaN
mcs10_b06_s80_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s80_AB08 NaN NaN 201563690 177537287 178347327 183312093 178489362 NaN NaN NaN
