instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32
mcs30_m2Dr2_s70_AB03 30621809 NaN 30616027 30637529 30730064 30687359 30676449 285597898 285939979 285723663
mcs30_m2Dr2_s70_AB04 28931129 NaN 28994466 29061059 29063933 29090415 29063642 359442936 363045633 370820346
mcs30_m2Dr2_s70_AB05 6001559 178467824 4528350 4643861 4196540 5642844 4329307 152063841 149174440 172749657
mcs30_m2Dr2_s70_AB06 1757738 NaN 1766966 1817427 1861384 1854402 2051776 524441661 407328606 503636876
mcs30_m2Dr2_s70_AB07 80671509 NaN 34206650 41311918 44742550 61033020 44459923 632940593 643982362 683607215
mcs30_m2Dr2_s70_AB08 12551617 135531570 6784097 6803355 6915177 6984949 6898842 150775340 147924002 144071562
mcs30_m2Dr2_s70_AB09 8406571 NaN 8424430 8435244 8457838 8466106 8462319 NaN NaN NaN
mcs30_m2Dr2_s80_AB00 NaN NaN 52249392 55331997 62536018 64225761 62375543 NaN NaN NaN
mcs30_m2Dr2_s80_AB01 43987853 NaN 46804478 44832993 48767568 49577460 48681546 NaN NaN NaN
mcs30_m2Dr2_s80_AB02 NaN NaN 238146731 244843186 257657863 280206422 257478430 NaN NaN NaN
mcs30_m2Dr2_s80_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s80_AB04 NaN NaN NaN NaN 798596392 799724423 798639551 NaN NaN NaN
mcs30_m2Dr2_s80_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s80_AB06 2127781 NaN 1804059 2011109 2428467 2567290 2451075 NaN NaN NaN
mcs30_m2Dr2_s80_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s80_AB08 54020876 NaN 30529854 31856716 33870343 33862239 33874024 685743595 738699628 782491372
mcs30_m2Dr2_s80_AB09 NaN NaN 44666993 46402519 60841500 71150055 60967339 NaN NaN NaN
mcs30_m2Dr2_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr2_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s100_AB00 43198238 NaN 43485255 43787345 44433793 44775258 44556225 NaN NaN NaN
mcs30_m2Dr4_s100_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s100_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s100_AB03 NaN NaN 172059884 244406382 179089818 114118526 180012602 NaN NaN NaN
mcs30_m2Dr4_s100_AB04 10527293 NaN 13562893 17265515 20367029 14894923 20437762 NaN NaN NaN
mcs30_m2Dr4_s100_AB05 10388053 NaN 10395224 10406358 10426938 10423539 10428523 NaN NaN NaN
mcs30_m2Dr4_s100_AB06 NaN NaN 514736442 518816510 527462464 534378979 527729664 NaN NaN NaN
mcs30_m2Dr4_s100_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s100_AB08 4931576 NaN 4855295 4907100 4923874 5022091 4991403 NaN NaN NaN
mcs30_m2Dr4_s100_AB09 4570437 NaN 4802616 5249482 5729581 6276957 5734837 NaN NaN NaN
mcs30_m2Dr4_s30_AB00 1713 8639 1956 1926 2012 1863 1870 9007 7832 7995
mcs30_m2Dr4_s30_AB01 3153 13060 3556 3296 3296 3296 3296 13060 13230 13060
mcs30_m2Dr4_s30_AB02 908 16305 1024 1021 1021 1021 1048 16305 16305 16305
mcs30_m2Dr4_s30_AB03 1509 1702 1595 1934 2088 1840 1369 3210 3488 3978
mcs30_m2Dr4_s30_AB04 2721 6308 1858 1411 1229 1550 962 5904 6088 7280
mcs30_m2Dr4_s30_AB05 192 6395 471 454 469 472 470 7676 6373 6855
mcs30_m2Dr4_s30_AB06 666 11266 759 1469 1404 650 650 8661 9839 8838
mcs30_m2Dr4_s30_AB07 315 5264 433 433 462 433 465 8089 9508 7957
mcs30_m2Dr4_s30_AB08 1549 24377 1298 1285 1504 1386 1578 23521 23319 23009
mcs30_m2Dr4_s30_AB09 3329 21953 3589 3845 3469 3469 3469 21953 21953 21953
mcs30_m2Dr4_s50_AB00 2524967 9259447 2582535 2531963 2655064 2554622 2674210 9015605 9036496 9954026
mcs30_m2Dr4_s50_AB01 8188289 24862650 8263817 8399403 8485501 8379384 8402455 22189423 22192375 22193298
mcs30_m2Dr4_s50_AB02 7126961 21952614 6864826 7402109 8303611 8595990 8348420 25057568 23388270 24538959
mcs30_m2Dr4_s50_AB03 1951590 15921131 1877043 1823741 2172049 1965188 1883158 11929449 12488267 12596904
mcs30_m2Dr4_s50_AB04 7099258 9939101 5776815 5236235 5361041 5482068 5362008 9446064 9632980 9753182
mcs30_m2Dr4_s50_AB05 3399866 24376033 3447002 3500958 3597065 3491732 3507262 20353375 20416695 20376691
mcs30_m2Dr4_s50_AB06 2422645 1835504 1974592 2347755 3607180 4259703 3613166 3095782 4406229 4182464
mcs30_m2Dr4_s50_AB07 6743167 96898943 6393347 5348964 6455725 6268345 6473582 88600431 88638191 88661128
mcs30_m2Dr4_s50_AB08 2603903 23067453 1932663 1944632 1961386 1934583 1949703 17656970 11351982 11113774
mcs30_m2Dr4_s50_AB09 7232765 52125190 7309980 7462360 7594327 8075852 7743428 52538193 53186410 52306358
mcs30_m2Dr4_s60_AB00 590549 7996158 465034 467102 580418 467470 472441 8134175 8227834 9924550
mcs30_m2Dr4_s60_AB01 458402 10580173 463096 467605 465409 461413 467216 10582539 10585031 10581242
mcs30_m2Dr4_s60_AB02 1246004 7014392 764564 852414 971863 889053 1022551 6782737 7412988 7447701
mcs30_m2Dr4_s60_AB03 80456 24298468 53803 61663 60542 59641 62525 22986433 23421045 23422608
mcs30_m2Dr4_s60_AB04 20672635 54255846 14239670 12800864 7696346 7612281 7724190 48704006 48186997 47380013
mcs30_m2Dr4_s60_AB05 12100145 49614569 10608097 11871979 11224796 13620241 11133565 49653279 49561303 49738388
mcs30_m2Dr4_s60_AB06 1095921 51209080 1019026 1078480 1060225 1181797 1154057 51172200 51507583 51036274
mcs30_m2Dr4_s60_AB07 432215 7003069 341601 265444 213298 375264 477460 8700236 9532452 12328441
mcs30_m2Dr4_s60_AB08 243396 7693360 213176 231722 219945 236783 219346 8357395 8258275 9393937
mcs30_m2Dr4_s60_AB09 113351 5990778 44860 53447 47675 69508 45566 3502682 3967729 3755292
mcs30_m2Dr4_s70_AB00 NaN NaN 81915870 65000806 71039116 71141225 71123815 NaN NaN NaN
mcs30_m2Dr4_s70_AB01 2523682 NaN 1156720 1182996 1175535 1174444 1187700 412757513 496691634 382088127
mcs30_m2Dr4_s70_AB02 6727591 28970096 837675 843000 848084 839481 850028 28970096 28970096 28970096
mcs30_m2Dr4_s70_AB03 1500449 114405445 910278 922730 926950 918924 946841 103439344 103461847 113105816
mcs30_m2Dr4_s70_AB04 51536006 61023564 49820403 50484719 52049646 53099713 52158599 67202474 68146230 68766373
mcs30_m2Dr4_s70_AB05 2763678 NaN 2489230 3119731 4037091 4102513 4210860 NaN NaN NaN
mcs30_m2Dr4_s70_AB06 4627504 NaN 3546843 3555061 3573554 3582968 3569872 456057486 456057486 456165329
mcs30_m2Dr4_s70_AB07 839013 85557211 804489 813470 828675 817008 826575 75995912 76231193 76247854
mcs30_m2Dr4_s70_AB08 1911916 NaN 1929263 1942207 1958991 1940093 1956828 NaN 605208300 584624684
mcs30_m2Dr4_s70_AB09 8688090 NaN 4468179 4438040 4435024 4478628 4452795 144988260 145168632 179969818
mcs30_m2Dr4_s80_AB00 NaN NaN 91523819 91559904 91639846 91693731 91671489 NaN NaN NaN
mcs30_m2Dr4_s80_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s80_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s80_AB03 NaN NaN 252838588 254430583 257278214 259058531 257230100 NaN NaN NaN
mcs30_m2Dr4_s80_AB04 NaN NaN 209482789 242195764 306411752 240755976 307536998 NaN NaN NaN
mcs30_m2Dr4_s80_AB05 NaN NaN 168593310 187989529 294646667 294615365 294586531 NaN NaN NaN
mcs30_m2Dr4_s80_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s80_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s80_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s80_AB09 NaN NaN 58914468 46266005 53198509 66777090 53196734 NaN NaN NaN
mcs30_m2Dr4_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr4_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s100_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s100_AB01 NaN NaN 58428350 61428079 65999784 65822782 65750377 NaN NaN NaN
mcs30_m2Dr6_s100_AB02 3576353 NaN 3625716 3737292 3810039 3777370 3766473 NaN NaN NaN
mcs30_m2Dr6_s100_AB03 NaN NaN NaN 431960162 436274646 436315462 436372747 NaN NaN NaN
mcs30_m2Dr6_s100_AB04 NaN NaN 152347706 143514190 157826349 186476693 158252371 NaN NaN NaN
mcs30_m2Dr6_s100_AB05 29244982 NaN 49739068 69637826 50162131 28669282 50074743 NaN NaN NaN
mcs30_m2Dr6_s100_AB06 NaN NaN 29873761 42500378 69970543 70064202 69264485 NaN NaN NaN
mcs30_m2Dr6_s100_AB07 41217924 NaN 42200732 43656238 46721254 51828150 47071256 NaN NaN NaN
mcs30_m2Dr6_s100_AB08 14542271 NaN 14612256 14697752 14924484 14773173 14861344 NaN NaN NaN
mcs30_m2Dr6_s100_AB09 NaN NaN 122502133 166420850 113568406 74883875 113055147 NaN NaN NaN
mcs30_m2Dr6_s30_AB00 809 4014 851 1097 1119 1120 966 4849 4281 4168
mcs30_m2Dr6_s30_AB01 1430 10708 1433 1439 1445 1319 1458 10253 10356 10217
mcs30_m2Dr6_s30_AB02 226 7217 339 339 339 339 339 9429 9325 7822
mcs30_m2Dr6_s30_AB03 1528 12923 1525 1471 1446 1684 1597 11845 12273 13989
mcs30_m2Dr6_s30_AB04 335 8896 400 433 383 378 648 9967 9742 9340
mcs30_m2Dr6_s30_AB05 1746 11134 1591 1632 1540 1607 2385 11190 11155 11436
mcs30_m2Dr6_s30_AB06 731 21386 733 661 824 1267 898 21461 21432 21386
mcs30_m2Dr6_s30_AB07 224 3874 322 339 335 579 348 3083 3654 4354
mcs30_m2Dr6_s30_AB08 1167 18266 1551 1636 1603 1402 1603 17145 18450 27199
mcs30_m2Dr6_s30_AB09 1230 13091 1355 1355 1355 1355 1355 23807 23087 18493
mcs30_m2Dr6_s50_AB00 3386219 46448507 3390333 3397523 3408245 3409618 3407879 46448685 46448507 46448510
mcs30_m2Dr6_s50_AB01 3700808 9265799 1318857 928855 945731 947645 973301 8471288 9072966 7668457
mcs30_m2Dr6_s50_AB02 6729098 15336335 6851591 7035398 7274502 7072414 7209647 15477040 15467559 15467580
mcs30_m2Dr6_s50_AB03 1720858 12595877 1552855 1346928 1301294 1277893 1326848 11771721 12084652 11897868
mcs30_m2Dr6_s50_AB04 3137766 8100716 2101628 2128206 2157093 2120290 2157893 4908803 7732149 5878513
mcs30_m2Dr6_s50_AB05 13304286 12885194 12622919 12711735 12650422 12762249 12730203 12975063 13049315 13069432
mcs30_m2Dr6_s50_AB06 1521206 10129195 1562714 1611836 1674592 1853432 1714179 6740668 6796196 7175747
mcs30_m2Dr6_s50_AB07 6011211 31711501 5639468 5644710 5662575 5677981 5665321 29934606 29830609 30041416
mcs30_m2Dr6_s50_AB08 7227101 8334153 7296243 8279772 9576056 9489506 8864750 7425637 7783667 7047496
mcs30_m2Dr6_s50_AB09 11083765 41466667 11102093 11317556 11325015 11301732 11372709 41257464 41482303 41249559
mcs30_m2Dr6_s60_AB00 113487 15170487 98497 87821 82533 129528 81377 14790214 16941976 14912892
mcs30_m2Dr6_s60_AB01 43413 5874557 43830 45918 42163 43132 43611 5462845 4135643 5223038
mcs30_m2Dr6_s60_AB02 126312 26419019 140524 147662 146222 280079 159295 19524624 19474869 19479812
mcs30_m2Dr6_s60_AB03 272320 11096150 178600 194991 197353 194639 197998 14273497 13533831 14497094
mcs30_m2Dr6_s60_AB04 53765 3445456 51812 57939 53973 51755 50351 3621075 3546547 3740769
mcs30_m2Dr6_s60_AB05 177571 9510243 170335 202145 189212 205251 207122 10061179 9880927 10302222
mcs30_m2Dr6_s60_AB06 411473 1906899 49093 46110 44772 48290 53823 1653878 1673449 1661341
mcs30_m2Dr6_s60_AB07 179882 29240915 151100 157288 153860 150361 161410 29204446 29240915 29240915
mcs30_m2Dr6_s60_AB08 44666 1628285 50602 57223 77115 62166 55119 2701397 2763000 2645496
mcs30_m2Dr6_s60_AB09 1827293 24077417 1824187 1831198 1831881 1823667 1849318 24128961 24281775 24312393
mcs30_m2Dr6_s70_AB00 2213253 NaN 2229000 2235444 2255156 2255720 2261871 221909077 363532402 394178275
mcs30_m2Dr6_s70_AB01 278175 17505616 309509 356656 414378 425107 395942 17756262 17923820 17921522
mcs30_m2Dr6_s70_AB02 2485873 NaN 2455383 2474329 2491527 2489142 2556009 338787532 337169243 376935731
mcs30_m2Dr6_s70_AB03 3099238 23167288 2075906 2102357 2100843 2117936 2119108 23167288 23167288 23167288
mcs30_m2Dr6_s70_AB04 35564765 NaN 38868114 29219129 29348139 29342573 29254237 NaN NaN NaN
mcs30_m2Dr6_s70_AB05 4798800 143287197 3954281 4041199 4395293 4440381 4436659 95541808 97640403 100060641
mcs30_m2Dr6_s70_AB06 982375 176745493 577799 585232 586825 584422 585920 176785198 176811114 176844454
mcs30_m2Dr6_s70_AB07 20496010 NaN 16143877 14881080 14974183 15019564 15002846 272984195 272984195 272984195
mcs30_m2Dr6_s70_AB08 2814559 39384047 1472062 1478890 1497170 1472985 1499035 39384047 39295248 39384047
mcs30_m2Dr6_s70_AB09 16833520 NaN 17761767 18625399 20592718 20948030 20587821 186173507 177346458 181840110
mcs30_m2Dr6_s80_AB00 36786317 NaN 12130771 12197555 12388241 12438402 12423306 NaN NaN NaN
mcs30_m2Dr6_s80_AB01 NaN NaN NaN NaN 923974615 930298396 923994625 NaN NaN NaN
mcs30_m2Dr6_s80_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s80_AB03 NaN NaN NaN 768725802 768755468 768821188 768754712 NaN NaN NaN
mcs30_m2Dr6_s80_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s80_AB05 NaN NaN 94607146 108765814 136523753 172748580 136096236 NaN NaN NaN
mcs30_m2Dr6_s80_AB06 18486195 NaN 36638127 38720089 36653001 18424041 36201574 NaN NaN NaN
mcs30_m2Dr6_s80_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s80_AB08 NaN NaN 30838955 30849150 30877690 30911810 30880490 NaN NaN NaN
mcs30_m2Dr6_s80_AB09 15730500 NaN 14185729 14352202 17365478 17420324 17280916 NaN 905627964 923558226
mcs30_m2Dr6_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m2Dr6_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s100_AB00 NaN NaN 216733328 230090035 258614032 284560189 257853342 NaN NaN NaN
mcs30_m3D_s100_AB01 NaN NaN 86695896 88007732 90099452 93954112 90098378 NaN NaN NaN
mcs30_m3D_s100_AB02 NaN NaN 66528196 70520903 63989984 63961605 63856094 NaN NaN NaN
mcs30_m3D_s100_AB03 NaN NaN 13287007 5442402 5476658 5454528 5475323 NaN NaN NaN
mcs30_m3D_s100_AB04 32830987 NaN 20785103 22360856 31459759 43439724 31631567 NaN NaN NaN
mcs30_m3D_s100_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s100_AB06 46394571 NaN 46577484 46875240 47352564 47856262 47231602 NaN NaN NaN
mcs30_m3D_s100_AB07 NaN NaN 31514809 34666169 39300904 32106288 39411848 NaN NaN NaN
mcs30_m3D_s100_AB08 NaN NaN 342061601 320487605 321494220 322005402 321494491 NaN NaN NaN
mcs30_m3D_s100_AB09 NaN NaN 68296630 68176107 69102842 69873224 69157967 NaN NaN NaN
mcs30_m3D_s25_AB00 4153 20530 4317 4317 4317 4317 4317 22390 21952 22405
mcs30_m3D_s25_AB01 2732 32734 2896 2896 2896 2896 2896 27819 26564 30262
mcs30_m3D_s25_AB02 2464 8944 2410 2222 2313 2328 2115 6264 6144 6461
mcs30_m3D_s25_AB03 1892 7657 2403 2058 2058 2058 2058 6990 6939 7384
mcs30_m3D_s25_AB04 677 2891 1000 723 702 748 699 2518 2362 2726
mcs30_m3D_s25_AB05 5598 5332 5755 5754 5755 5755 5755 5590 5470 5956
mcs30_m3D_s25_AB06 1543 8980 2256 1728 2447 3460 2405 8246 6779 7000
mcs30_m3D_s25_AB07 3636 19723 3615 7287 3472 3692 3700 20343 12268 12281
mcs30_m3D_s25_AB08 5429 16407 6853 7521 7387 5455 7112 19974 15510 18257
mcs30_m3D_s25_AB09 4220 8934 4380 4379 4379 4379 4379 8787 8581 8550
mcs30_m3D_s30_AB00 817 11153 1055 903 704 880 1028 21450 22158 21839
mcs30_m3D_s30_AB01 1182 13657 1304 1304 1304 1304 1304 13859 14953 14037
mcs30_m3D_s30_AB02 274 6055 421 442 421 438 376 5518 5470 5484
mcs30_m3D_s30_AB03 1411 5200 1787 1982 1699 1483 1390 5384 5498 5200
mcs30_m3D_s30_AB04 524 8922 918 956 952 904 946 8375 9924 9375
mcs30_m3D_s30_AB05 329 4136 588 1048 664 372 645 3093 3363 3137
mcs30_m3D_s30_AB06 881 11176 1215 995 995 995 995 12173 12390 11176
mcs30_m3D_s30_AB07 350 6745 499 550 619 429 388 4174 6582 6238
mcs30_m3D_s30_AB08 2291 18250 2401 2429 2401 2430 2513 18276 18198 18339
mcs30_m3D_s30_AB09 413 3575 427 436 521 508 450 5411 5469 5527
mcs30_m3D_s40_AB00 24085 358599 23275 23246 23747 28593 28662 425657 422418 418615
mcs30_m3D_s40_AB01 135470 928313 137066 137323 137715 136050 136916 930440 929087 928313
mcs30_m3D_s40_AB02 25746 149001 23446 24514 25797 20908 31319 141237 91031 107480
mcs30_m3D_s40_AB03 71780 358507 59456 63189 58600 68970 66406 303844 317222 323134
mcs30_m3D_s40_AB04 4030 92449 4186 4643 3953 4005 4210 94772 93951 96340
mcs30_m3D_s40_AB05 20224 80268 19517 22049 18966 24006 21494 78430 86005 75743
mcs30_m3D_s40_AB06 9748 463014 9248 10696 8145 10839 14988 433878 444805 447544
mcs30_m3D_s40_AB07 13630 139888 20810 29194 21335 25738 15191 144513 142867 156617
mcs30_m3D_s40_AB08 183828 372729 157535 146421 151963 143146 160416 386470 456590 386890
mcs30_m3D_s40_AB09 174288 354837 169931 168046 169492 174138 170456 308488 317503 352788
mcs30_m3D_s70_AB00 1910199 99599831 1678605 2252214 2641282 3373393 2485190 73136498 83680819 83431126
mcs30_m3D_s70_AB01 187402 42824818 149662 163509 165562 179497 164262 23840775 23841744 23833956
mcs30_m3D_s70_AB02 1141784 NaN 1162618 1174682 1216887 1190650 1173409 333441283 333716980 333740971
mcs30_m3D_s70_AB03 3955406 21553976 3848262 3864510 3872450 3861699 3875004 21553976 21553976 21511080
mcs30_m3D_s70_AB04 2304573 109029467 1328681 1261697 1285130 1263113 1276487 94615009 91330162 101213647
mcs30_m3D_s70_AB05 7286422 33603624 3527396 1407403 1417040 1517584 1413036 33917273 29628823 29627530
mcs30_m3D_s70_AB06 1318978 12915948 532519 524876 546113 517259 517166 11642191 11642517 11642461
mcs30_m3D_s70_AB07 12288777 NaN 7822334 7580543 7611354 7599278 7607309 NaN NaN NaN
mcs30_m3D_s70_AB08 11526399 NaN 7222225 5426044 5422440 5382508 5416911 374890631 387131809 374255122
mcs30_m3D_s70_AB09 NaN 116244534 93562220 94425099 95623247 95520542 95585613 121227070 120723312 121311196
mcs30_m3D_s80_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s80_AB01 NaN NaN 328566750 328595468 328621765 328699788 328631649 NaN NaN NaN
mcs30_m3D_s80_AB02 NaN NaN 67488480 67631559 67988187 68022645 67943049 NaN NaN NaN
mcs30_m3D_s80_AB03 NaN NaN 93296097 93460217 93665198 93649481 93651054 NaN NaN NaN
mcs30_m3D_s80_AB04 NaN NaN 35764727 41448589 45914375 55127136 46148655 773136101 775872729 775542771
mcs30_m3D_s80_AB05 NaN NaN 266693772 385550278 383208384 289115618 393911804 NaN NaN NaN
mcs30_m3D_s80_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s80_AB07 NaN NaN 254780410 193236239 160132749 184285222 160238924 NaN NaN NaN
mcs30_m3D_s80_AB08 23006559 192293305 23022485 23039513 23072393 23127208 23079904 160969608 186577469 196747526
mcs30_m3D_s80_AB09 NaN NaN NaN NaN 1044967702 NaN 1046493151 NaN NaN NaN
mcs30_m3D_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3D_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs30_m3Dr2_s100_AB00 17398877 NaN 3767603 4204572 5118965 4341821 5100875 NaN NaN NaN
mcs30_m3Dr2_s100_AB01 2223255 NaN 942421 982964 1042345 960066 987906 NaN NaN NaN
mcs30_m3Dr2_s100_AB02 NaN NaN 350432886 350459316 350484585 350575152 350531961 NaN NaN NaN
mcs30_m3Dr2_s100_AB03 36270621 NaN 36322936 36367207 36502961 36527643 36433709 NaN NaN NaN
mcs30_m3Dr2_s100_AB04 NaN NaN 359696258 367940542 386674181 400023597 386529644 NaN NaN NaN
mcs30_m3Dr2_s100_AB05 8740655 NaN 10006841 13218587 19330912 24040546 18932269 NaN NaN NaN
mcs30_m3Dr2_s100_AB06 NaN NaN 47478965 48382628 50193770 58921569 50563784 NaN NaN NaN
mcs30_m3Dr2_s100_AB07 NaN NaN 223632136 180400538 161881009 163193601 161723436 NaN NaN NaN
mcs30_m3Dr2_s100_AB08 NaN NaN 62226151 65278454 72282378 72359947 71602131 NaN NaN NaN
mcs30_m3Dr2_s100_AB09 NaN NaN 49056571 59739983 80722963 57613591 81091939 NaN NaN NaN
mcs30_m3Dr2_s25_AB00 583 2581 647 698 647 895 1765 3247 4645 3892
mcs30_m3Dr2_s25_AB01 2419 8240 2832 2454 4146 2513 2663 10341 12214 10033
mcs30_m3Dr2_s25_AB02 6902 26781 6911 7442 6882 6955 6920 23348 24460 23606
mcs30_m3Dr2_s25_AB03 9667 24278 8854 8627 9098 10004 8844 17266 17411 17567
mcs30_m3Dr2_s25_AB04 3056 17245 3218 3218 3218 3218 3218 16782 16691 16435
mcs30_m3Dr2_s25_AB05 2149 10816 2417 2218 2087 2088 2085 6351 7611 6157
mcs30_m3Dr2_s25_AB06 6067 14794 6034 6971 6354 6008 6619 15084 15142 16157
mcs30_m3Dr2_s25_AB07 7726 21491 7894 7894 7908 7894 7894 21399 22612 20994
mcs30_m3Dr2_s25_AB08 9572 21524 7830 8416 7011 8105 6402 21524 21527 21524
mcs30_m3Dr2_s25_AB09 4921 29528 4450 4647 4755 4753 4195 29679 29661 29646
mcs30_m3Dr2_s30_AB00 2234 4856 2355 2355 2355 2355 2355 6077 6426 5008
mcs30_m3Dr2_s30_AB01 688 5028 765 1241 869 688 550 4201 4158 4177
mcs30_m3Dr2_s30_AB02 2020 8322 1979 2086 2086 1979 2044 8322 8322 8322
mcs30_m3Dr2_s30_AB03 1425 1679 1346 1328 1346 1586 1586 1813 1766 1679
mcs30_m3Dr2_s30_AB04 2583 24735 3067 2738 2793 2720 2825 24735 24735 24735
mcs30_m3Dr2_s30_AB05 344 5776 441 963 663 895 1039 4868 6688 3375
mcs30_m3Dr2_s30_AB06 1658 14078 2031 1789 1789 1789 1832 14559 14078 14078
mcs30_m3Dr2_s30_AB07 1558 31614 1689 1689 1689 1689 1689 24675 23898 24478
mcs30_m3Dr2_s30_AB08 697 2272 813 816 969 809 841 2306 2267 2272
mcs30_m3Dr2_s30_AB09 825 7991 884 790 1097 830 794 11268 10081 14629
