instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2Dr6_s50_AB09 1000000 1000000 1000005 1000001
mcs10_r005_s20_AB00 208 14 74 18
mcs10_r005_s20_AB01 420 35 114 17
mcs10_r005_s20_AB02 255 14 84 20
mcs10_r005_s20_AB03 310 20 98 20
mcs10_r005_s20_AB04 158 2 75 13
mcs10_r005_s20_AB05 205 24 74 21
mcs10_r005_s20_AB06 240 7 88 15
mcs10_r005_s20_AB07 521 63 116 38
mcs10_r005_s20_AB08 177 15 80 14
mcs10_r005_s20_AB09 139 11 77 15
mcs10_r005_s25_AB00 10139 601 735 119
mcs10_r005_s25_AB01 7162 142 401 24
mcs10_r005_s25_AB02 5045 137 240 18
mcs10_r005_s25_AB03 7097 413 498 29
mcs10_r005_s25_AB04 10773 154 638 16
mcs10_r005_s25_AB05 11803 187 852 73
mcs10_r005_s25_AB06 11166 156 498 31
mcs10_r005_s25_AB07 4519 72 345 15
mcs10_r005_s25_AB08 9206 309 611 65
mcs10_r005_s25_AB09 14515 333 901 85
mcs10_r005_s30_AB00 465775 4112 14572 114
mcs10_r005_s30_AB01 535372 1386 16445 130
mcs10_r005_s30_AB02 319465 2350 8910 155
mcs10_r005_s30_AB03 560473 1773 23111 157
mcs10_r005_s30_AB04 494423 809 18194 89
mcs10_r005_s30_AB05 434247 905 13890 72
mcs10_r005_s30_AB06 460261 1931 19743 195
mcs10_r005_s30_AB07 522722 1749 14791 258
mcs10_r005_s30_AB08 249268 1552 8085 66
mcs10_r005_s30_AB09 343106 2320 10360 195
mcs10_r005_s35_AB00 1000000 11297 502217 910
mcs10_r005_s35_AB01 1000000 11696 854583 1301
mcs10_r005_s35_AB02 1000000 15467 1000002 1034
mcs10_r005_s35_AB03 1000000 12454 731966 937
mcs10_r005_s35_AB04 1000000 35773 722228 2704
mcs10_r005_s35_AB05 1000000 33102 924083 3588
mcs10_r005_s35_AB06 1000000 34301 1000003 3478
mcs10_r005_s35_AB07 1000000 22999 943149 2610
mcs10_r005_s35_AB08 1000000 34247 1000003 2819
mcs10_r005_s35_AB09 1000000 22726 902928 939
mcs10_r005_s40_AB00 1000000 383818 1000003 17480
mcs10_r005_s40_AB01 1000000 512786 1000004 45757
mcs10_r005_s40_AB02 1000000 495339 1000003 25369
mcs10_r005_s40_AB03 1000000 715487 1000003 34830
mcs10_r005_s40_AB04 1000000 636500 1000003 47031
mcs10_r005_s40_AB05 1000000 419052 1000003 41866
mcs10_r005_s40_AB06 1000000 337002 1000004 39321
mcs10_r005_s40_AB07 1000000 265676 1000003 23214
mcs10_r005_s40_AB08 1000000 195048 1000003 9424
mcs10_r005_s40_AB09 1000000 638096 1000003 47534
mcs10_r005_s50_AB00 1000000 1000000 1000004 1000001
mcs10_r005_s50_AB01 1000000 1000000 1000004 1000001
mcs10_r005_s50_AB02 1000000 1000000 1000005 1000001
