instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_b03m_s70_AB06 1000000 1000000 26003 354396
mcs10_b03m_s70_AB07 1000000 453936 246797 78794
mcs10_b03m_s70_AB08 1000000 14451 140515 5209
mcs10_b03m_s70_AB09 531314 1000000 21440 917573
mcs10_b03m_s80_AB00 1000000 1000000 118919 1000002
mcs10_b03m_s80_AB01 1000000 268256 316290 152962
mcs10_b03m_s80_AB02 1000000 1000000 56147 1000001
mcs10_b03m_s80_AB03 1000000 1000000 536818 1000001
mcs10_b03m_s80_AB04 1000000 1000000 1000002 767109
mcs10_b03m_s80_AB05 1000000 1000000 1000002 1000004
mcs10_b03m_s80_AB06 1000000 1000000 599467 1000002
mcs10_b03m_s80_AB07 1000000 1000000 202672 134735
mcs10_b03m_s80_AB08 1000000 1000000 1000007 1000001
mcs10_b03m_s80_AB09 1000000 1000000 1000010 1000002
mcs10_b03m_s90_AB00 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB01 1000000 1000000 316554 1000003
mcs10_b03m_s90_AB02 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB03 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB04 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB05 1000000 1000000 1000002 1000005
mcs10_b03m_s90_AB06 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB07 1000000 1000000 1000002 1000001
mcs10_b03m_s90_AB08 1000000 1000000 1000002 1000002
mcs10_b03m_s90_AB09 1000000 1000000 1000002 1000001
mcs10_b06_s100_AB00 53390 1000000 1934 1000002
mcs10_b06_s100_AB01 465279 1000000 15809 1000001
mcs10_b06_s100_AB02 27393 1000000 1030 1000001
mcs10_b06_s100_AB03 956514 1000000 35399 1000002
mcs10_b06_s100_AB04 28886 1000000 1094 961998
mcs10_b06_s100_AB05 313749 1000000 8619 552241
mcs10_b06_s100_AB06 16395 1000000 956 500884
mcs10_b06_s100_AB07 218805 1000000 8376 1000005
mcs10_b06_s100_AB08 118916 1000000 3837 1000002
mcs10_b06_s100_AB09 13198 571838 433 469994
mcs10_b06_s70_AB00 7305 356242 380 152112
mcs10_b06_s70_AB01 1761 25948 118 10102
mcs10_b06_s70_AB02 10023 419792 405 365108
mcs10_b06_s70_AB03 1205 28609 104 14424
mcs10_b06_s70_AB04 1933 72127 116 23973
mcs10_b06_s70_AB05 6116 73175 279 38790
mcs10_b06_s70_AB06 7086 88363 347 48335
mcs10_b06_s70_AB07 3730 31842 216 11868
mcs10_b06_s70_AB08 38197 74320 1346 50020
mcs10_b06_s70_AB09 5765 67390 302 17942
mcs10_b06_s80_AB00 100127 1000000 3492 125490
mcs10_b06_s80_AB01 1000000 1000000 59215 1000002
mcs10_b06_s80_AB02 17306 23239 916 6266
mcs10_b06_s80_AB03 324811 599310 10414 151294
mcs10_b06_s80_AB04 401278 1000000 12560 1000005
mcs10_b06_s80_AB05 164569 692518 4546 140898
mcs10_b06_s80_AB06 721643 1000000 22394 403666
mcs10_b06_s80_AB07 1000000 1000000 67859 1000006
mcs10_b06_s80_AB08 255783 581541 6712 256358
mcs10_b06_s80_AB09 493107 1000000 8425 867129
mcs10_b06_s90_AB00 1000000 1000000 44498 1000003
mcs10_b06_s90_AB01 1000000 1000000 1000003 1000002
mcs10_b06_s90_AB02 1000000 1000000 453483 1000002
mcs10_b06_s90_AB03 1000000 1000000 578008 1000001
mcs10_b06_s90_AB04 1000000 1000000 750791 1000001
mcs10_b06_s90_AB05 1000000 1000000 690715 1000001
mcs10_b06_s90_AB06 1000000 1000000 1000002 1000001
mcs10_b06_s90_AB07 1000000 1000000 676677 1000001
mcs10_b06_s90_AB08 1000000 1000000 803673 1000002
mcs10_b06_s90_AB09 1000000 1000000 238697 1000001
mcs10_b06m_s100_AB00 9920 181428 555 40911
mcs10_b06m_s100_AB01 624044 1000000 18113 1000001
mcs10_b06m_s100_AB02 37963 1000000 1421 629693
mcs10_b06m_s100_AB03 38939 717054 1607 588289
mcs10_b06m_s100_AB04 83249 1000000 3514 1000004
mcs10_b06m_s100_AB05 88328 1000000 2933 1000001
mcs10_b06m_s100_AB06 792823 1000000 26118 1000003
mcs10_b06m_s100_AB07 39773 1000000 1848 1000004
mcs10_b06m_s100_AB08 195835 1000000 7166 995153
mcs10_b06m_s100_AB09 142482 1000000 4038 1000003
mcs10_b06m_s70_AB00 5835 44241 247 19976
mcs10_b06m_s70_AB01 5930 34562 366 6618
mcs10_b06m_s70_AB02 20066 138547 780 45376
mcs10_b06m_s70_AB03 7046 40495 288 9745
mcs10_b06m_s70_AB04 6002 74512 280 20055
mcs10_b06m_s70_AB05 3281 82229 174 26690
mcs10_b06m_s70_AB06 12436 184623 522 71395
mcs10_b06m_s70_AB07 7781 135539 440 83273
mcs10_b06m_s70_AB08 15355 20472 517 3228
mcs10_b06m_s70_AB09 60443 219488 2194 139490
mcs10_b06m_s80_AB00 285178 1000000 8967 551065
mcs10_b06m_s80_AB01 375166 1000000 11755 543001
mcs10_b06m_s80_AB02 1000000 1000000 62511 1000003
mcs10_b06m_s80_AB03 123908 148597 4279 42188
mcs10_b06m_s80_AB04 113782 629756 3408 155856
mcs10_b06m_s80_AB05 258359 1000000 11323 1000001
mcs10_b06m_s80_AB06 962810 1000000 31109 705803
mcs10_b06m_s80_AB07 1000000 1000000 38309 1000002
mcs10_b06m_s80_AB08 1000000 1000000 58667 928369
mcs10_b06m_s80_AB09 362786 904747 14347 376649
mcs10_b06m_s90_AB00 1000000 1000000 783926 1000001
mcs10_b06m_s90_AB01 1000000 1000000 1000002 1000001
mcs10_b06m_s90_AB02 1000000 1000000 1000002 1000001
mcs10_b06m_s90_AB03 1000000 1000000 552217 1000002
mcs10_b06m_s90_AB04 1000000 1000000 1000002 1000001
mcs10_b06m_s90_AB05 1000000 1000000 190793 1000003
mcs10_b06m_s90_AB06 1000000 1000000 1000002 1000001
mcs10_b06m_s90_AB07 1000000 1000000 1000002 1000001
mcs10_b06m_s90_AB08 1000000 1000000 1000002 1000001
mcs10_b06m_s90_AB09 1000000 1000000 1000002 1000001
mcs10_b09_s100_AB00 21778 1000000 797 465984
mcs10_b09_s100_AB01 8272 485726 503 317103
mcs10_b09_s100_AB02 52127 1000000 3175 741912
mcs10_b09_s100_AB03 93343 715187 3655 574245
mcs10_b09_s100_AB04 9423 149614 473 75710
mcs10_b09_s100_AB05 34606 689206 1323 465816
mcs10_b09_s100_AB06 4753 101232 281 83398
